順位,タイトル,巻数,発売日
7591,6番目のセフレだけど一生分の思い出ができたからもう充分 (1) (アンダルシュCOMICS),1,2026-09-03
11800,青春とデカケツ: 真激COMICS,,2026-09-03
12516,魔性のαとナマイキΩ-Be mine ! sideR-3【単行本版(限定描き下ろし付き)】 (エクレアコミック),3,2026-09-03
26330,シュガーアピール (drap COMICS DX),,2026-09-03
29561,余命一年の悪役令嬢、残生は逆ハーレムを満喫しますわ！（２） (ピュールコミックス),2,2026-09-03
214688,ワタシはいいの、ワタシはね(37) (コミックなにとぞ),37,2026-09-03
