順位,タイトル,巻数,発売日
4646,グラビアアイドルAV転身～イメージビデオ撮影って聞いてきたのに～scene.11 (コミックダイス),11,2026-08-23
22329,赤と白とロイヤルブルー ６－１ (二見コミックス),1,2026-08-23
22799,人妻物語（フルカラー）09 (コミックダイス),9,2026-08-23
38201,愛さないといわれましても ～元魔王の伯爵令嬢は生真面目軍人に餌付けをされて幸せになる～（コミック） 分冊版 ： 34 (モンスターコミックスｆ),34,2026-08-23
44612,苛烈な聖女様　～聖女召喚？！これは拐かしだし、其方達は全員罪人じゃ！！～【分冊版】 （16） (マンガBANGコミックス),16,2026-08-23
