タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
猫みたいな夜凪さんがかわいすぎる,,2026-09-02,15398,9213,+6185,40.2
夜伽の双子―贄姫は二人の王子に愛される―【マイクロ】（５０） (フラワーコミックス),50,2026-09-02,20553,9500,+11053,53.8
花は二度咲き乱れる【マイクロ】（５０） (フラワーコミックス),50,2026-09-02,62222,27965,+34257,55.1
愛でて春～呪われた公爵騎士様は溺愛する～【マイクロ】（１６） (フラワーコミックス),16,2026-09-02,51122,28369,+22753,44.5
花は二度咲き乱れる【マイクロ】（４９） (フラワーコミックス),49,2026-09-02,51087,28777,+22310,43.7
王と后【マイクロ】（２１） (フラワーコミックス),21,2026-09-02,72170,29474,+42696,59.2
目の前の惨劇で前世を思い出したけど、あまりにも問題山積みでいっぱいいっぱいです。 連載版：18 (ブシロードコミックス),18,2026-09-02,138291,33825,+104466,75.5
蝶は愛執の檻にとらわれる【マイクロ】（２１） (フラワーコミックス),21,2026-09-02,73157,43542,+29615,40.5
忠誠心がないと言われたので婚約を解消してあげました。 連載版：19 (ブシロードコミックス),19,2026-09-02,81720,54358,+27362,33.5
１００日後に夫を棄てる妻の話（３） (コミックざまぁ),3,2026-09-02,160082,92873,+67209,42
赤の結婚【マイクロ】 24 (フラワーコミックス),24,2026-09-02,179433,96107,+83326,46.4
さいつよ☆悪役令嬢～最強柔道家の漢、悪役令嬢と成る～22話 (ビビビコミック),,2026-09-02,139312,132305,+7007,5
