タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
サイレント・ウィッチ　沈黙の魔女の隠しごと　VII (B's-LOG COMICS),,2026-09-01,125,39,+86,68.8
没落伯爵令嬢は家族を養いたい@COMIC 第4巻 (Celicaコミックス),4,2026-09-01,583,144,+439,75.3
【電子版限定特典付き】ブチ切れ令嬢は報復を誓いました。12～魔導書の力で祖国を叩き潰します～ (HJコミックス),12,2026-09-01,469,150,+319,68
軍人婿さんと大根嫁さん　１０巻 (ＦＵＺコミックス),10,2026-09-01,367,198,+169,46
最強の鑑定士って誰のこと？　～満腹ごはんで異世界生活～ １３ (B's-LOG COMICS),13,2026-09-01,494,292,+202,40.9
オーイ！ とんぼ 第64巻 (ゴルフダイジェストコミックス),64,2026-09-01,392,298,+94,24
◯◯なメイドさん　３巻 (ＦＵＺコミックス),3,2026-09-01,1141,320,+821,72
むこうぶち (66) (近代麻雀コミックス),66,2026-09-01,714,400,+314,44
オーイ!とんぼ 第64巻 (ゴルフダイジェストコミックス),64,2026-09-01,1791,1236,+555,31
悪役令嬢になんかなりません。私は『普通』の公爵令嬢です! ~New Route!~ 3 (B's-LOG COMICS),3,2026-09-01,3190,1435,+1755,55
ピークアウト (5) (近代麻雀コミックス),5,2026-09-01,2310,1543,+767,33.2
退役魔法騎士は辺境で宿屋を営業中 1 (B's-LOG COMICS),1,2026-09-01,2945,2084,+861,29.2
地味薬師令嬢はもう契約更新いたしません。: ざまぁ? 没落? 私には関係ないことです (2) (レジーナCOMICS),2,2026-09-01,2141,2164,-23,-1.1
お疲れアラサーは異世界でもふもふドラゴンと騎士の世話をしています 2 (B's-LOG COMICS),2,2026-09-01,5241,2303,+2938,56.1
君が唄う薬恋歌 3 (B's-LOG COMICS),3,2026-09-01,3596,2544,+1052,29.3
漫画アクション 2026年9/15号［雑誌］,,2026-09-01,22968,3093,+19875,86.5
羞恥神～夢でのコトは忘れなさい！～ 6巻 (LINEコミックス),6,2026-09-01,10775,3146,+7629,70.8
ひかりめぐりまたたいて 下 (H&C Comics ihr HertZｼﾘｰｽﾞ),3,2026-09-01,7403,3608,+3795,51.3
彼女管理中につき　２巻 (ＦＵＺコミックス),2,2026-09-01,8536,3640,+4896,57.4
爆乳バニーおばさん(4) (NOiPA COMiCS),4,2026-09-01,7121,3797,+3324,46.7
俺の声に堕ちてください　分冊版（２２） (姉フレンドコミックス),22,2026-09-01,11785,4095,+7690,65.3
藤見乃フェニックス老人会　３巻 (ＦＵＺコミックス),3,2026-09-01,14841,6000,+8841,59.6
ドカベン　16巻 (SAN-EI COMICS SC 016),16,2026-09-01,6134,6156,-22,-0.4
ドカベン　15巻 (SAN-EI COMICS SC 015),15,2026-09-01,5814,6362,-548,-9.4
「門番やってろ」と言われ15年、突っ立ってる間に俺の魔力が9999（最強）に育ってました4 (HJコミックス),9999,2026-09-01,16278,6651,+9627,59.1
ギャルとダンジョンと周回遅れの探索英雄譚 ② ～元レジェンド・今は訳あり低ランク探索者な俺が、Ｓ級ギャルに懐かれまくって育成お任せされた～ (ホビージャパンコミックス),,2026-09-01,12247,7118,+5129,41.9
はずれスキル念動力（ただしレベルＭＡＸ）で無双する～手をかざすだけです。詠唱とか必殺技とかいりません。念じるだけで倒せます～【電子単行本】(5) (コミックREBEL),5,2026-09-01,21306,10078,+11228,52.7
爆乳バニーおばさん 4【デジタル特装版】 (NOiPA COMiCS),,2026-09-01,22110,10324,+11786,53.3
星の教室 (ハルキコミックス),,2026-09-01,12756,10459,+2297,18
の、ような。【単話版】　４５ (ラバココミックス),45,2026-09-01,19605,10462,+9143,46.6
ガンバレ人生一周目令嬢ちゃん 第1巻 (Celicaコミックス),1,2026-09-01,28280,11155,+17125,60.6
万年草むしりと蔑まれているEランク冒険者、実は世界最強の”植物魔術”で無双する(2) (コミックREBEL),2,2026-09-01,24564,12045,+12519,51
この世界の顔面偏差値が高すぎて目が痛い～突然始まる異世界溺愛生活～@COMIC 第1巻 (Celicaコミックス),1,2026-09-01,27801,12856,+14945,53.8
【単話】誰もシナリオ通りに動いてくれないんですけど！　第16話 (B's-LOG COMICS),,2026-09-01,30563,13400,+17163,56.2
無限魔力の異世界帰還者 ① (ホビージャパンコミックス),,2026-09-01,26982,13674,+13308,49.3
ワタシってサバサバしてるから(62) (コミックなにとぞ),62,2026-09-01,34789,14763,+20026,57.6
件の件について　１ (芳文社コミックス),1,2026-09-01,27407,15026,+12381,45.2
イニシエイト (H&C Comics ihr HertZｼﾘｰｽﾞ),,2026-09-01,20947,15836,+5111,24.4
正ヒロインに転生しましたが、運命の歯車は物理でぶち壊します 1 (B's-LOG COMICS),1,2026-09-01,37387,15940,+21447,57.4
鄙には稀なエリー (H&C Comics CRAFTｼﾘｰｽﾞ),,2026-09-01,19060,16276,+2784,14.6
ひかりめぐりまたたいて 上 (H&C Comics ihr HertZｼﾘｰｽﾞ),1,2026-09-01,21137,16483,+4654,22
再会は甘恋のはじまり　分冊版（１３） (姉フレンドコミックス),13,2026-09-01,25227,18040,+7187,28.5
Sランク冒険者の俺が、雑魚だらけの弱小Fランクパーティーに加入するわけないだろ!! いい加減にしろ!! 1　 実力はFランク、おっぱいはSカップか……ふむ、まずは話を聞こう (HJ文庫 と 08-01-01),,2026-09-01,22187,18549,+3638,16.4
前世魔王、今世勇者の指南役 ～生まれ変わった転生魔王は衰退した世界で新たな勇者を教育する～(2) (コミックREBEL),2,2026-09-01,62634,21396,+41238,65.8
不遇令嬢ですが、自らの手で幸せを掴みたい！ アンソロジーコミック第２巻 (Celicaコミックス),2,2026-09-01,45586,22908,+22678,49.7
かわいい訪問者 (ハーレクインコミックス),,2026-09-01,34939,33387,+1552,4.4
元カレ俳優に復縁を迫られてます　分冊版（８） (姉フレンドコミックス),8,2026-09-01,79838,45721,+34117,42.7
婚約破棄されたいので素顔を隠して残念令嬢になります！え？腹黒王子にバレてるとか聞いてないんですけど！？【単話版】５ (PASH! コミックス),5,2026-09-01,230615,47261,+183354,79.5
婚約破棄されたいので素顔を隠して残念令嬢になります！え？腹黒王子にバレてるとか聞いてないんですけど！？【単話版】４ (PASH! コミックス),4,2026-09-01,230616,47262,+183354,79.5
【単話版】捨てられ公爵夫人は、平穏な生活をお望みのようです@COMIC 第15話 (コロナ・コミックス),,2026-09-01,112994,50112,+62882,55.7
虐げられた秀才令嬢と隣国の腹黒研究者様の甘やかな薬草実験室【単話版】１９ (PASH! コミックス),19,2026-09-01,77920,67048,+10872,14
悲劇と絶望の人生を歩んだ公爵夫人に転生しましたが、ここは天国でしょうか？～今回は好き放題やらせていただきますので、どうぞ宜しくお願いします～ 8話 (Freedia comics),,2026-09-01,187623,71001,+116622,62.2
はずれスキル念動力（ただしレベルＭＡＸ）で無双する～手をかざすだけです。詠唱とか必殺技とかいりません。念じるだけで倒せます～(26) (コミックREBEL),26,2026-09-01,133305,85265,+48040,36
子連れオーク【単話版】　１８ (トレイルコミックス),18,2026-09-01,83884,95094,-11210,-13.4
異世界から帰還したら地球もかなりファンタジーでした。あと、負けヒロインどもこっち見んな。 連載版：13 (ブシロードコミックス),13,2026-09-01,287451,101855,+185596,64.6
【単話版】世界を救った最強勇者にストーカーされる村娘の話 第21話 (Celicaコミックス),,2026-09-01,226290,228052,-1762,-0.8
