タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
天幕のジャードゥーガル　6 (ボニータ・コミックス),6,2026-07-15,135,89,+46,34.1
冒険家になろう！～スキルボードでダンジョン攻略～（コミック） ： 13 (モンスターコミックス),13,2026-07-15,1293,142,+1151,89
欠けた月のメルセデス～吸血鬼の貴族に転生したけど捨てられそうなのでダンジョンを制覇する～@COMIC 第6巻【電子書籍限定描き下ろしマンガ付き】 (コロナ・コミックス),6,2026-07-15,4772,384,+4388,92
嘘彼氏でもいいからとにかくシたいましろちゃん(3) (メテオCOMICS),3,2026-07-15,2289,525,+1764,77.1
みことちゃんは嫌われたくない！６ (コミックエッセイ),,2026-07-15,2419,793,+1626,67.2
コミュ障、異世界へ行く 8巻 (LINEコミックス),8,2026-07-15,2305,848,+1457,63.2
僕は今すぐ前世の記憶を捨てたい。～憧れの田舎は人外魔境でした～@COMIC 第5巻 (コロナ・コミックス),5,2026-07-15,5989,931,+5058,84.5
護！ニンゲンの飼い方 (コミックエッセイ),,2026-07-15,2409,1200,+1209,50.2
もっと！天幕のジャードゥーガル (ボニータ・コミックス),,2026-07-15,3128,1500,+1628,52
勇者パーティーにかわいい子がいたので、告白してみた。（コミック） ： 14 (モンスターコミックス),14,2026-07-15,5109,1780,+3329,65.2
異世界パパ活おじさん（コミック） ： 10 (モンスターコミックス),10,2026-07-15,4555,1980,+2575,56.5
アフターグロウ(2) 限定版 (gateauコミックス),2,2026-07-15,5304,2085,+3219,60.7
うちらはマブダチseason4 マゼンダ先生とわたし,,2026-07-15,4254,2436,+1818,42.7
珍獣のお医者さん 5巻 (ハルタコミックス),5,2026-07-15,4167,3600,+567,13.6
ボクとおば～のフシギな話　4 (ボーダーコミックス),4,2026-07-15,4493,3791,+702,15.6
追放された不遇職『色使い』が世界を塗り替えるまで ～美少女だらけのSランクパーティーで最強スキルの本当の使い方を知り無双する～(3) (メテオCOMICS),3,2026-07-15,8190,3935,+4255,52
俺だけ超天才錬金術師　ゆる～いアトリエ生活始めました（コミック） ： 10 (モンスターコミックス),10,2026-07-15,8747,4311,+4436,50.7
隠れ転生@COMIC 第4巻 (コロナ・コミックス),4,2026-07-15,26036,5251,+20785,79.8
辺境に追放されて50年の大賢者は若返り、二度目の英雄伝説が始まる。（コミック） ： 2 (モンスターコミックス),2,2026-07-15,13947,5671,+8276,59.3
悪役令嬢に転生したと思ったら、シンデレラの義姉でした ～シンデレラオタクの異世界転生～ 8巻 (マッグガーデンコミックスavarusシリーズ),8,2026-07-15,14768,6118,+8650,58.6
一般兵士が転生特典に『無限再生』を貰った結果、数多の美女に狙われた（コミック）　２ (GAコミック),2,2026-07-15,18846,7331,+11515,61.1
魔法少女♡三十路(7) (ヒーローズコミックス　ふらっと),7,2026-07-15,13773,7517,+6256,45.4
優等生の制服のなか@プロポーズ (gateauコミックス),,2026-07-15,10252,7543,+2709,26.4
社内恋愛の相手は俺ですけど？2 (gateauコミックス),,2026-07-15,21225,10944,+10281,48.4
社内恋愛の相手は俺ですけど？1 新装版 (gateauコミックス),,2026-07-15,22395,11196,+11199,50
学園のマドンナの渡辺さんが、なぜか毎週予定を聞いてくる@COMIC 第2巻【電子書籍限定描き下ろしイラスト特典付き】 (コロナ・コミックス),2,2026-07-15,32816,12550,+20266,61.8
殺人鬼狩り@COMIC 第2巻 (コロナ・コミックス),2,2026-07-15,32158,12804,+19354,60.2
ダンス イン ザ ヴァンパイアバンド エイジ オブ スカーレット オーダー 21 (コロナ・コミックス),21,2026-07-15,41565,13085,+28480,68.5
ＭＡＩＤｅｓ─メイデス─メイド、地獄の戦場に転送される。固有のゴミ収集魔法で、最弱クラスのまま人類最強に。@COMIC 第3巻 ＭＡＩＤｅｓーメイデスーメイド、地獄の戦場に転送される。固有のゴミ収集魔法で、最弱クラスのまま人類最強に。@COMIC (コロナ・コミックス),3,2026-07-15,39482,15071,+24411,61.8
蒼の御使い 4 (4) (ボニータコミックス),4,2026-07-15,25736,15396,+10340,40.2
君たち愛が重すぎる。　1 (プリンセス・コミックス),1,2026-07-15,23114,16532,+6582,28.5
Barありさかへようこそ！(1) (HOWLコミックス),1,2026-07-15,16368,16723,-355,-2.2
ありがとうチート！～トンズラ幼女はマイペースに異世界を堪能することにしました～@COMIC 第1巻 (コロナ・コミックス),1,2026-07-15,31302,17260,+14042,44.9
お飾り聖女のはずが、真の力に目覚めたようです THE COMIC 3巻 (マッグガーデンコミックスavarusシリーズ),3,2026-07-15,35403,17786,+17617,49.8
どうせなら彼岸まで (gateauコミックス),,2026-07-15,36005,18138,+17867,49.6
Bounty Parade～CR Mondo side:Another～(1) (HOWLコミックス),1,2026-07-15,21165,19868,+1297,6.1
ヒャッハーな幼馴染達と始めるVRMMO@COMIC 第2巻 (コロナ・コミックス),2,2026-07-15,54964,20045,+34919,63.5
私を裏切ったはずの公爵様が離婚してくれません (2) (フレックスコミックス),2,2026-07-15,26678,20666,+6012,22.5
