順位,タイトル,巻数,発売日
798,ヒロイン？聖女？いいえ、オールワークスメイドです（誇）！@COMIC 第8巻 (コロナ・コミックス),8,2026-08-01
2722,悪党一家の愛娘、転生先も乙女ゲームの極道令嬢でした。～最上級ランクの悪役さま、その溺愛は不要です！～@COMIC 第6巻 (Celicaコミックス),6,2026-08-01
3969,転生先は殺されるはずのモブ令嬢でした～見知らぬ公爵様との婚約は想定外です～@COMIC 第2巻 (Celicaコミックス),2,2026-08-01
4947,俺の声に堕ちてください　分冊版（２１） (姉フレンドコミックス),21,2026-08-01
8140,期間限定、第四騎士団のキッチンメイド～結婚したくないので就職しました～@COMIC 第4巻【電子書籍限定描き下ろしマンガ付き】 (Celicaコミックス),4,2026-08-01
9820,【単話】誰もシナリオ通りに動いてくれないんですけど！　第15話 (B's-LOG COMICS),,2026-08-01
9909,悪役の王女に転生したけど、隠しキャラが隠れてない。～光差す世界で君と～@COMIC 第2巻 (Celicaコミックス),2,2026-08-01
14394,【分冊版】銭（インチキ）の力で、戦国の世を駆け抜ける。 第56話 (FWコミックス),,2026-08-01
21986,悪役令嬢にざまぁされたくないので、お城勤めの高給取りを目指すはずでした@COMIC 第1巻 (Celicaコミックス),1,2026-08-01
26645,死に役はごめんなので好きにさせてもらいます@COMIC 第1巻 (Celicaコミックス),1,2026-08-01
39111,後宮メイドの災難～人使いの荒い宮廷書記官と推理する～【電子単行本版】(5) (コミックREBEL),5,2026-08-01
41918,ワタシってサバサバしてるから(61) (コミックなにとぞ),61,2026-08-01
48388,不遇令嬢ですが、自らの手で幸せを掴みたい！ アンソロジーコミック第１巻 (Celicaコミックス),1,2026-08-01
67821,【単話版】怠惰な悪役貴族の俺に、婚約破棄された悪役令嬢が嫁いだら最凶の夫婦になりました@COMIC 第17話 (コロナ・コミックス),,2026-08-01
73028,ハーレム・アップライジング ～女尊男卑の世界で魔王の力を使って支配します～【単行本版】(2) (GG-COMICS),2,2026-08-01
73338,【単話版】商人令嬢はお金の力で無双する@COMIC 第17話 (コロナ・コミックス),,2026-08-01
78163,悲劇と絶望の人生を歩んだ公爵夫人に転生しましたが、ここは天国でしょうか？～今回は好き放題やらせていただきますので、どうぞ宜しくお願いします～ 7話 (Freedia comics),,2026-08-01
90893,はずれスキル念動力（ただしレベルＭＡＸ）で無双する～手をかざすだけです。詠唱とか必殺技とかいりません。念じるだけで倒せます～(25) (コミックREBEL),25,2026-08-01
95621,元教え子の二ノ瀬さん【単話版】　５ (トレイルコミックス),5,2026-08-01
101847,【分冊版】用務員さんは勇者じゃありませんので 第28話 (FWコミックス),,2026-08-01
106922,三郷さんは甘すぎ上司にちょっとキビしい【単話版】　６０ (トレイルコミックス),60,2026-08-01
107204,虐げられた秀才令嬢と隣国の腹黒研究者様の甘やかな薬草実験室【単話版】１７ (PASH! コミックス),,2026-08-01
108961,【分冊版】フェアリーテイル・クロニクル ～空気読まない異世界ライフ～ 第55話 (FWコミックス),,2026-08-01
119023,勝手に勇者パーティの暗部を担っていたけど不要だと追放されたので、本当に不要だったのか見極めます（分冊版）１９ (ムゲンコミックス),,2026-08-01
119971,秘蜜の金髪ツインテール【単話版】 第21話 (コミックヘヴン),,2026-08-01
134608,領地を立て直したい嫌われ者のお色気令嬢は成り上がり貴族に溺愛される【単話版】１１ (PASH! コミックス),1,2026-08-01
163811,子連れオーク【単話版】　１７ (トレイルコミックス),17,2026-08-01
299321,【単話版】若隠居のススメ～ペットと家庭菜園で気ままなのんびり生活。の、はず@COMIC 第7話 (コロナ・コミックス),,2026-08-01
—,バッドエンド目前のヒロインに転生した私、今世では恋愛するつもりがチートな兄が離してくれません！？@COMIC 第9巻【電子書籍限定描き下ろしイラスト特典付き】 (Celicaコミックス),,2026-08-01
