順位,タイトル,巻数,発売日
2675,（毒殺された）世界無双の毒魔法使い （11） (マンガBANGコミックス),11,2026-08-13
4780,役立たず冒険者【メニュー画面】で英雄に！　課金するほどチート機能が手に入るんですが！？ （4） (マンガBANGコミックス),4,2026-08-13
6251,異世界の戦士として国に招かれたけど、断って兵士から始める事にした （15） (マンガBANGコミックス),15,2026-08-13
11779,嫌われ令嬢の老メイド 最果ての地の交流追憶 （2） 【かきおろし漫画付】 (comicルクス),2,2026-08-13
15902,異世界トリップしたので可愛い獣人を全力で愛でることにしました。（3） (マンガBANGコミックス),3,2026-08-13
29749,おれん家フォークロア【おまけ描き下ろし付き】 6 (花とゆめコミックススペシャル),6,2026-08-13
42303,明日はきっと友だちじゃない、よね【第3話】【特典付き】 【単話】明日はきっと友だちじゃない、よね (フルールコミックス),,2026-08-13
