順位,タイトル,巻数,発売日
8471,小悪魔JKサイコ【単行本版】 5巻 (サイコワコミック),5,2026-07-04
10613,ぬらりひょんの棲む家【単行本版】 11巻 (サイコワコミック),11,2026-07-04
11767,狂育ママ・サエコ─この子のためなら─【単行本版】 6巻 (サイコワコミック),6,2026-07-04
12413,皆様には人権がございません【単行本版】 9巻 (サイコワコミック),9,2026-07-04
32746,勇者、それはちょっとどうなんだ ～外道勇者は初期装備で無双する～（５） (シードコミックス),5,2026-07-04
38583,透明な鱗の人魚の味は【分冊版】（9） (マンガBANGコミックス),9,2026-07-04
104930,愛してるって、言いたい【分冊版】 86話 (フレイヤコミックス),,2026-07-04
139989,勝手に勇者パーティの暗部を担っていたけど不要だと追放されたので、本当に不要だったのか見極めます（分冊版）１８ (ムゲンコミックス),,2026-07-04
