タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
女友達は頼めば意外とヤらせてくれる(5)【電子限定特典付き】 (角川コミックス・エース),5,2026-09-10,57,16,+41,71.9
小林さんちのメイドラゴン ： 20 (アクションコミックス),20,2026-09-10,75,30,+45,60
ティアムーン帝国物語～断頭台から始まる、姫の転生逆転ストーリー～@COMIC 第12巻 (コロナ・コミックス),12,2026-09-10,288,54,+234,81.3
推しにささげるダンジョングルメ ～最強探索者VTuberになる～ 4 (角川コミックス・エース),4,2026-09-10,247,84,+163,66
冒険には、武器が必要だ！～こだわりルディの鍛冶屋ぐらし～ ： 5 【電子コミック限定特典付き】 (アクションコミックス),,2026-09-10,227,130,+97,42.7
異世界最高峰のギルドリーダー７　～ギルド最弱の僕だけど、ギルメン全員の愛が重くてギルドをやめられません～ (角川コミックス・エース),7,2026-09-10,598,245,+353,59
小林さんちのメイドラゴン　エルマのＯＬ日記 ： 12 (アクションコミックス),12,2026-09-10,1181,473,+708,59.9
今宵もお待ちしております（７） (フラワーコミックス),7,2026-09-10,755,493,+262,34.7
ゲーム世界で魔物に転生してしまった俺、前世で推しだったヒロインを拾ってしまう(2) (角川コミックス・エース),2,2026-09-10,3767,504,+3263,86.6
どうしようもない僕とキスしよう (12) (フラワーコミックスα),12,2026-09-10,1033,518,+515,49.9
ビッグコミック 2026年18号（2026年9月10日発売） [雑誌],,2026-09-10,12412,683,+11729,94.5
わざと見せてる？ 加茂井さん。 ： 15 (アクションコミックス),15,2026-09-10,1446,779,+667,46.1
ときときチャンネル 01　～宇宙飲んでみた～ (電撃コミックスNEXT),1,2026-09-10,1923,956,+967,50.3
お嬢様はお仕置きが好き（１２） (フラワーコミックスα),12,2026-09-10,3006,1413,+1593,53
コミックライドアドバンス2026年10月号(vol.73),73,2026-09-10,3530,1645,+1885,53.4
小林さんちのメイドラゴン　お篭りぐらしのファフニール ： 7 (アクションコミックス),7,2026-09-10,5118,2355,+2763,54
ときときチャンネル 02　～近所の異世界散歩してみた～ (電撃コミックスNEXT),2,2026-09-10,3503,2398,+1105,31.5
岩肌の花嫁は愛で溶かされる 3 (Only Lips comicsめちゃコミックオリジナル),3,2026-09-10,2957,2651,+306,10.3
最強落第貴族の剣魔極めし暗闘譚　（５） (角川コミックス・エース),5,2026-09-10,5707,2680,+3027,53
KILLER’S HOLIDAY ９ (コミックELMO),9,2026-09-10,3724,3067,+657,17.6
麻雀放浪記　激闘篇 ： 13 (アクションコミックス),13,2026-09-10,4400,3534,+866,19.7
花は二度咲き乱れる（７） (フラワーコミックス),7,2026-09-10,8252,3637,+4615,55.9
朧の花嫁～かりそめの婚約は、青く、甘く～ 5 (Only Lips comicsめちゃコミックオリジナル),5,2026-09-10,5852,3763,+2089,35.7
ねこねこ日本史（１８）,18,2026-09-10,3947,3855,+92,2.3
スパダリ王子様の狂い愛（２） (異世界フラワーコミックス),2,2026-09-10,8248,4080,+4168,50.5
勇者パーティーを追放された精霊術士 最強級に覚醒した不遇職、真の仲間と五大ダンジョンを制覇する（３） (角川コミックス・エース),3,2026-09-10,8584,4090,+4494,52.4
空賊ハックと蒸気の姫 6巻 (ブレイドコミックス),6,2026-09-10,6689,4178,+2511,37.5
逃亡賢者(候補)のぶらり旅 ～召喚されましたが、逃げ出して安寧の地探しを楽しみます～（２） (角川コミックス・エース),2,2026-09-10,8424,5065,+3359,39.9
派遣戦士 山田のり子(25) (アクションコミックス),25,2026-09-10,7120,5209,+1911,26.8
狼とランドセル～S級採集家と転生娘のダンジョンご飯～ 2巻 (ブレイドコミックス),2,2026-09-10,14479,5485,+8994,62.1
さようなら、エデン。 (10) (フラワーコミックスα),10,2026-09-10,6772,5871,+901,13.3
ご主人様とゆく異世界サバイバル！ 【単話版】(63) (コミックライド),63,2026-09-10,9874,5976,+3898,39.5
腐男子召喚～異世界で神獣にハメられました～ 分冊版 ： 72 (コミックマージナル),72,2026-09-10,11693,6671,+5022,42.9
好きのひとつも言えないくせに (1) (フラワーコミックス α),1,2026-09-10,15423,7088,+8335,54
花城院家の嫁取り (1) (フラワーコミックス α),1,2026-09-10,13242,7136,+6106,46.1
手のひらの天国 ： 1 (アクションコミックス),1,2026-09-10,14825,7292,+7533,50.8
輪廻婚~大正ロマン恋慕~ (1) (フラワーコミックス α),1,2026-09-10,11387,7324,+4063,35.7
木更津くんの××が見たい　１４ (donna COMICS(ドンナ・コミックス)),14,2026-09-10,9228,7405,+1823,19.8
拗らせ御曹司は懐かない (1) (フラワーコミックス α),1,2026-09-10,9687,8375,+1312,13.5
このたび鬼上司の秘書になりまして 6 (Only Lips comicsめちゃコミックオリジナル),6,2026-09-10,15380,8835,+6545,42.6
嘘と最愛の品格-命果てるまで愛を誓いますか?- (1) (フラワーコミックスα),1,2026-09-10,19589,9071,+10518,53.7
CLAMP PREMIUM COLLECTION ANGELIC LAYER (5),5,2026-09-10,10407,9318,+1089,10.5
貴女にかまう暇はないと言われた侯爵令嬢の幸せすぎる末路【第１１話】 貴女にかまう暇はないと言われた侯爵令嬢の幸せすぎる末路【単話】 (ピュールコミックスピュア),,2026-09-10,23033,10896,+12137,52.7
美味の異国飯 ： 3 (アクションコミックス),3,2026-09-10,13358,12262,+1096,8.2
からだと心を守る! はたらく細胞 病気を学べる図鑑 (講談社まんがで学べるシリーズ),,2026-09-10,13991,12738,+1253,9
脱法テイマーの成り上がり冒険譚 ～Sランク美少女冒険者が俺の獣魔になっテイマす～【単話版】 第46話 (コミックライド),1,2026-09-10,19639,12785,+6854,34.9
冷酷参謀の夫婦円満計画※なお、遂行まで十年【第１７話】 冷酷参謀の夫婦円満計画※なお、遂行まで十年【単話】 (ピュールコミックスピュア),,2026-09-10,33681,13568,+20113,59.7
ギルドの受付嬢は定時上がりの夢を見る@COMIC 第2巻【電子書籍限定描き下ろしマンガ付き】 (コロナ・コミックス),2,2026-09-10,58483,15215,+43268,74
百雌繚乱 俺のアソコを狙う百人のメス 5 (5巻) (YKコミックス),5,2026-09-10,16628,15309,+1319,7.9
なつめとなつめ more Perfume ２ (コミックELMO),2,2026-09-10,25582,15447,+10135,39.6
追放された最弱庶民の成り上がりハーレム！ 『不死身』のスキルで最強をめざし、見下したやつにざまぁします！(3) (RK COMICS COMIC異世界ハーレム),3,2026-09-10,24277,18362,+5915,24.4
お前は俺のモノだろ？　～俺様社長の独占溺愛～【第２４話】 お前は俺のモノだろ？　～俺様社長の独占溺愛～【単話】 (ピュールコミックスピュア),,2026-09-10,31467,21667,+9800,31.1
俺の方が先に好きだったので。【単行本版／電子限定描き下ろしマンガ付】 俺の方が先に好きだったので。【単行本版】 (KiR comics),3,2026-09-10,73788,23274,+50514,68.5
