タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
王都ワンオペゴーレムマスター。まさかの追放！？～自由の身になったので弟子の美人勇者たちと一緒に最強ゴーレム作ります。戻ってこいと言われてももう知らん！～@COMIC 第4巻 (コロナ・コミックス),4,2026-08-15,10678,1248,+9430,88.3
女ふたりで暮らすの楽しい (はちみつコミックエッセイ),,2026-08-15,3646,1786,+1860,51
兄弟失格［ばら売り］　第16話 (花丸漫画),,2026-08-15,26655,6339,+20316,76.2
忌み子と呼ばれた召喚士@COMIC 第11巻 (コロナ・コミックス),11,2026-08-15,16629,6803,+9826,59.1
溺れるほど愛されて、幸せになってみせますわ！アンソロジーコミック 27巻 (COMIC ROOM),27,2026-08-15,14578,8120,+6458,44.3
ツーリング・エクスプレス～テネブル編～［ばら売り］　第6話 (花丸漫画),,2026-08-15,25480,10867,+14613,57.4
上司の家に転がり込みまして。 4 (クリエコミックス),4,2026-08-15,20559,10919,+9640,46.9
異世界クラス召喚されたらＲ1○のスキルを獲得したので、○りたい放題させてもらいます！【分冊版】 （31） (マンガBANGコミックス),31,2026-08-15,20809,17342,+3467,16.7
【分冊版】服飾師ルチアはあきらめない ～今日から始める幸服計画～ 第42話 (FWコミックスオルタ),,2026-08-15,24489,20366,+4123,16.8
自分の事を主人公だと信じてやまない踏み台が、主人公を踏み台だと勘違いして、優勝してしまうお話です@COMIC 第2巻 (コロナ・コミックス),2,2026-08-15,34410,21677,+12733,37
青⇔オレンジ［ばら売り］第28話 (花丸漫画),,2026-08-15,33800,22247,+11553,34.2
陰キャな僕が双子に愛される理由［ばら売り］　第27話 (花丸漫画),,2026-08-15,39585,27977,+11608,29.3
心くんは愛とかいらない［ばら売り］　Story23 (花丸漫画),,2026-08-15,52789,36396,+16393,31.1
恋のとなりにお弁当 第7話 お返事チーズインハンバーグ (リラクトコミックス),,2026-08-15,103097,48792,+54305,52.7
虐げられた秀才令嬢と隣国の腹黒研究者様の甘やかな薬草実験室【単話版】１８ (PASH! コミックス),,2026-08-15,122717,63205,+59512,48.5
