順位,タイトル,巻数,発売日
6902,小悪魔JKサイコ【単行本版】 5巻 (サイコワコミック),5,2026-07-04
7699,ぬらりひょんの棲む家【単行本版】 11巻 (サイコワコミック),11,2026-07-04
7888,皆様には人権がございません【単行本版】 9巻 (サイコワコミック),9,2026-07-04
10678,狂育ママ・サエコ─この子のためなら─【単行本版】 6巻 (サイコワコミック),6,2026-07-04
31996,勇者、それはちょっとどうなんだ ～外道勇者は初期装備で無双する～（５） (シードコミックス),5,2026-07-04
70389,愛してるって、言いたい【分冊版】 86話 (フレイヤコミックス),,2026-07-04
80784,勝手に勇者パーティの暗部を担っていたけど不要だと追放されたので、本当に不要だったのか見極めます（分冊版）１８ (ムゲンコミックス),,2026-07-04
—,ふるさと納税、まだやってないんですか？: マンガでわかる！年間3万円トクする　はじめてのふるさと納税,,2026-07-04
