順位,タイトル,巻数,発売日
25,彩純ちゃんはレズ風俗に興味があります！: 8【イラスト特典付】 (百合姫コミックス),,2026-07-28
678,小春と湊 わたしのパートナーは女の子: 4【イラスト特典付】 (百合姫コミックス),,2026-07-28
990,悪の華道を行きましょう: 32　悪の華道を邪魔しましょう3 (ZERO-SUMコミックス),,2026-07-28
1007,転移先は薬師が少ない世界でした (7) (レジーナCOMICS),7,2026-07-28
1011,陰キャギャルでもイキがりたい！: 4【イラスト特典付】 (百合姫コミックス),,2026-07-28
1239,ぷにるはかわいいスライム（１１） (てんとう虫コミックススペシャル),11,2026-07-28
1345,Comic ZERO-SUM (コミック ゼロサム) 2026年9月号[雑誌],,2026-07-28
1785,セフレ沼から抜け出せないっ！百合えっちアンソロジー (百合姫コミックス),,2026-07-28
2031,今日、お姉さんとエッチしない？ 百合アンソロジー (百合姫コミックス),,2026-07-28
3627,ふつつかな悪女ではございますが　～雛宮蝶鼠とりかえ伝～　連載版: 53 (ZERO-SUMコミックス),53,2026-07-28
4340,舞妓をめぐる花街の人々,,2026-07-28
4867,社内探偵(72) (コミックなにとぞ),72,2026-07-28
5182,ドラゴン娘になりたくないっ! (4) (コロコロコミックススペシャル),4,2026-07-28
5799,KASHI BATTLE（１５） (てんとう虫コミックススペシャル),15,2026-07-28
5866,運命の巻戻士 1巻 キャラクターブック付きスペシャル版 (コロコロコミックス),1,2026-07-28
6033,【新装版】クレバテス-魔獣の王と赤子と屍の勇者- 13 (MFコミックス),13,2026-07-28
6230,ガールズ・エラー コダマナオコ短編集 (百合姫コミックス),,2026-07-28
7433,運命の巻戻士　スペシャルキャラクターデータブック (てんとう虫コミックス),,2026-07-28
8087,本日、貴方を愛するのをやめます: 王妃と不倫した貴方が悪いのですよ? (2) (レジーナCOMICS),2,2026-07-28
9516,余命宣告を受けたので私を顧みない家族と婚約者に執着するのをやめることにしました (2) (レジーナCOMICS),2,2026-07-28
9920,悪役令嬢にオネエが転生したけど何も問題がない件 (2) (レジーナCOMICS),2,2026-07-28
10069,転生荷運び人の異世界攻略法(話売り)　#30 (ヤングチャンピオン・コミックス),,2026-07-28
10788,ハズレ嫁は最強の天才公爵様と再婚しました。 (1) (レジーナCOMICS),1,2026-07-28
11024,ちびゴジラの逆襲 (2) (コロコロコミックススペシャル),2,2026-07-28
11510,デュエル・マスターズ愛蔵版 (3) (コロコロコミックススペシャル),3,2026-07-28
13335,りゅうとあまがみ 二 (MFコミックス),,2026-07-28
15040,異世界クラス召喚されたらＲ1○のスキルを獲得したので、○りたい放題させてもらいます！【分冊版】 （30） (マンガBANGコミックス),30,2026-07-28
16412,Duel Masters 蛍光少女-ネオンライトガール- (コロコロコミックススペシャル),,2026-07-28
17180,くまのまーくん (1) (コロコロコミックス),1,2026-07-28
17206,逆転バリバリバース 1 金のバリバコイン2枚つき特装版 (コロコロコミックス),,2026-07-28
18522,ケシカスくん クレープ作って同窓会!?編 (コロコロコミックス),,2026-07-28
21129,ダストランド(話売り)　#13 (ヤングチャンピオン・コミックス),,2026-07-28
21463,デカ杉デッカくん (7) (コロコロコミックス),7,2026-07-28
27369,売れ残りの奴隷エルフを拾ったので、娘にすることにした(話売り)　#28 (ヤングチャンピオン・コミックス),,2026-07-28
32373,推しを味方に付けたら最強だって知ってましたか? (1) (レジーナCOMICS),1,2026-07-28
35448,家政魔導士の異世界生活～冒険中の家政婦業承ります！～　連載版: 65 (ZERO-SUMコミックス),65,2026-07-28
37762,ふくらめ！おっぱい (TENMA COMICS LO),,2026-07-28
41933,ルーチェと白の契約　【連載版】: 41 (ZERO-SUMコミックス),41,2026-07-28
47840,繰り巫女あやかし夜噺　【連載版】: 16 (ZERO-SUMコミックス),16,2026-07-28
48495,５６００歳の不老不死インフルエンサーいわく。(話売り)　#46～#49 (ヤングチャンピオン・コミックス),,2026-07-28
61378,悲劇の元凶となる最強外道ラスボス女王は民の為に尽くします。 The Savior's Pride　【連載版】: 14 (ZERO-SUMコミックス),14,2026-07-28
89316,悪役令嬢の兄に転生しました(話売り)　#44 (ヤングチャンピオン・コミックス),,2026-07-28
266505,悪役令嬢の父親に転生したので、妻と娘を溺愛します(話売り)　#14 (ヤングチャンピオン・コミックス),,2026-07-28
—,他校の氷姫を助けたら、お友達から始める事になりました　４ (アライブ＋),4,2026-07-28
—,女神敗北 転生のヴァラノワ　6 (アライブ＋),6,2026-07-28
—,楠木さんは高校デビューに失敗している: 8【イラスト特典付】 (comic POOL),,2026-07-28
—,片田舎のおっさん、剣聖になる～ただの田舎の剣術師範だったのに、大成した弟子たちが俺を放ってくれない件～(話売り)　#47 (ヤングチャンピオン・コミックス),,2026-07-28
