タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
異世界居酒屋「のぶ」(22) (角川コミックス・エース),22,2026-08-04,44,39,+5,11.4
SAKAMOTO DAYS 28 (ジャンプコミックスDIGITAL),28,2026-08-04,98,78,+20,20.4
逃げ上手の若君 26 (ジャンプコミックスDIGITAL),26,2026-08-04,118,89,+29,24.6
ブラッククローバー 38 (ジャンプコミックス),38,2026-08-04,122,98,+24,19.7
ウィッチウォッチ 27 (ジャンプコミックスDIGITAL),27,2026-08-04,189,113,+76,40.2
異世界帰りの勇者は、ダンジョンが出現した現実世界で、インフルエンサーになって金を稼ぎます！ ７ (ヒューコミックス),7,2026-08-04,214,117,+97,45.3
名代辻そば異世界店　５ (ヒューコミックス),5,2026-08-04,208,130,+78,37.5
ヘテロゲニア　リンギスティコ　～異種族言語学入門～　（７） (角川コミックス・エース),7,2026-08-04,145,160,-15,-10.3
ファイアーエムブレム エンゲージ 8 (ジャンプコミックスDIGITAL),8,2026-08-04,5993,2544,+3449,57.6
SAKAMOTO HOLIDAYS 4 (ジャンプコミックスDIGITAL),4,2026-08-04,4552,2582,+1970,43.3
口に関するアンケート (ジャンプコミックス),,2026-08-04,4491,2774,+1717,38.2
UNDER DOCTOR 2 (ジャンプコミックス),2,2026-08-04,4638,3168,+1470,31.7
回撃のキナト 2 (ジャンプコミックス),2,2026-08-04,6915,4349,+2566,37.1
今日も嫁が見つからない。（1） (ＳＰＡ！コミックス),1,2026-08-04,7723,5836,+1887,24.4
このクラスにギャルはいない 4 (ジャンプコミックスDIGITAL),4,2026-08-04,9559,5887,+3672,38.4
ドラゴンボールスーパーダイバーズ ―レッツ! スーパーダイブ!!― 3 (ジャンプコミックス),3,2026-08-04,17154,6253,+10901,63.5
ましろくんの補講アトリエ 3 (ジャンプコミックスDIGITAL),3,2026-08-04,22041,7826,+14215,64.5
【特別版】恋のカスと愛のクズ1,,2026-08-04,43725,11814,+31911,73
The Dogfather ドッグファーザー1,,2026-08-04,12432,12684,-252,-2
群脳教室 3 (ジャンプコミックスDIGITAL),3,2026-08-04,12783,13158,-375,-2.9
DARK SOULS Redemption　3 (ヒューコミックス),3,2026-08-04,13687,13684,+3,0
サナギの心臓 1 (ジャンプコミックス),1,2026-08-04,35261,15105,+20156,57.2
ナマイキ少女 (TENMA COMICS LO),,2026-08-04,41465,16344,+25121,60.6
魔法少女と麻薬戦争 3 (ジャンプコミックスDIGITAL),3,2026-08-04,22756,17815,+4941,21.7
【特別版】体と心を整えてついでに10kgやせました　整形外科に行ったら人生が変わった話,,2026-08-04,18599,20914,-2315,-12.4
ドーロ☆スター 1 (ジャンプコミックス),1,2026-08-04,39222,21589,+17633,45
震える右手 2 (ジャンプコミックスDIGITAL),2,2026-08-04,31521,21935,+9586,30.4
漆黒の慕情1 (角川コミックス・エース),,2026-08-04,40056,24778,+15278,38.1
HOLE UP GAMERS 1 (角川コミックス・エース),1,2026-08-04,41638,25334,+16304,39.2
9割の日本人のための「ゆる読書」入門: “活字マッチョイズム”の終わりと新しい読書推進,,2026-08-04,44161,37266,+6895,15.6
隠密お局～あなたのホンネ見えてます～ デジコレ DIGITAL COMICS（８） (ワケあり女子白書),8,2026-08-04,75893,62007,+13886,18.3
透明な鱗の人魚の味は【分冊版】（11） (マンガBANGコミックス),11,2026-08-04,186657,189011,-2354,-1.3
