タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
落第賢者の学院無双 　～二度目の転生、Ｓランクチート魔術師冒険録～ 9巻 (デジタル版ガンガンコミックスＵＰ！),9,2026-07-07,270,230,+40,14.8
処刑された賢者はリッチに転生して侵略戦争を始める 16巻 (デジタル版ガンガンコミックスＵＰ！),16,2026-07-07,617,388,+229,37.1
育成スキルはもういらないと勇者パーティを解雇されたので、退職金がわりにもらった【領地】を強くしてみる 14巻 (デジタル版ガンガンコミックスＵＰ！),14,2026-07-07,762,407,+355,46.6
そうだ、売国しよう～天才王子の赤字国家再生術～ 19巻 (デジタル版ガンガンコミックスＵＰ！),19,2026-07-07,802,460,+342,42.6
第3王子はスローライフをご所望 (8) (バンブーコミックス 異世界BC),8,2026-07-07,14815,468,+14347,96.8
逃がした魚は大きかったが釣りあげた魚が大きすぎた件（コミック） 11巻 (デジタル版ガンガンコミックスＵＰ！),11,2026-07-07,800,494,+306,38.3
となりのフィギュア原型師　８巻 (まんがタイムコミックス),8,2026-07-07,1327,591,+736,55.5
有名VTuberの兄だけど、何故か俺が有名になっていた 3巻 (デジタル版ガンガンコミックスＵＰ！),3,2026-07-07,1684,750,+934,55.5
ダンジョンに閉じ込められて25年。救出されたときには立派な不審者になっていた 2巻 (デジタル版ガンガンコミックスＵＰ！),2,2026-07-07,2109,875,+1234,58.5
男が滅んだ世界 英雄戦士のハーレムワールド (4) (バンブーコミックス 異世界BC),4,2026-07-07,1508,1108,+400,26.5
ドゥーム 殺人警察官の断罪録 1巻【特典イラスト付き】 (ゼノンコミックス),1,2026-07-07,2330,1567,+763,32.7
アポカリプスホテルかりかり (バンブーコミックス),,2026-07-07,2735,1616,+1119,40.9
やり込んだ恋愛ゲームの悪役に転生したので、原作知識でヒロインを攻略します 3巻 (デジタル版ガンガンコミックスＵＰ！),3,2026-07-07,6418,1863,+4555,71
天久鷹央の推理カルテ　スフィアの死天使（３） (アフタヌーンコミックス),3,2026-07-07,4482,2805,+1677,37.4
阿闍梨蒼雲 霊幻怪異始末 (10) (HONKOWAコミックス),10,2026-07-07,5061,3574,+1487,29.4
マリッジシンデレラ 拾われた花嫁は一途な副社長に溺愛される 5巻 (ゼノンコミックス),5,2026-07-07,17881,5383,+12498,69.9
冒険者マッチングアプリで相性抜群だけど性格最悪な女とパーティー組んだ結果、エッチ相性が200%超えだったので最高のチームメイトになりました。 (1) (バンブーコミックス 異世界BC),1,2026-07-07,12402,5745,+6657,53.7
捨てられた第四王女は母国には戻らない【特典ペーパー付き】 (2) (バンブーコミックス 異世界BC),2,2026-07-07,10623,6437,+4186,39.4
見捨てられた最弱テイマー、封印されていた美少女ドラゴンと契約して最強に至る 3巻 (デジタル版ガンガンコミックスＵＰ！),3,2026-07-07,15994,6672,+9322,58.3
外れスキル【毒無効】を得て追放された転生者、たまたま死んでいたSSSランクの魔物の肉（猛毒）を食べたらチートスキルを手に入れてしまった 3巻 (デジタル版ガンガンコミックスＵＰ！),3,2026-07-07,10342,6813,+3529,34.1
君は誰よりうつくしい動物 -白井もも吉短編集- (ガンガンコミックスUP!),,2026-07-07,9258,7436,+1822,19.7
漫画アクション 2026年7/21号［雑誌］,,2026-07-07,22982,8607,+14375,62.5
愛する婚約者に殺された公爵令嬢、死に戻りして光の公爵様(お父様)の溺愛に気づく ~今度こそ、生きて幸せになります!~(2) (ガンガンコミックスUP!),2,2026-07-07,20148,8808,+11340,56.3
