タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
【電子版限定特典付き】ブチ切れ令嬢は報復を誓いました。11～魔導書の力で祖国を叩き潰します～ (HJコミックス),,2026-07-01,764,100,+664,86.9
ヒロイン？聖女？いいえ、オールワークスメイドです（誇）！@COMIC 第7巻 (コロナ・コミックス),7,2026-07-01,1680,120,+1560,92.9
オーイ!とんぼ 第63巻 (ゴルフダイジェストコミックス),63,2026-07-01,1731,757,+974,56.3
草魔法師クロエの二度目の人生 自由になって子ドラゴンとレベルMAX薬師ライフ 7 (B's-LOG COMICS),7,2026-07-01,2681,1031,+1650,61.5
百合ＳＭでふたりの気持ちはつながりますか？　６巻 (ＦＵＺコミックス),6,2026-07-01,3266,1123,+2143,65.6
元悪役令嬢とＳ級冒険者のほのぼの街暮らし～不遇なキャラに転生してたけど、理想の美女になれたからプラマイゼロだよね～@COMIC 第5巻【電子書籍限定描き下ろしマンガ付き】 (Celicaコミックス),5,2026-07-01,11136,1839,+9297,83.5
腐男子の俺が陽キャ幼馴染に迫られてる件３ (アンダルシュCOMICS),,2026-07-01,4284,2446,+1838,42.9
断罪された当て馬王子と愛したがり黒龍陛下の幸せな結婚２ (アンダルシュCOMICS),3,2026-07-01,5162,2506,+2656,51.5
断罪された悪役令嬢ですが、パンを焼いたら聖女にジョブチェンジしました!? 3 (B's-LOG COMICS),3,2026-07-01,6788,2927,+3861,56.9
心の声が聞こえる悪役令嬢は、今日も子犬殿下に翻弄される@COMIC 第5巻 (Celicaコミックス),5,2026-07-01,14830,3476,+11354,76.6
蝶乃センパイは泳がせたい！　３巻 (ＦＵＺコミックス),3,2026-07-01,13129,7041,+6088,46.4
【電子版限定特典付き】ポンコツスキルしか使えない悪役魔女だけど、テイムしたパリピなスライムたちと強く生きます！2 (HJコミックス),,2026-07-01,26551,7282,+19269,72.6
貰った三つの外れスキル、合わせたら最強でした2 (HJコミックス),,2026-07-01,19071,7745,+11326,59.4
虎耳女になったとて　１巻 (ＦＵＺコミックス),1,2026-07-01,19832,8463,+11369,57.3
旧友と不倫してみた(2) (NOiPA COMiCS),2,2026-07-01,23103,8888,+14215,61.5
ブラットテイマー/ジョーカー cheers! (H&C Comics iHertZシリーズ),,2026-07-01,16558,9710,+6848,41.4
【Amazon.co.jp 限定】ウォーターチャレンジとマンガでまるわかり！マインクラフト図鑑 (特典: オリジナルダイカットステッカー),,2026-07-01,21894,11434,+10460,47.8
