順位,タイトル,巻数,発売日
103004,ブス嬢・百華無双～私の肉で眠りなさい～(32) (コミックなにとぞ),32,2026-07-18
224958,NEEDY GIRL OVERDOSE 絶対革命病病事変 ミッドナイト配信LOVE　†あめちゃんとピの絶望の100日間† (ムゲンコミックス),,2026-07-18
