順位,タイトル,巻数,発売日
7,望まぬ不死の冒険者 14 (ガルドコミックス),14,2026-08-20
22,ありふれた職業で世界最強 17 (ガルドコミックス),17,2026-08-20
31,THE NEW GATE18 (アルファポリスCOMICS),,2026-08-20
36,ひとりぼっちの異世界攻略 28 (ガルドコミックス),28,2026-08-20
46,北斗の拳 世紀末ドラマ撮影伝 9巻 (ゼノンコミックス),9,2026-08-20
68,フシノカミ 11　～辺境から始める文明再生記～ (ガルドコミックス),11,2026-08-20
70,追放者食堂へようこそ！11　～最強パーティーを追放された料理人は、冒険者食堂を開きます！～ (ガルドコミックス),,2026-08-20
202,テンカイチ　日本最強武芸者決定戦（１４） (ヤングマガジンコミックス),14,2026-08-20
221,信長を殺した男～日輪のデマルカシオン～　10 (ヤングチャンピオン・コミックス),10,2026-08-20
282,一生働きたくない俺が、クラスメイトの大人気アイドルに懐かれたら 6 (ガルドコミックス),6,2026-08-20
295,貴族家三男の成り上がりライフ　生まれてすぐに人外認定された少年は異世界を満喫する４ (アルファポリスCOMICS),1,2026-08-20
305,サキュバス＆ヒットマン　14 (チャンピオンREDコミックス),14,2026-08-20
343,ワカコ酒 (27) (ゼノンコミックス),27,2026-08-20
384,豚の復讐 13巻【特典イラスト付き】 (ゼノンコミックス),13,2026-08-20
401,恋愛感情のまるでない幼馴染漫画【電子限定特典付き】 (8) (バンブーコミックス),8,2026-08-20
425,大自然の魔法師アシュト、廃れた領地でスローライフ８ (アルファポリスCOMICS),,2026-08-20
470,ブラックな騎士団の奴隷がホワイトな冒険者ギルドに引き抜かれてSランクになりました 11 (ガルドコミックス),11,2026-08-20
480,ビッグコミックオリジナル 2026年17号（2026年8月20日発売) [雑誌],,2026-08-20
499,犬飼くんのシッポ－恋するMOON DOGスピンオフ－【電子限定おまけ付き】 3 (花とゆめコミックススペシャル),3,2026-08-20
532,魔女大戦 32人の異才の魔女は殺し合う 16巻【特典イラスト付き】 (ゼノンコミックス),16,2026-08-20
738,めしぬま。 16巻【特典イラスト付き】 (ゼノンコミックス),16,2026-08-20
786,ドルフィン 17 (17) (チャンピオンREDコミックス),17,2026-08-20
851,恋愛志向生徒会　11 (ヤングチャンピオン・コミックス),11,2026-08-20
896,異世界じゃスローライフはままならない　～聖獣の主人は島育ち～７ (アルファポリスCOMICS),,2026-08-20
920,少女マンガなら叶わない恋 (3) (ビボピーコミックス),3,2026-08-20
944,金色のマビノギオン　―アーサー王の妹姫― 9 金色のマビノギオン―アーサー王の妹姫― (花とゆめコミックススペシャル),,2026-08-20
968,営業部の高杉さんは心臓に悪い 5 (花とゆめコミックス),5,2026-08-20
982,俺の前世の知識で底辺職テイマーが上級職になってしまいそうな件 11 (ガルドコミックス),11,2026-08-20
1079,フレンドガールフレンド 2 (花とゆめコミックススペシャル),2,2026-08-20
1119,クラス転移したら、なぜか引きこもりの俺まで異世界に連れてかれたんだが 3　～俺だけのユニークギフト『自宅』は異世界最強でした～ (ガルドコミックス),3,2026-08-20
1185,ラスボスの私が主人公の妻になりました 5 (piccomics),5,2026-08-20
1290,おやすみ、またね。ましろくん。 4【電子限定漫画付き】 おやすみ、またね。ましろくん。【電子限定漫画付き】 (B.PilzCOMICS),,2026-08-20
1301,間違い召喚！ 追い出されたけど上位互換スキルでらくらく生活６ 間違い召喚！　追い出されたけど上位互換スキルでらくらく生活 (アルファポリスCOMICS),1,2026-08-20
1668,転生しても実家を追い出されたので、今度は自分の意志で生きていきます４ (アルファポリスCOMICS),,2026-08-20
1709,ドロップアウトからの再就職先は、異世界の最強騎士団でした 5 (ガルドコミックス),5,2026-08-20
1892,マトリの推し事　芸能人の家宅捜索をやりたくて 4巻 (ゼノンコミックス),4,2026-08-20
