順位,タイトル,巻数,発売日
1,キングダム 80 (ヤングジャンプコミックス),80,2026-08-19
3,ブラック・ラグーン（１４） (サンデーGXコミックス),14,2026-08-19
8,ドラフトキング 26 (ヤングジャンプコミックスDIGITAL),26,2026-08-19
10,一勝千金（７） (裏少年サンデーコミックス),7,2026-08-19
11,オカ活 路上オカルト活動,1,2026-08-19
12,テラフォーマーズ 24 (ヤングジャンプコミックスDIGITAL),24,2026-08-19
18,もう興味がないと離婚された令嬢の意外と楽しい新生活（６） (マンガワン女子部),6,2026-08-19
24,終の退魔師 ―エンダーガイスター―＜無修正ver.＞（２６） (サイコミ×裏少年サンデーコミックス),26,2026-08-19
31,やめろ好きになってしまう 4 (ヤングジャンプコミックスDIGITAL),4,2026-08-19
95,BLACK LAGOON エダ イニシャルステージ（９） (サンデーGXコミックス),9,2026-08-19
106,任侠転生－異世界のヤクザ姫－（２１） (サンデーGXコミックス),21,2026-08-19
127,おさななななじみ 3 (ヤングジャンプコミックスDIGITAL),3,2026-08-19
135,異世界最高の貴族、ハーレムを増やすほど強くなる 7 (ヤングジャンプコミックスDIGITAL),7,2026-08-19
161,ベイビー車中ハッカーズ 4 (ヤングジャンプコミックスDIGITAL),4,2026-08-19
173,転生アラサー女子の異世改活 政略結婚は嫌なので、雑学知識で楽しい改革ライフを決行しちゃいます！ 4 (ヤングジャンプコミックスDIGITAL),4,2026-08-19
225,ゾン100～ゾンビになるまでにしたい100のこと～（２３） (サンデーGXコミックス),23,2026-08-19
258,キャプテン2 20 (ジャンプコミックス),20,2026-08-19
434,一緒に暮らしていいですか？ 9 (ヤングジャンプコミックスDIGITAL),9,2026-08-19
577,俺だけ不遇スキルの異世界召喚叛逆記～最弱スキル【吸収】が全てを飲み込むまで～ 17 (ヤングジャンプコミックスDIGITAL),17,2026-08-19
601,都市伝説解体センター Parallel File 3 (ヤングジャンプコミックス),3,2026-08-19
663,くじ引き特賞:無双ハーレム権 13 (ヤングジャンプコミックス),13,2026-08-19
664,BFF（４） (マンガワンコミックス),4,2026-08-19
742,史上最強の魔法剣士、Fランク冒険者に転生する ～剣聖と魔帝、2つの前世を持った男の英雄譚～ 16 (ヤングジャンプコミックスDIGITAL),16,2026-08-19
743,ゲーム悪役貴族に転生した俺は、チート筋肉で無双する（５） (裏少年サンデーコミックス),5,2026-08-19
779,只野工業高校の日常 15 (ヤングジャンプコミックス),15,2026-08-19
