タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
妹は知っている(8) (ヤングマガジンKC),8,2026-08-06,158,57,+101,63.9
アンダーニンジャ（１８） (ヤングマガジンコミックス),18,2026-08-06,147,71,+76,51.7
平成敗残兵すみれちゃん（１１） (ヤングマガジンコミックス),11,2026-08-06,205,113,+92,44.9
不老不死少女の苗床旅行記　５ (ヴァンプコミックス),5,2026-08-06,185,116,+69,37.3
片田舎のおっさん、剣聖になる外伝　はじまりの魔法剣士 3巻 (デジタル版ガンガンコミックスＵＰ！),3,2026-08-06,199,117,+82,41.2
ヤニねこ（１３） (ヤングマガジンコミックス),13,2026-08-06,250,119,+131,52.4
灰宮先輩は怖くてかわいい 3巻 (デジタル版ガンガンコミックスＵＰ！),3,2026-08-06,281,125,+156,55.5
弱虫ペダル SPARE BIKE 16 (16) (少年チャンピオンコミックス),16,2026-08-06,284,169,+115,40.5
税金で買った本（２０） (ヤングマガジンコミックス),20,2026-08-06,373,188,+185,49.6
はにとらっ！ 召喚勇者をハメるハニートラップ包囲網　6 (ヴァンプコミックス),6,2026-08-06,301,188,+113,37.5
ウィッチクラフトワークス　ＥＸＴＲＡ（５） (アフタヌーンコミックス),5,2026-08-06,324,194,+130,40.1
パリピ孔明（２６） (コミックＤＡＹＳコミックス),26,2026-08-06,394,199,+195,49.5
パラノマサイト FILE25 霊感少女・黒鈴ミヲの邂逅 下巻 (デジタル版ガンガンコミックスＵＰ！),3,2026-08-06,430,201,+229,53.3
BREAK BACK　25 (少年チャンピオン・コミックス),25,2026-08-06,354,212,+142,40.1
難攻不落の魔王城へようこそ～デバフは不要と勇者パーティーを追い出された黒魔導士、魔王軍の最高幹部に迎えられる～ 13巻 (デジタル版ガンガンコミックスＵＰ！),13,2026-08-06,1159,330,+829,71.5
追放僧侶の賢者タイム　2 (少年チャンピオン・コミックス),2,2026-08-06,960,362,+598,62.3
社長と酒と星（８） (ヤングマガジンコミックス),8,2026-08-06,1109,423,+686,61.9
グラぱらっ!(13) (KCデラックス),13,2026-08-06,1756,439,+1317,75
彼岸島　４８日後…（５５） (ヤングマガジンコミックス),55,2026-08-06,1281,487,+794,62
伍と碁（７） (ヤングマガジンコミックス),7,2026-08-06,856,493,+363,42.4
