タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
クールな氷上さんは迫りたい　２巻 (まんがタイムコミックス),2,2026-08-06,1770,498,+1272,71.9
キミに恋する三姉妹　9 (少年チャンピオン・コミックス),9,2026-08-06,1430,544,+886,62
小林さんちのメイドラゴン　イルルは恋とかわかりません！ ： 2 (アクションコミックス),2,2026-08-06,1386,597,+789,56.9
ババンババンバンバンパイア 14 (14) (少年チャンピオンコミックス),14,2026-08-06,1115,660,+455,40.8
まりも兄弟の茶飯事 10 (10) (少年チャンピオンコミックス),10,2026-08-06,1042,703,+339,32.5
ヤンキーJKクズハナちゃん 32 (32) (少年チャンピオンコミックス),32,2026-08-06,1685,798,+887,52.6
聖女のはずが、どうやら乗っ取られました 13巻 (デジタル版ガンガンコミックスＵＰ！),13,2026-08-06,2428,799,+1629,67.1
今夜もシリアルキラーと待ち合わせ（５） (アフタヌーンコミックス),5,2026-08-06,1855,986,+869,46.8
転生魔導王は、底辺職の黒魔術士が、実は最強職だと知っている 6巻 (デジタル版ガンガンコミックスＵＰ！),6,2026-08-06,2884,1034,+1850,64.1
杉雪カコと見たい明日　4 (少年チャンピオン・コミックス),4,2026-08-06,1895,1062,+833,44
タイカの理性 7 (7) (少年チャンピオンコミックス),7,2026-08-06,1310,1143,+167,12.7
ガラス工房の錬金術師（３） (アフタヌーンコミックス),3,2026-08-06,4009,1162,+2847,71
童貞勇者のハーレム魔王討伐記 (4) (バンブーコミックス 異世界BC),4,2026-08-06,1875,1211,+664,35.4
ヤン先輩はひとりで生きていけない 3巻 (デジタル版ガンガンコミックスＵＰ！),3,2026-08-06,2082,1219,+863,41.5
アオバノバスケ（１２） (マガジンポケットコミックス),12,2026-08-06,2896,1371,+1525,52.7
小林さんちのメイドラゴン　カンナの日常 ： 16 (アクションコミックス),16,2026-08-06,1987,1374,+613,30.9
漆黒使いの最強勇者　仲間全員に裏切られたので最強の魔物と組みます 17巻 (デジタル版ガンガンコミックスＵＰ！),17,2026-08-06,2733,1438,+1295,47.4
万年Fランク【通訳】スキル持ち底辺冒険者、異種族の最強美少女たちとパーティーを組んで才能に開花し無双する 3巻 (デジタル版ガンガンコミックスＵＰ！),3,2026-08-06,4699,1450,+3249,69.1
最強タンクの迷宮攻略　～体力9999のレアスキル持ちタンク、勇者パーティーを追放される～ 15巻 (デジタル版ガンガンコミックスＵＰ！),15,2026-08-06,2389,1626,+763,31.9
ウシミツガオ　3 (少年チャンピオン・コミックス),3,2026-08-06,2464,1660,+804,32.6
ローワライ(2) (ヤングマガジンKC),2,2026-08-06,3493,1866,+1627,46.6
バケモン。 第四集,,2026-08-06,5098,1873,+3225,63.3
うちこもり妻はコスプレ配信者　２巻 (まんがタイムコミックス),2,2026-08-06,6083,1875,+4208,69.2
小林さんちのメイドラゴン　ルコアは僕の××です。 ： 10 (アクションコミックス),10,2026-08-06,4407,1883,+2524,57.3
閻魔の教室 6 (6) (少年チャンピオンコミックス),6,2026-08-06,3015,2261,+754,25
ナインピークス NINE PEAKS 20 (20) (少年チャンピオンコミックス),20,2026-08-06,2862,2277,+585,20.4
異世界復讐～俺をいじめた奴らを最強スキルで支配する～ 1巻 (デジタル版ガンガンコミックスＵＰ！),1,2026-08-06,5467,2534,+2933,53.6
ガールズ×ヴァンパイア【描き下ろし付き電子特別版】　1 (少年チャンピオン・コミックス),1,2026-08-06,5926,2547,+3379,57
悪役貴族が開き直って破滅フラグを“実力”で叩き折っていたら、いつの間にかヒロイン達から英雄視されるようになった件（コミック） 2巻 (デジタル版ガンガンコミックスＵＰ！),2,2026-08-06,7514,2569,+4945,65.8
ミイラの飼い方 ： 23 【電子コミック限定特典付き】 (アクションコミックス),,2026-08-06,3339,2862,+477,14.3
チキン 「ドロップ」前夜の物語 48 (48) (少年チャンピオンコミックス),48,2026-08-06,7187,2942,+4245,59.1
ドラゴンと山暮らし 休日は異世界でキャンプライフ 2巻 (デジタル版ガンガンコミックスＵＰ！),2,2026-08-06,11392,3131,+8261,72.5
聖闘士星矢 Final Edition 15 (15) (少年チャンピオンコミックス),15,2026-08-06,3808,3213,+595,15.6
WORST外伝 グリコ 39 (39) (少年チャンピオンコミックス),39,2026-08-06,3887,3349,+538,13.8
世界最強のデバフ請負人　～仲間のデバフを肩代わりしていたら、いつの間にか無敵の肉体が完成していました～ 3巻 (デジタル版ガンガンコミックスＵＰ！),3,2026-08-06,9839,3448,+6391,65
ガブ　6 (少年チャンピオン・コミックス),6,2026-08-06,6589,3750,+2839,43.1
ひめごとかくしごと(1) (ヤングマガジンKC),1,2026-08-06,10109,3907,+6202,61.4
お葉花を愛でる　4 (少年チャンピオン・コミックス),4,2026-08-06,10435,4048,+6387,61.2
夫婦で営むモンスターファーム ～目指せ、まったりスローライフ～ (3) (バンブーコミックス 異世界BC),3,2026-08-06,7893,4195,+3698,46.9
オタク女友達と毎日だらだら遊んだりセックスしたりするだけ: 真激COMICS,,2026-08-06,4928,4434,+494,10
魔剣の花嫁 (1) (バンブーコミックス 異世界BC),1,2026-08-06,11383,4786,+6597,58
ゆーあーすらっがー(1) (ヤングマガジンKC),1,2026-08-06,8220,5237,+2983,36.3
到達のアクタ（５） (ヤングマガジンコミックス),5,2026-08-06,12653,5365,+7288,57.6
火喰鳥 羽州ぼろ鳶組 6 (6) (少年チャンピオンコミックス),6,2026-08-06,9019,6731,+2288,25.4
信長の嫁、はじめました ポンコツ魔女の戦国内政伝 (1) (バンブーコミックス 異世界BC),1,2026-08-06,17645,7277,+10368,58.8
「人生見える化表」で、時間のムダがなくなりました (すくパラセレクション),,2026-08-06,12329,7908,+4421,35.9
推しから溺愛される義妹に転生しました 1巻 (デジタル版ガンガンコミックスＵＰ！),1,2026-08-06,23017,7955,+15062,65.4
幼馴染に陰で都合の良い男呼ばわりされた俺は、好意をリセットして普通に青春を送りたい 1巻 (デジタル版ガンガンコミックスＵＰ！),1,2026-08-06,15726,8648,+7078,45
カンピオーニ　3 (少年チャンピオン・コミックス),3,2026-08-06,13636,8733,+4903,36
隣の部屋の女騎士は、異世界人で飲み友達(1) (アクションコミックス),1,2026-08-06,23159,9044,+14115,60.9
ファーストコール~童貞外科医、年下ヤクザの嫁にされそうです!~ (5) (エクレアコミック),5,2026-08-06,24111,9125,+14986,62.2
ニセアイホンアイ　２巻 (まんがタイムコミックス),2,2026-08-06,23112,10776,+12336,53.4
『触れられると死ぬ』と言われた私、王子に触れたら最強の大聖女になりました。ところで殿下の愛が重い 2巻 (デジタル版ガンガンコミックスＵＰ！),2,2026-08-06,26695,11402,+15293,57.3
燃費が悪い聖女ですが、公爵様に拾われて幸せです！（ごはん的に♪）（コミック） 1巻 (デジタル版ガンガンコミックスＵＰ！),1,2026-08-06,19044,13454,+5590,29.4
私の怪談師はポンコツ可愛い　怪談収集はデートに含まれますか？ 1巻 (デジタル版ガンガンコミックスＵＰ！),1,2026-08-06,23688,13792,+9896,41.8
俺のじゅりに、ふれないで (KiR comics),,2026-08-06,22879,13965,+8914,39
戦士に愛を ： 62 (アクションコミックス),62,2026-08-06,27686,14505,+13181,47.6
田舎ではじめる休活スローライフ ~ちょっと仕事辞めて実家に帰るわ~ 1 (1) (少年チャンピオンコミックス),1,2026-08-06,21467,14773,+6694,31.2
魔法女学園の売店ではたらく俺は、異世界から召喚された『ハーレム先生』です。 (2) (バンブーコミックス 異世界BC),2,2026-08-06,22033,15006,+7027,31.9
異世界ロイヤルロワイアル　～１８人の花嫁候補～（３） (アフタヌーンコミックス),3,2026-08-06,42187,15260,+26927,63.8
メルヘン・ガール・ランズ!!! 3巻 (デジタル版ガンガンコミックスＵＰ！),3,2026-08-06,27464,18262,+9202,33.5
リレイ様の門番～さえないおじさん(36才)と姫様(11才)の世界防衛譚～ 1巻 (デジタル版ガンガンコミックスＵＰ！),1,2026-08-06,29261,20547,+8714,29.8
異世界ぼっちクエスト 隠密スキルで無双もハーレムも思うまま！...なはず (3) (バンブーコミックス 異世界BC),3,2026-08-06,25478,20684,+4794,18.8
変わり者の底辺貴族、お人好しが高じてただ一人の宝石獣使いになる～宝石に意思を宿す才能に目覚めた僕は、友達と一緒に七つの秘宝を探す旅に出ます～ 3巻 (デジタル版ガンガンコミックスＵＰ！),3,2026-08-06,29140,22180,+6960,23.9
唯一無二の精霊鍛冶師が最強の武具を創るまで～ドワーフの鍛冶とエルフの魔法を極めた最強ハーフエルフは、無自覚なまま無双する～ 3巻 (デジタル版ガンガンコミックスＵＰ！),3,2026-08-06,43440,24797,+18643,42.9
僕だけが知ってるんだぜ　分冊版（２０） (アフタヌーンコミックス),20,2026-08-06,43673,27813,+15860,36.3
あと365日の晩餐　4 (チャンピオンREDコミックス),4,2026-08-06,98944,28236,+70708,71.5
へなちょこお嬢さん世話焼きオネェさん　２ (まんがタイムコミックス),2,2026-08-06,64719,74022,-9303,-14.4
島さん 分冊版 ： 64 (アクションコミックス),64,2026-08-06,77129,85420,-8291,-10.7
双子の妹に殺された姉、二度目の人生は初恋のイケおじ王弟にフルベットします！ 連載版：4 (ブシロードコミックス),,2026-08-06,98150,106088,-7938,-8.1
