タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
訳あり令嬢に幸せなエンドロールを 異世界アンソロジーコミック(4) (COMICリブラ),4,2026-07-21,7042,3128,+3914,55.6
漫画アクション 2026年8/4号［雑誌］,,2026-07-21,30501,12424,+18077,59.3
ムジナの城（上） (G-Lish Comics),1,2026-07-21,50754,18024,+32730,64.5
ムジナの城（下） (G-Lish Comics),3,2026-07-21,50755,18025,+32730,64.5
ハイブルク家三男は小悪魔ショタです 第14話【単話版】 ハイブルク家三男は小悪魔ショタです 【単話版】 (コミックライド),,2026-07-21,23774,24752,-978,-4.1
トモオニ(4) (MooiComics),4,2026-07-21,31868,24799,+7069,22.2
真面目系天然令嬢は年下王子の想いに気づかない【単話版】第17話 (コミックライド),3,2026-07-21,31324,27281,+4043,12.9
すたんどあっぷ 2巻 (ヤングキングコミックス),2,2026-07-21,31010,30236,+774,2.5
異世界クラス召喚されたらＲ1○のスキルを獲得したので、○りたい放題させてもらいます！【分冊版】 （29） (マンガBANGコミックス),29,2026-07-21,74748,34969,+39779,53.2
今泉ん家はどうやらギャルの溜まり場になってるらしい～DEEP～ 【連載版】５３ 今泉ん家はどうやらギャルの溜まり場になってるらしい～DEEP～ WEBコミックガンマぷらす連載版,,2026-07-21,61864,38340,+23524,38
プッシャー天使ケンチー 分冊版 ： 14 (アクションコミックス),14,2026-07-21,89246,67822,+21424,24
