順位,タイトル,巻数,発売日
8063,３か月なら、大丈夫だと思ってた。～留学した僕の留守中に、一途な彼女が汚されるまで～合冊版 4 (コミックダイス),4,2026-08-29
24587,ドワーフの最強拳士、エルフの幼女に転生して見た目も最強になる！【分冊版】（1） (マンガBANGコミックス),1,2026-08-29
25595,愛より青く【単話版】2話 (Re;zz COMICS),,2026-08-29
36460,となりの席の地味な奴 12 (UPコミック),12,2026-08-29
40117,山田の恋人【単話版】2話 (Re;zz COMICS),,2026-08-29
53106,男をやめてみた～癌になったので女装して恋をすることにしました～80 (エンペラーズコミックス),80,2026-08-29
84026,勝手に勇者パーティの暗部を担っていたけど不要だと追放されたので、本当に不要だったのか見極めます（分冊版）２０ (ムゲンコミックス),20,2026-08-29
88778,その異世界ハーレムは制約つき。～自慰行為を禁止された童貞勇者のスローライフ～（分冊版）３３ (ムゲンコミックス),33,2026-08-29
94628,俺の愛を読め【単話版】3話 (Re;zz COMICS),,2026-08-29
