順位,タイトル,巻数,発売日
5912,復讐の同窓会【単行本版】(6) (GG-COMICS),6,2026-07-05
10898,転生ギャル勇者と囚われの姫～モラハラ義実家を攻略せよ～（９） (フラワーコミックス),9,2026-07-05
19976,極と蕾～極道と恋を知らない人妻と～【マイクロ】（２９） (フラワーコミックスα),29,2026-07-05
21139,結婚しましょう、恋する前に【マイクロ】（４０） (フラワーコミックスα),40,2026-07-05
31878,レス―ヘタくそなのはお互いさまです。―【マイクロ】（２５） (フラワーコミックスα),25,2026-07-05
41674,真綿の檻【マイクロ】 sacrifice (フラワーコミックスα),,2026-07-05
48723,大賢者リドルの時間逆行【単話】（６６） (シードコミックス),66,2026-07-05
—,レス妻の貞操観念はかくして壊れゆく～誰にも見せられない性日記～01 (コミックダイス),,2026-07-05
—,レス妻の貞操観念はかくして壊れゆく～誰にも見せられない性日記～02 (コミックダイス),,2026-07-05
