タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
ふたりバス（３） (少年サンデーコミックス),3,2026-08-18,73,16,+57,78.1
MAJOR 2nd(メジャーセカンド) (33) (少年サンデーコミックス),33,2026-08-18,74,24,+50,67.6
史上最強の弟子ケンイチ2 ~達人編~ (1) (サンデーうぇぶり),1,2026-08-18,384,41,+343,89.3
あおざくら 防衛大学校物語（３７） (少年サンデーコミックス),37,2026-08-18,200,45,+155,77.5
龍と苺（２９） (少年サンデーコミックス),29,2026-08-18,291,84,+207,71.1
パラショッパーズ（６） (少年サンデーコミックス),6,2026-08-18,372,118,+254,68.3
MAO (30) (少年サンデーコミックス),30,2026-08-18,350,153,+197,56.3
みずぽろ（８） (少年サンデーコミックススペシャル),8,2026-08-18,1158,573,+585,50.5
シテの花－能楽師・葉賀琥太朗の咲き方－（６） (少年サンデーコミックス),6,2026-08-18,1261,910,+351,27.8
シテの花－能楽師・葉賀琥太朗の咲き方－（７） (少年サンデーコミックス),7,2026-08-18,1699,1323,+376,22.1
ヴァンパイドル滾（５） (少年サンデーコミックス),5,2026-08-18,2067,1733,+334,16.2
漫画アクション 2026年9/1号［雑誌］,,2026-08-18,88003,1779,+86224,98
悶えてよ、アダムくん8 (ナイトマ),,2026-08-18,6893,5660,+1233,17.9
君は明け星 (1) (少年サンデーコミックススペシャル),1,2026-08-18,17641,8193,+9448,53.6
史上最強の弟子ケンイチ 愛蔵版 (1) (少年サンデーコミックススペシャル),1,2026-08-18,9587,9923,-336,-3.5
史上最強の弟子ケンイチ 愛蔵版 (2) (少年サンデーコミックススペシャル),2,2026-08-18,8076,10115,-2039,-25.2
勤務時間外、隣人の上司はケモノになる。7 (Clair TLcomics),1,2026-08-18,15222,10940,+4282,28.1
可惜夜のヴィヤンド (G-Lish Comics),,2026-08-18,70502,13737,+56765,80.5
吾が君散るらむ (3) (少年サンデーコミックススペシャル),3,2026-08-18,21631,13962,+7669,35.5
教師の俺らはシてもいいでしょ?~マジメ先生はチャラ男先生に敵わない~4 (Clair TLcomics),,2026-08-18,31918,17825,+14093,44.2
策士な王太子の溺愛包囲網～婚活中の公爵令嬢は逃げられません！～【分冊版】5話 (乙女ドルチェ・コミックス),2,2026-08-18,154696,28893,+125803,81.3
決定版 バングラデシュのことがマンガで3時間でわかる本,,2026-08-18,46446,29994,+16452,35.4
エルフは絶対ときめかない (彗星社コミックス),,2026-08-18,68439,57312,+11127,16.3
嘆きの聖女は王子様の箱庭の中 3 (ASTRO COMICS),3,2026-08-18,101949,63946,+38003,37.3
腹黒陛下の甘やかな策略～婚活を助けたらプロポーズされました!?～【分冊版】3話 (乙女ドルチェ・コミックス),3,2026-08-18,140676,66635,+74041,52.6
傷うつし令嬢の逃亡計画は、王子の溺愛で阻止されました【分冊版】11話 (乙女ドルチェ・コミックス),,2026-08-18,127271,92009,+35262,27.7
プッシャー天使ケンチー 分冊版 ： 15 (アクションコミックス),15,2026-08-18,93775,108915,-15140,-16.1
魔法少女イナバ 連載版：11 (ブシロードコミックス),,2026-08-18,222023,237825,-15802,-7.1
