順位,タイトル,巻数,発売日
2043,無能の悪童王子は生き残りたい～恋愛RPGの悪役モブに転生したけど、原作無視して最強を目指す～（コミック） ： 5 (モンスターコミックス),5,2026-06-28
16992,社内探偵(71) (コミックなにとぞ),71,2026-06-28
19281,新卒の美和ちゃん～社内探偵外伝～(14) (コミックなにとぞ),14,2026-06-28
120122,経験をスキルにする万能な能力を手に入れて、最強の探索者になりました～JKと一緒にダンジョン探索で成り上がる～【分冊版】（13） (マンガBANGコミックス),13,2026-06-28
164821,まるごとぜんぶに恋してよ【分冊版】 第3話 (ダリアコミックスe),,2026-06-28
