順位,タイトル,巻数,発売日
15,BLUE GIANT MOMENTUM（８） (ビッグコミックススペシャル),8,2026-06-30
32,アオアシ ブラザーフット（２） (ビッグコミックス),2,2026-06-30
68,ありす、宇宙までも（７） (ビッグコミックス),7,2026-06-30
122,劇光仮面（９） (ビッグコミックススペシャル),9,2026-06-30
320,神作家・紫式部のありえない日々: 8【電子限定描き下ろし付き】 (ZERO-SUMコミックス),3,2026-06-30
368,Landreaall: 45【電子限定描き下ろし付き】 (ZERO-SUMコミックス),3,2026-06-30
370,フェルマーの料理（８） (月刊少年マガジンコミックス),8,2026-06-30
400,チラチラ（７） (ビッグコミックス),7,2026-06-30
459,梟と番様　2巻 (ZERO-SUMコミックス),2,2026-06-30
461,夢なし先生の進路指導（８） (ビッグコミックス),8,2026-06-30
513,フールナイト（１３） (ビッグコミックス),13,2026-06-30
793,永世乙女の戦い方（１５） (ビッグコミックス),15,2026-06-30
1204,Landreaall 45巻 特装版 (ZERO-SUMコミックス),45,2026-06-30
1927,植物病理学は明日の君を願う（８） (ビッグコミックス),8,2026-06-30
1942,神田ごくら町職人ばなし　二 (トーチコミックス),,2026-06-30
1967,味いちもんめ 継ぎ味（１６） (ビッグコミックス),16,2026-06-30
2153,公爵様、悪妻の私はもう放っておいてください　3巻 (ZERO-SUMコミックス),3,2026-06-30
2198,めしばな刑事タチバナ(60) ジュースの素性 (トクマコミックス),60,2026-06-30
2215,【新装版】今どきの若いモンは（３４） (サイコミ×裏少年サンデーコミックス),34,2026-06-30
2422,うっちゃれ五所瓦 粘り腰編（１０） (ビッグコミックス),10,2026-06-30
2566,狐の窓～ゆるっと怪異～４ (コミックエッセイ),,2026-06-30
2897,ルーチェと白の契約: 8【電子限定描き下ろし付き】 (ZERO-SUMコミックス),3,2026-06-30
2943,バブル・ザムライ (8) (ビッグコミックス),8,2026-06-30
3784,Deep3（１５） (ビッグコミックス),15,2026-06-30
3857,魔界の議場（３） (ビッグコミックス),3,2026-06-30
4120,虐げられ乙女の幸せな嫁入り アンソロジーコミック: 7 (ZERO-SUMコミックス),7,2026-06-30
4346,皇帝陛下の専属司書姫: 3【電子限定描き下ろし付き】 (ZERO-SUMコミックス),3,2026-06-30
7891,異世界社長 魔王軍で成り上がる！（１９） (サイコミ×裏少年サンデーコミックス),19,2026-06-30
8117,ゴルゴ13　178　Gの遺伝子 (SPコミックスコンパクト),,2026-06-30
8871,離婚したいアナタへ（２） (ビッグコミックス),2,2026-06-30
9779,鶴子はまだ四十五だから！（５） (サイコミ×裏少年サンデーコミックス),5,2026-06-30
10678,極限夫婦 ： 18 (アクションコミックス),18,2026-06-30
11191,皇都陰陽学校　傷モノの花嫁　外伝　分冊版（２） (シリウスコミックス),2,2026-06-30
11612,バックホームブルース（７） (ビッグコミックス),7,2026-06-30
11801,パートごときがでしゃばるなとクビにされました～このスーパー、私達で回してましたが大丈夫ですか？～【単話】 7 (Rentaコミックス),7,2026-06-30
11803,ちくわ戦記～おれのカワイイで地球侵略～（８） (サイコミ×裏少年サンデーコミックス),8,2026-06-30
12149,不貞のオリンピア(1) (MeDu COMICS),1,2026-06-30
12272,悪役令嬢みたいに断罪されそうだったけど、全力で愛されてます! 不幸な運命に「ざまぁ」しますわ! アンソロジーコミック(10) (KCx),10,2026-06-30
12831,猛暑のサバイバル (科学漫画サバイバルシリーズ95),,2026-06-30
