順位,タイトル,巻数,発売日
8,異世界のんびり農家(17) (ドラゴンコミックスエイジ),17,2026-09-09
21,転生コロシアム　8　～最弱スキルで最強の女たちを攻略して奴隷ハーレム作ります～ 転生コロシアム ～最弱スキルで最強の女たちを攻略して奴隷ハーレム作ります～ (ドラゴンコミックスエイジ),8,2026-09-09
22,みいちゃんと山田さん（７） (マガジンポケットコミックス),7,2026-09-09
33,タワーダンジョン（７） (シリウスコミックス),7,2026-09-09
38,薫る花は凛と咲く（２４） (マガジンポケットコミックス),24,2026-09-09
46,黄金の経験値　５ (ドラゴンコミックスエイジ),5,2026-09-09
99,ベアゲルター（８） (シリウスコミックス),8,2026-09-09
111,いとこのこ 6【2色カラー特別版】 (ドラゴンコミックスエイジ),,2026-09-09
117,勇者パーティを追い出された器用貧乏　～パーティ事情で付与術士をやっていた剣士、万能へと至る～（２０） (シリウスコミックス),20,2026-09-09
153,聖者無双（１７） (シリウスコミックス),17,2026-09-09
194,時々ボソッとロシア語でデレる隣のアーリャさん（１０） (マガジンポケットコミックス),10,2026-09-09
222,念願の悪役令嬢の身体を手に入れたぞ！（１１） (マガジンポケットコミックス),11,2026-09-09
226,異世界のんびり農家の日常　8 (ドラゴンコミックスエイジ),8,2026-09-09
235,ＷＩＮＤ　ＢＲＥＡＫＥＲ（２７） (マガジンポケットコミックス),27,2026-09-09
304,怪獣自衛隊　24巻 (バンチコミックス),24,2026-09-09
335,ギルティサークル（２２） (マガジンポケットコミックス),22,2026-09-09
435,辺境の薬師、都でＳランク冒険者となる～英雄村の少年がチート薬で無自覚無双～（１４） (マガジンポケットコミックス),14,2026-09-09
610,いとこのこ 6 イラスト集付き特装版【2色カラー特別版】 いとこのこ【特装版】 (ドラゴンコミックスエイジ),,2026-09-09
663,実は俺、最強でした？（２１） (シリウスコミックス),21,2026-09-09
833,復讐が足りない（４） (コミックＤＡＹＳコミックス),4,2026-09-09
900,田舎の黒ギャルJKと結婚しました 4 (ドラゴンコミックスエイジ),4,2026-09-09
926,村人ですが何か？(18) (ドラゴンコミックスエイジ),18,2026-09-09
954,金色の文字使い25　―勇者四人に巻き込まれたユニークチート― 金色の文字使い　―勇者四人に巻き込まれたユニークチート― (ドラゴンコミックスエイジ),,2026-09-09
984,脇役に転生したはずが、いつの間にか伝説の錬金術師になってた　～仲間たちが英雄でも俺は支援職なんだが～（７） (シリウスコミックス),7,2026-09-09
1120,鬼人幻燈抄（コミック） ： 11 (アクションコミックス),11,2026-09-09
1205,さわらないで小手指くん（１７） (週刊少年マガジンコミックス),17,2026-09-09
1284,ハプスブルク家の華麗なる受難（３） (マガジンポケットコミックス),3,2026-09-09
1307,宮廷魔導師見習いを辞めて、魔法アイテム職人になります　8巻 (バンチコミックス),8,2026-09-09
1319,ウリッコ（４） (コミックＤＡＹＳコミックス),4,2026-09-09
1352,みいちゃんと山田さん(7)絵本付き特装版 (講談社キャラクターズA),7,2026-09-09
1808,蜜を追う　2巻 (バンチコミックス),2,2026-09-09
1924,魔術ギルド総帥～生まれ変わって今更やり直す２度目の学院生活～（１４） (マガジンポケットコミックス),14,2026-09-09
2089,悪役令嬢の四畳半（５） (星海社コミックス),5,2026-09-09
2141,かみあそび！～カードゲーマー少女の日常～（８） (コミックＤＡＹＳコミックス),8,2026-09-09
2277,彼は友達（５） (モーニングコミックス),5,2026-09-09
2329,江戸前の旬 134 (漫画ゴラク),134,2026-09-09
