タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
女の園の星　５ (フィールコミックス),5,2026-09-08,2,1,+1,50
魔入りました！入間くん　50 (少年チャンピオン・コミックス),50,2026-09-08,37,5,+32,86.5
ドローイング 最強漫画家はお絵描きスキルで異世界無双する！20 (ヴァルキリーコミックス),20,2026-09-08,72,33,+39,54.2
弱虫ペダル 102 (102) (少年チャンピオンコミックス),102,2026-09-08,151,34,+117,77.5
きみは四葉のクローバー 10 (10) (少年チャンピオンコミックス),10,2026-09-08,712,398,+314,44.1
暁の魔女レイシーは自由に生きたい 4　～魔王討伐を終えたので、のんびりお店を開きます～ (ガルドコミックス),4,2026-09-08,1648,517,+1131,68.6
ウィズレイン王国物語　～竜が花嫁～ 3 (ガルドコミックス),3,2026-09-08,911,568,+343,37.7
女の園の星　５　特装版 (フィールコミックス),,2026-09-08,1003,728,+275,27.4
バキのわ! ~バキを語る女子高校生たち~ 1 (1) (少年チャンピオンコミックス),1,2026-09-08,2558,753,+1805,70.6
かわいい後輩に言わされたい 10 (10) (少年チャンピオンコミックス),10,2026-09-08,1908,1128,+780,40.9
魔入りました!入間くん【特装版】 50 (50) (少年チャンピオンコミックス),50,2026-09-08,1649,1283,+366,22.2
うちの弟子がいつのまにか人類最強になっていて、なんの才能もない師匠の俺が、それを超える宇宙最強に誤認定されている件について 5 (5) (少年チャンピオンコミックス),5,2026-09-08,3006,1322,+1684,56
チェリー勇者と“せい”なる剣 9 (9) (少年チャンピオンコミックス),9,2026-09-08,2580,1437,+1143,44.3
弱小国家の英雄王子 4　～最強の魔術師だけど、さっさと国出て自由に生きてぇぇ！～ (ガルドコミックス),4,2026-09-08,4883,2027,+2856,58.5
仕事人間な伯爵令嬢は氷の宰相様の愛を見誤っている 4 (ガルドコミックス),4,2026-09-08,3969,2119,+1850,46.6
気絶勇者と暗殺姫 16 (16) (少年チャンピオンコミックス),16,2026-09-08,5071,2272,+2799,55.2
魔入りました!入間くん公式アンソロジー 放課後の!入間くん 2 (2) (少年チャンピオンコミックス),2,2026-09-08,5056,2531,+2525,49.9
忠誠心がないと言われたので婚約を解消してあげました。4 (ブシロードコミックス),4,2026-09-08,9278,2723,+6555,70.7
HP5ですけど自動治癒（オートヒール）があれば死にません！　3 (少年チャンピオン・コミックス),3,2026-09-08,7270,3067,+4203,57.8
聖闘士星矢 Final Edition 16 (16) (少年チャンピオンコミックス),16,2026-09-08,4744,3804,+940,19.8
幼馴染たちが人気アイドルになった ～甘々な彼女たちは俺に貢いでくれている～ 1 (ブシロードコミックス),1,2026-09-08,10904,4698,+6206,56.9
カラフルアンチノミー４ (フィールコミックス),4,2026-09-08,9277,5367,+3910,42.1
プチコミック【デジタル限定 コミックス試し読み特典付き】 2026年10月号（2026年9月8日発売） [雑誌],,2026-09-08,56194,6043,+50151,89.2
息できないのは君のせい 後日談【単話版】(1) (ビボピーコミックス),1,2026-09-08,34739,6525,+28214,81.2
半蔵と十三人の女忍たち 3 (3) (少年チャンピオンコミックス),3,2026-09-08,16488,8769,+7719,46.8
ぷにぺたじっとり汗みずく (TENMA COMICS LO),,2026-09-08,16627,11091,+5536,33.3
ダストランド(話売り)　#16 (ヤングチャンピオン・コミックス),16,2026-09-08,32115,11334,+20781,64.7
再見の夜明けまで１ (フィールコミックス),1,2026-09-08,19286,11475,+7811,40.5
鬱展開大好き主人公VS優しい世界 1　転生先が平和すぎるので、至高の絶望を求めて旅に出ます (ガルドコミックス),,2026-09-08,21557,12903,+8654,40.1
ふたり街あるき 02 (BRIDGE COMICS),2,2026-09-08,19488,14748,+4740,24.3
スター・ウォーズ マンダロリアン グラフィックノベル シーズン1: 「掟」を破り、その手を握った。賞金稼ぎと孤児の、銀河を巡る逃亡劇!,,2026-09-08,17608,18360,-752,-4.3
マンガで世界一わかりやすい英語の発音の授業,,2026-09-08,30618,19029,+11589,37.9
飼育員セシルの日誌 2　～ひとりぼっちの女の子が新天地で愛を知るまで～ 飼育員セシルの日誌　～ひとりぼっちの女の子が新天地で愛を知るまで～ (ガルドコミックス),2,2026-09-08,77617,23316,+54301,70
私は悪役令嬢らしいので、ラスボスを愛でる係になることにしました 1 (ブシロードコミックス),1,2026-09-08,154298,27943,+126355,81.9
私は悪役令嬢らしいので、ラスボスを愛でる係になることにしました 1 (ブシロードコミックス),1,2026-09-08,48879,29861,+19018,38.9
自称・保護者の騎士様が後方腕組み彼氏面で私(聖女)のお見合いを邪魔してきます!2 (オパールCOMICS kiss),2,2026-09-08,36579,32331,+4248,11.6
京都くれなゐ荘奇譚 2 (ブシロードコミックス),2,2026-09-08,97366,37854,+59512,61.1
友死日～大谷吉継と石田三成、血契りの果て～　2 (少年チャンピオン・コミックス),2,2026-09-08,48899,46137,+2762,5.6
探索者イリアスは人見知り 最強ぼっち少年は、最恐の仮面で今日もひとりを貫きたい 1 (ブシロードコミックス),1,2026-09-08,186910,50797,+136113,72.8
