タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
九条の大罪（１７） (ビッグコミックス),17,2026-08-03,11,6,+5,45.5
チハヤリスタート！　５巻 (ＦＵＺコミックス),5,2026-08-03,451,213,+238,52.8
ＩＤＯＬ×ＩＤＯＬ　ＳＴＯＲＹ！　１１巻 (ＦＵＺコミックス),11,2026-08-03,997,336,+661,66.3
【電子版限定特典付き】精霊幻想記14 (ホビージャパンコミックス),,2026-08-03,1436,627,+809,56.3
【電子版限定特典付き】アラフォーおっさんはスローライフの夢を見るか？5 (HJコミックス),,2026-08-03,2709,840,+1869,69
【電子版限定特典付き】インフィニット・デンドログラム16 (ホビージャパンコミックス),,2026-08-03,3716,1419,+2297,61.8
うさぎはかく語りき　３巻 (ＦＵＺコミックス),3,2026-08-03,9198,2721,+6477,70.4
【電子版限定特典付き】スライム大公と没落令嬢のあんがい幸せな婚約6 (HJコミックス),,2026-08-03,6548,3514,+3034,46.3
インコでも青春したい　３巻 (ＦＵＺコミックス),3,2026-08-03,7874,3685,+4189,53.2
東天の獅子（コミック） ： 4 (アクションコミックス),4,2026-08-03,8636,4946,+3690,42.7
球場のシャーロット　３巻 (ＦＵＺコミックス),3,2026-08-03,13218,5836,+7382,55.8
ぶらり異世界ケモの旅 2 (NOiPA COMiCS),2,2026-08-03,10891,7006,+3885,35.7
魔美華ちゃんが来る! (怪と幽COMICS),,2026-08-03,11583,9642,+1941,16.8
でかいはち(1),1,2026-08-03,11101,10814,+287,2.6
でかいはち(2),2,2026-08-03,13197,12135,+1062,8
路傍のフジイ【単話】（６４） (ビッグコミックス),64,2026-08-03,24951,14617,+10334,41.4
忠犬Domは東主任を甘やかしたい(1) (Bivy comic),1,2026-08-03,37935,17188,+20747,54.7
【電子版限定特典付き】スライムマスターちゃんのVRMMO2 (HJコミックス),,2026-08-03,31158,18042,+13116,42.1
お日さまと朝食 ~パンケーキ・鮭・目玉焼き~ (ぐる漫),,2026-08-03,15616,20832,-5216,-33.4
灯台守とかもめの子 3 (H&C Comics ihr HertZシリーズ),3,2026-08-03,23053,24781,-1728,-7.5
離婚するはずが、冷酷騎士の旦那さまに溺愛されていたようです(1) (CITR COMICS),1,2026-08-03,27584,25308,+2276,8.3
プレイゴッド (H&C Comics iHertZシリーズ),,2026-08-03,38474,31299,+7175,18.6
灰色と赤 (H&C Comics CRAFTシリーズ),,2026-08-03,28123,32360,-4237,-15.1
恋なんて忘れてた (drap COMICS DX),,2026-08-03,41259,43077,-1818,-4.4
欲しがり上手のラブコール (アンダルシュCOMICS),1,2026-08-03,103230,75830,+27400,26.5
どちらかの家庭が崩壊する漫画(13) (コミックエッセイ),13,2026-08-03,92649,77613,+15036,16.2
