タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
クラス転移で俺だけハブられたので、同級生ハーレム作ることにした(13) (モンスターコミックス),13,2026-08-12,189,202,-13,-6.9
神様のバレー　４１巻 (芳文社コミックス),41,2026-08-12,1141,214,+927,81.2
北海道の現役ハンターが異世界に放り込まれてみた ～エルフ嫁と巡る異世界狩猟ライフ～ 8巻 (マッグガーデンコミックスBeat'sシリーズ),8,2026-08-12,1088,228,+860,79
学園騎士のレベルアップ！レベル1000超えの転生者、落ちこぼれクラスに入学。そして、(13) (モンスターコミックス),13,2026-08-12,224,268,-44,-19.6
占い師には花騎士の恋心が見えています6 (ブリーゼコミックス),,2026-08-12,1103,324,+779,70.6
むせるくらいの愛をあげる（８） (デザートコミックス),8,2026-08-12,2030,530,+1500,73.9
クロエマ（５） (Ｋｉｓｓコミックス),5,2026-08-12,1759,645,+1114,63.3
隣のステラ（１０） (別冊フレンドコミックス),10,2026-08-12,1841,660,+1181,64.1
おしえて執事くん（３） (デザートコミックス),3,2026-08-12,2508,732,+1776,70.8
くまぐらし (07) (MANGAバルCOMICS),7,2026-08-12,1731,1011,+720,41.6
J⇔M ジェイエム 8 (ハルタコミックス),8,2026-08-12,1041,1013,+28,2.7
とことんクズな渡良瀬なのに(4) (別冊フレンドKC),4,2026-08-12,3096,1031,+2065,66.7
元探索者のおじいちゃん～孫にせがまれてダンジョン配信を始めたんじゃが、なぜかバズりおったわい～ 3巻 (マッグガーデンコミックスBeat'sシリーズ),3,2026-08-12,5758,1057,+4701,81.6
コワモテの隣人がΩだった時の対処法: 3.5@酔っ払い【小冊子】 (gateauコミックス),,2026-08-12,13951,1583,+12368,88.7
ちびっ子転生日記帳～お友達いっぱいつくりましゅ！～ THE COMIC 3巻 (マッグガーデンコミックスBeat'sシリーズ),3,2026-08-12,7322,1619,+5703,77.9
宝石箱に愛をつめよう(2) (別冊フレンドKC),2,2026-08-12,3779,1789,+1990,52.7
プレイアフターコール (3) (gateauコミックス),3,2026-08-12,19549,2030,+17519,89.6
復讐装置いかがですか？【単行本版】　４巻 (芳文社コミックス),4,2026-08-12,6305,2148,+4157,65.9
ハイスペ弁護士との同居生活は最低で最高です。（１０） (姉フレンドコミックス),10,2026-08-12,4402,2201,+2201,50
ハルメイ（４） (パルシィコミックス),4,2026-08-12,8263,2602,+5661,68.5
峠鬼 9 (ハルタコミックス),9,2026-08-12,3256,2636,+620,19
子連れオーク　３巻 (トレイルコミックス),3,2026-08-12,13824,2729,+11095,80.3
現象X 超常現象捜査録 3 (ハルタコミックス),3,2026-08-12,3607,3094,+513,14.2
災い狐のくずれちゃん(10) (リュウコミックス),10,2026-08-12,7142,3277,+3865,54.1
聖剣とビキニアーマー 1 (MANGAバルCOMICS),1,2026-08-12,6447,3999,+2448,38
藤と海 -再会と愛執- (ビームコミックス),,2026-08-12,6476,4442,+2034,31.4
異世界最強の嫁ですが、夜の戦いは俺の方が強いようです 知略を活かして成り上がるハーレム戦記(7) (モンスターコミックス),7,2026-08-12,4442,4527,-85,-1.9
私たちはどうかしている 妻恋い(5) (BE LOVE KC),5,2026-08-12,7123,5297,+1826,25.6
いいご身分だな、俺にくれよ ～下剋上揺籃編～ 3巻 (マッグガーデンコミックスBeat'sシリーズ),3,2026-08-12,15997,5631,+10366,64.8
悪役令嬢に転生したので、隠れハイスペ王子と破滅の運命を回避します！4 (ブリーゼコミックス),,2026-08-12,13022,6799,+6223,47.8
きみにほどけて春嵐(2) (BE LOVE KC),2,2026-08-12,17049,7132,+9917,58.2
私の魂を食べて下さい!(2) (リュウコミックス),2,2026-08-12,23132,7247,+15885,68.7
君と夏のなか 春日和 君は夏のなか (gateauコミックス),,2026-08-12,62867,7930,+54937,87.4
廻生の血盟者 Vol.8 (MANGAバルCOMICS),8,2026-08-12,17201,7972,+9229,53.7
君は僕の理想の彼氏(3) (KCデザート),3,2026-08-12,9874,9326,+548,5.5
ウェイバーズ 1 (ハルタコミックス),1,2026-08-12,15913,9538,+6375,40.1
堕天使コウモリくんの純愛(2) (別冊フレンドKC),2,2026-08-12,18034,9758,+8276,45.9
侍タイムスリッパー(1) (アニメージュコミックス),1,2026-08-12,7965,10275,-2310,-29
異世界たぬき 2巻 (マッグガーデンコミックスBeat'sシリーズ),2,2026-08-12,18956,10669,+8287,43.7
モンガータの旅人よ (3),3,2026-08-12,12221,11041,+1180,9.7
探偵令嬢ジュリア・モリアーティ～性別も身分も変わりましたが、転生先でも探偵業再開します～ 2巻 (マッグガーデンコミックスBeat'sシリーズ),2,2026-08-12,37860,11068,+26792,70.8
ポンコツ悪霊 闇子ちゃん 1 (ビームコミックス),1,2026-08-12,20488,11971,+8517,41.6
はじめまして、オレの親友@夏の思い出 (gateauコミックス),,2026-08-12,33256,14857,+18399,55.3
Re:異世界で最強のスキルを生み出せたので、ひたすら無双することにしました。～俺だけがステータスを勝手に操作～(1) (モンスターコミックス),1,2026-08-12,26259,15234,+11025,42
１：２交際はラブコメに入りますか？　４巻 (芳文社コミックス),4,2026-08-12,37769,15356,+22413,59.3
よあけのキッチン 2 (MANGAバルCOMICS),2,2026-08-12,24867,16701,+8166,32.8
おしえて執事くん(3)アクリルスタンドつき限定版 (講談社キャラクターズA),3,2026-08-12,22549,16723,+5826,25.8
大家さんちの光くん(2) (KCデザート),2,2026-08-12,25047,17709,+7338,29.3
ロリースイートロリー (ブリーゼコミックス),,2026-08-12,42942,17734,+25208,58.7
祝祭の輪舞 (ビームコミックス),,2026-08-12,22940,17868,+5072,22.1
24時間、彼女のカラダ貸します。　２ (芳文社コミックス),2,2026-08-12,31281,18169,+13112,41.9
ハルタ 2026-AUGUST volume 136 (ハルタコミックス),136,2026-08-12,21435,18495,+2940,13.7
おかえり、私を汚すα(1) (KCデラックス),1,2026-08-12,51613,19279,+32334,62.6
ヤングコミック 2026年 09月号 [雑誌],,2026-08-12,28243,20226,+8017,28.4
プラガ エス プラガ 1 (ビームコミックス),1,2026-08-12,24202,21196,+3006,12.4
勇者ディンは2.5回殺せ 3巻 (マッグガーデンコミックスBeat'sシリーズ),3,2026-08-12,47422,22503,+24919,52.5
心霊写真密売マニュアル 2 (ハルタコミックス),2,2026-08-12,30579,22551,+8028,26.3
レベルの概念がない世界で、俺だけが【全自動レベルアップ】～スキルで一秒ごとに強くなる～ 4巻 (マッグガーデンコミックスBeat'sシリーズ),4,2026-08-12,55436,23401,+32035,57.8
