タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
灰色のアッシュ４～帝国騎士団をクビになった俺はダンジョン都市で灰色の人生をひっくり返す～ (ムゲンコミックス),4,2026-08-31,1441,213,+1228,85.2
スマホで異世界の神になる方法～失業したら冷酷領主に愛されました～ ： 4 【電子限定特典付き】 (ジュールコミックス),,2026-08-31,3399,1399,+2000,58.8
片恋結婚 ～年上の旦那様は不器用な愛妻家～ （7） 【かきおろし漫画付】 (無敵恋愛S*girl),7,2026-08-31,5208,3188,+2020,38.8
コミックライド2026年9月号,,2026-08-31,15275,9509,+5766,37.7
賭けからはじまる最後の初恋【単話版】 第13話 賭けからはじまるサヨナラの恋【単話版】 (コミックELMO),,2026-08-31,19175,12135,+7040,36.7
少し長めの一瞬,,2026-08-31,16704,14893,+1811,10.8
ああ資本主義の悪の華はいつまで咲き誇るのか。　1 (トーチコミックス),1,2026-08-31,14576,15560,-984,-6.8
スマホで異世界の神になる方法～失業したら冷酷領主に愛されました～ 分冊版 ： 13 (ジュールコミックス),13,2026-08-31,39990,21955,+18035,45.1
人妻物語（フルカラー）10 (コミックダイス),10,2026-08-31,46027,23867,+22160,48.1
救い、巣喰われ 第52話【単話版】 救い、巣喰われ【単話版】 (コミックRouge),,2026-08-31,42895,26492,+16403,38.2
【分冊版】近すぎほたるで身を焦がす 12 (MeDu COMICS),12,2026-08-31,88503,29067,+59436,67.2
Re:Re:Re:Kiss ： 2 (アクションコミックス),2,2026-08-31,53104,30072,+23032,43.4
婿入りアルファは愛を知る(6) (ザ オメガバース プロジェクト コミックス),6,2026-08-31,90657,47929,+42728,47.1
【分冊版】よもつけだもの 10 (MeDu COMICS),10,2026-08-31,64788,58077,+6711,10.4
レベル1から始まる召喚無双【単話版】第46話 (コミックライド),,2026-08-31,74729,82005,-7276,-9.7
