タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
みいちゃんと山田さん　分冊版（３６） (マガジンポケットコミックス),36,2026-08-02,4751,1868,+2883,60.7
ペッタん娘じゃダメですか？【コミックス版】(6) (DEDEDE),6,2026-08-02,26350,12693,+13657,51.8
お嬢様はお仕置きが好き【マイクロ】（５９） (フラワーコミックスα),59,2026-08-02,17599,13535,+4064,23.1
花は二度咲き乱れる【マイクロ】（４８） (フラワーコミックス),48,2026-08-02,49886,27367,+22519,45.1
Immoral ： 28 (ジュールコミックス),28,2026-08-02,40664,31204,+9460,23.3
愛でて春～呪われた公爵騎士様は溺愛する～【マイクロ】（１５） (フラワーコミックス),15,2026-08-02,33160,31916,+1244,3.8
悪魔と俺と 分冊版 ： 9 (アクションコミックス),9,2026-08-02,29238,33715,-4477,-15.3
悪魔と俺と 分冊版 ： 10 (アクションコミックス),10,2026-08-02,39236,35556,+3680,9.4
生まれ変わってやり直させて【マイクロ】（１５） (フラワーコミックス),15,2026-08-02,52482,36295,+16187,30.8
蝶は愛執の檻にとらわれる【マイクロ】（２０） (フラワーコミックス),20,2026-08-02,98681,45185,+53496,54.2
赤の結婚【マイクロ】 23 (フラワーコミックス),23,2026-08-02,119374,79859,+39515,33.1
夫婦円満レシピ～それでも夫を愛している～ ： 25 (ジュールコミックス),25,2026-08-02,72090,83261,-11171,-15.5
