タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
勇気あるものより散れ 9 (ヤングアニマルコミックス),9,2026-07-29,393,205,+188,47.8
放課後のアイドルには秘密がある 9 (ヤングアニマルコミックス),9,2026-07-29,450,223,+227,50.4
異世界召喚は二度目です（コミック） ： 16 (モンスターコミックス),16,2026-07-29,1560,1236,+324,20.8
モンスターのご主人様（コミック） ： 22 (モンスターコミックス),22,2026-07-29,2247,1431,+816,36.3
俺がいないとすぐ××る儚木かすみ(2) (ヒーローズコミックス わいるど),2,2026-07-29,4991,1908,+3083,61.8
生贄家族 8 (漫画ゴラク),8,2026-07-29,6818,2398,+4420,64.8
江戸前の旬 133 (漫画ゴラク),133,2026-07-29,6216,2491,+3725,59.9
虐殺ハッピーエンド～蒼の章～ 7 (ヤングアニマルコミックス),7,2026-07-29,10183,7014,+3169,31.1
気づいたら無双ゲームの悪役将軍だった件。～破滅ルートはぶっ壊す～(2) (ヒーローズコミックス わいるど),2,2026-07-29,11092,7156,+3936,35.5
妖怪王きゅん学園 1 (ヤングアニマルコミックス),1,2026-07-29,14396,8400,+5996,41.7
訳アリ・物件女子: セラフィンコミックス,,2026-07-29,20707,24032,-3325,-16.1
人妻物語（フルカラー）06 (コミックダイス),,2026-07-29,35241,28553,+6688,19
若返った!おじさん魔術師は現世で二度目の人生を始める(2) ~最強の力と美人姉妹も添えて~ (リュウコミックスユニコーン),2,2026-07-29,64932,42386,+22546,34.7
火の龍の国 4 (ヤングアニマルコミックス),4,2026-07-29,33854,43271,-9417,-27.8
青春プロタゴニスト　僕たちは恋愛過剰 5 (コミックヘヴン),5,2026-07-29,85995,92282,-6287,-7.3
ドカ食いダイスキ！ もちづきさん［1話売り］　第21話 (ヤングアニマルコミックス),,2026-07-29,141242,148849,-7607,-5.4
ドカ食いダイスキ！ もちづきさん［1話売り］　第20話 (ヤングアニマルコミックス),,2026-07-29,198436,198563,-127,-0.1
