順位,タイトル,巻数,発売日
161,ミリモス・サーガ－末弟王子の転生戦記 （13） (マンガBANGコミックス),13,2026-07-19
2396,元最強攻略者、望まぬダンジョン配信で無双してしまう～コーチの依頼をしてきたのは大人気アイドルでした～（5） (マンガBANGコミックス),5,2026-07-19
9812,白のネクロマンサー ～死霊王への道～ （12） (マンガBANGコミックス),12,2026-07-19
