タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
玉川さん 出てました？ 4巻 (デジタル版ヤングガンガンコミックス),4,2026-06-25,369,65,+304,82.4
モブ高生の俺でも冒険者になればリア充になれますか？（ノヴァコミックス）８,,2026-06-25,453,195,+258,57
ハニーレモンソーダ Another Stories (りぼんマスコットコミックス),,2026-06-25,1070,579,+491,45.9
ビッグコミック 2026年13号（2026年6月25日発売） [雑誌],,2026-06-25,6011,581,+5430,90.3
追放勇者の優雅な生活～自由になったら俺だけの最愛天使も手に入った！～ 5巻 (デジタル版ヤングガンガンコミックス),5,2026-06-25,1695,602,+1093,64.5
不可抗力のI LOVE YOU 9 (マーガレットコミックスDIGITAL),9,2026-06-25,1956,860,+1096,56
うちの弟どもがすみません 15 (マーガレットコミックス),15,2026-06-25,2383,1044,+1339,56.2
冷たくて 柔らか 7 (マーガレットコミックスDIGITAL),7,2026-06-25,2541,1102,+1439,56.6
学園潜水艦隊マーメイドガールズ 4巻 (デジタル版ビッグガンガンコミックス),4,2026-06-25,5302,2290,+3012,56.8
「幼馴染みがほしい」と呟いたらよく一緒に遊ぶ女友達の様子が変になったんだが２【電子版限定特典付き】 (ノヴァコミックス),,2026-06-25,5985,2530,+3455,57.7
Re:blue 10 (マーガレットコミックス),10,2026-06-25,3285,2565,+720,21.9
聖なる皇帝がとんだ隠れ絶倫だった件【第５話】 聖なる皇帝がとんだ隠れ絶倫だった件【単話】 (ピュールコミックス),,2026-06-25,9048,2809,+6239,69
8bitゲーム ドラえもん＆完全攻略ブック　40周年BOX ([バラエティ]),,2026-06-25,5777,3153,+2624,45.4
スノードロップ~あなたの死を望みます~(1) (ヤングガンガンコミックス),1,2026-06-25,3673,3283,+390,10.6
マリリンは、いなくなった 9 (マーガレットコミックス),9,2026-06-25,8188,3300,+4888,59.7
彼女はNOの翼を持っている ： 3 (アクションコミックス),3,2026-06-25,5320,3302,+2018,37.9
翠花は少子化担当 5巻 (デジタル版ヤングガンガンコミックス),5,2026-06-25,7918,4011,+3907,49.3
隣の元カレくん 6 (マーガレットコミックス),6,2026-06-25,5551,4595,+956,17.2
ブラックリストの食えない男 2 (オフィスユーコミックス),2,2026-06-25,6769,4602,+2167,32
オーガクラフト 2巻 (デジタル版ヤングガンガンコミックス),2,2026-06-25,11070,4806,+6264,56.6
泥の国 ： 4 (アクションコミックス),4,2026-06-25,14731,4936,+9795,66.5
今日きみの手をとってあの空の下 5 (オフィスユーコミックス),5,2026-06-25,6685,5185,+1500,22.4
世界で一番しあわせ！ 1 (マーガレットコミックスDIGITAL),1,2026-06-25,13855,5631,+8224,59.4
憧れの公爵様に嫁いだら、執着Hが止まりません！アンソロジー (ベビードールCOMICS),,2026-06-25,14746,6271,+8475,57.5
花金ラブアクシデント！【ペーパー付】【電子限定ペーパー付】 (arca comics),,2026-06-25,18784,6445,+12339,65.7
さようならはこちらです 上 (集英社ガールズコミックス),1,2026-06-25,26356,6602,+19754,75
さようならはこちらです 下 (集英社ガールズコミックス),3,2026-06-25,26199,6972,+19227,73.4
通販で買った妖刀がガチだった～試し斬りしたら空間が裂けて異世界に飛ばされた挙句、伝説の勇者だと勘違いされて困っています～１,,2026-06-25,33733,7801,+25932,76.9
追放勇者の優雅な生活~自由になったら俺だけの最愛天使も手に入った!~(5) (ヤングガンガンコミックス).,5,2026-06-25,13824,9990,+3834,27.7
異世界ハーレムループ～繰り返される1日から脱出する為に抱きまくります～(10) (GG-COMICS),10,2026-06-25,18483,11654,+6829,36.9
総特集 小林まこと　ー笑う闘魂！ー　(文藝別冊) (KAWADEムック),,2026-06-25,15500,12038,+3462,22.3
最強魔術師の溺愛才女 ～元パートナーと復縁したら、二度と離してもらえなくなりました～（１） (echo),1,2026-06-25,35320,12276,+23044,65.2
【単話】復讐の同窓会　第41話 (GG-COMICS),,2026-06-25,48994,13074,+35920,73.3
コワモテお兄さんとうぶギャルくん（分冊版） 【第4話】 (＆.Emo comics),,2026-06-25,34194,13347,+20847,61
白と黒 -妖蛇と身代わりのつがい-　下 (KiR comics),3,2026-06-25,44886,13543,+31343,69.8
白と黒 -妖蛇と身代わりのつがい- 上 (KiR comics),1,2026-06-25,43384,14850,+28534,65.8
私ですか？しがない脇役なのでお気になさらず。アンソロジー ～悪役令嬢編～ (comic LAKE),,2026-06-25,22697,14931,+7766,34.2
ストロベリィ・ケイク 1 (マーガレットコミックス),1,2026-06-25,26012,15016,+10996,42.3
怖くも愛おしい『ナニカ』に淫らにイカされる…。ホラーラブアンソロジー (ベビードールCOMICS),,2026-06-25,19096,15201,+3895,20.4
わたしのお嫁くん　プチキス（４６） (Ｋｉｓｓコミックス),46,2026-06-25,18217,15664,+2553,14
至福の殺し屋ごはん ： 2 (アクションコミックス),2,2026-06-25,38257,17218,+21039,55
マンガ・クイズつき『桃太郎電鉄2』で学ぶ47都道府県地理・歴史攻略 東日本編,,2026-06-25,22283,22087,+196,0.9
オルクセン王国史～野蛮なオークの国は、如何にして平和なエルフの国を焼き払うに至ったか～【分冊版】（ノヴァコミックス）１９,,2026-06-25,33373,22457,+10916,32.7
大長編ドラえもん のび太の海底鬼岩城 愛蔵版セット: 初出完全復刻版付き (書籍扱いコミックス単行本),,2026-06-25,60905,23196,+37709,61.9
溺れるアイスブルー（分冊版） 【第2話】 (＆.Emo comics),,2026-06-25,107341,23652,+83689,78
山口くんはワルくない　ベツフレプチ（５３） (別冊フレンドコミックス),53,2026-06-25,41296,24663,+16633,40.3
帝国機神ヴォルカミオン【分冊版】９ (ノヴァコミックス),,2026-06-25,25300,24773,+527,2.1
花見小路北日記 5 (マーガレットコミックス),5,2026-06-25,34516,24875,+9641,27.9
黄昏のオメガ　上 (drap COMICS DX),1,2026-06-25,30976,25781,+5195,16.8
はじめまして #初恋配信中 2巻 (デジタル版ヤングガンガンコミックス),2,2026-06-25,37394,25995,+11399,30.5
夜を教えて千夜来くん 2 (マーガレットコミックス),2,2026-06-25,34140,27376,+6764,19.8
惚れたはれたパンダ　プチデザ（７） (デザートコミックス),7,2026-06-25,91586,28329,+63257,69.1
黄昏のオメガ　下 (drap COMICS DX),3,2026-06-25,31110,28832,+2278,7.3
マンガ・クイズつき『桃太郎電鉄2』で学ぶ47都道府県地理・歴史攻略 西日本編,,2026-06-25,28155,29496,-1341,-4.8
お隣男子が弟ポジの一線を越えてくる (Charaコミックス),,2026-06-25,32081,29586,+2495,7.8
「先生、」（分冊版） 【第4話】 (＆.Emo comics),,2026-06-25,46940,37936,+9004,19.2
おしえて執事くん　プチデザ（１２） (デザートコミックス),12,2026-06-25,68923,44869,+24054,34.9
今日から使える異世界恋愛マニュアル(21) (GG-COMICS),21,2026-06-25,132022,81196,+50826,38.5
モブ高生の俺でも冒険者になればリア充になれますか？８　【冒険者ライセンスカード３種付Amazon特装版】,,2026-06-25,135375,139143,-3768,-2.8
