タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
現実主義勇者の王国再建記ⅩⅤ (ガルドコミックス),,2026-06-20,229,119,+110,48
骸骨騎士様、只今異世界へお出掛け中ⅩⅤ (ガルドコミックス),2,2026-06-20,239,126,+113,47.3
黒の召喚士 25 (ガルドコミックス),25,2026-06-20,941,397,+544,57.8
10年ぶりに再会したクソガキは清純美少女JKに成長していた 3 (ガルドコミックス),3,2026-06-20,1001,438,+563,56.2
オークの酒杯に祝福を 7 (ガルドコミックス),7,2026-06-20,1186,459,+727,61.3
死ぬ運命にある悪役令嬢の兄に転生したので、妹を育てて未来を変えたいと思います 3 (ガルドコミックス),3,2026-06-20,990,536,+454,45.9
ネトゲの嫁が人気アイドルだった 5　～クール系の彼女は現実でも嫁のつもりでいる～ (ガルドコミックス),5,2026-06-20,1715,610,+1105,64.4
大草原の小さな領主 2　～元廃ゲーマーな転生幼女の楽しいハードモード辺境開拓記～ (ガルドコミックス),2,2026-06-20,3772,936,+2836,75.2
俺の声に堕ちてください（５） (姉フレンドコミックス),5,2026-06-20,3112,1570,+1542,49.6
（毒殺された）世界無双の毒魔法使い （10） (マンガBANGコミックス),10,2026-06-20,3960,1693,+2267,57.2
毎日こつこつ俺タワー 建姫大図鑑④,,2026-06-20,6110,3227,+2883,47.2
フリードリヒの戦場 2　深紅の天才軍師、嘘から始める英雄譚 フリードリヒの戦場　深紅の天才軍師、嘘から始める英雄譚 (ガルドコミックス),,2026-06-20,11335,3954,+7381,65.1
名もなき魔物と二人の騎士～そして婚約者は困惑する～【マイクロ】 番外編 (異世界フラワーコミックス),,2026-06-20,16308,7372,+8936,54.8
俺の声に堕ちてください（５）　電子限定特装版 (姉フレンドコミックス),5,2026-06-20,13104,7717,+5387,41.1
自分をSSS級だと思い込んでいるC級魔術学生 1 (ガルドコミックス),1,2026-06-20,23655,9081,+14574,61.6
修学旅行で仲良くないグループに入りました　１(BeLuckCOMICS),1,2026-06-20,17883,9439,+8444,47.2
頭に花なんて咲いてません！悪役令嬢のツンがかわいすぎる件 19 (インカローズコミックス),19,2026-06-20,51948,10129,+41819,80.5
懐妊初夜～一途な社長は求愛の手を緩めない～【マイクロ】（２７） (フラワーコミックス),27,2026-06-20,21324,11857,+9467,44.4
ハイスクール・オーラバスター・エンゲイジ（５） (フラワーコミックス),5,2026-06-20,21468,12988,+8480,39.5
堕ちた剣聖、腐神に拾われる （3） (マンガBANGコミックス),3,2026-06-20,42605,23833,+18772,44.1
ハチミツにはつこい（１３）【番外編】 (フラワーコミックス),13,2026-06-20,57207,32604,+24603,43
フミヤ先輩と、好きバレ済みの僕。　１(BeLuckCOMICS),1,2026-06-20,48532,34554,+13978,28.8
虎王の花嫁さん【マイクロ】（４０） (フラワーコミックス),40,2026-06-20,41851,36569,+5282,12.6
最低賃金魔王　～歴代最強の魔王軍、その足を引っ張るのがお仕事です～ （3） (マンガBANGコミックス),3,2026-06-20,53963,42151,+11812,21.9
サムシングフォーブルー～わたしのしあわせは結婚？～(23) (コミックなにとぞ),23,2026-06-20,53472,64831,-11359,-21.2
推し活命な夫を捨てたい(7) (コミックなにとぞ),7,2026-06-20,181076,180692,+384,0.2
