タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
魔法医レクスの変態カルテ　5巻 (バンチコミックス),5,2026-07-09,231,113,+118,51.1
王子様の友達　５ (ドラゴンコミックスエイジ),5,2026-07-09,325,191,+134,41.2
デキる猫は今日も憂鬱（１３） (シリウスコミックス),13,2026-07-09,311,214,+97,31.2
老後に備えて異世界で８万枚の金貨を貯めます（１５）　【電子限定描きおろしペーパー付き】 (シリウスコミックス),15,2026-07-09,400,242,+158,39.5
数字であそぼ。（１６） (フラワーコミックスα),16,2026-07-09,323,269,+54,16.7
魔のものたちは企てる　４ (ドラゴンコミックスエイジ),4,2026-07-09,377,327,+50,13.3
最弱貴族に転生したので悪役たちを集めてみた（５） (シリウスコミックス),5,2026-07-09,996,347,+649,65.2
働かないふたり　38巻 (バンチコミックス),38,2026-07-09,641,368,+273,42.6
辺境の薬師、都でＳランク冒険者となる～英雄村の少年がチート薬で無自覚無双～（１３） (マガジンポケットコミックス),13,2026-07-09,928,391,+537,57.9
リィンカーネーションの花弁 24巻 (ブレイドコミックス),24,2026-07-09,439,404,+35,8
２９歳独身中堅冒険者の日常（２２） (週刊少年マガジンコミックス),22,2026-07-09,741,428,+313,42.2
味方が弱すぎて補助魔法に徹していた宮廷魔法師、追放されて最強を目指す（２０） (マガジンポケットコミックス),20,2026-07-09,1086,445,+641,59
くらいあの子としたいこと　8 (ドラゴンコミックスエイジ),8,2026-07-09,787,510,+277,35.2
田んぼで拾った女騎士、田舎で俺の嫁だと思われている（８） (マガジンポケットコミックス),8,2026-07-09,1192,513,+679,57
35歳独身山田、異世界村に理想のセカンドハウスを作りたい　～異世界と現実のいいとこどりライフ～　LIFE.02【電子特典付き】 (ドラゴンコミックスエイジ),,2026-07-09,1222,528,+694,56.8
劣等人の魔剣使い　スキルボードを駆使して最強に至る（７） (マガジンポケットコミックス),7,2026-07-09,1184,537,+647,54.6
王子様の友達　５　イラスト集付き特装版 王子様の友達【特装版】 (ドラゴンコミックスエイジ),,2026-07-09,1272,558,+714,56.1
ポーション頼みで生き延びます！　続（５） (シリウスコミックス),5,2026-07-09,952,576,+376,39.5
軍靴のバルツァー（２１） (週刊少年マガジンコミックス),21,2026-07-09,903,601,+302,33.4
ブーツレグ（７） (シリウスコミックス),7,2026-07-09,1023,679,+344,33.6
１００万の命の上に俺は立っている（２４） (週刊少年マガジンコミックス),24,2026-07-09,1553,701,+852,54.9
今日から始める幼なじみ　17巻 (バンチコミックス),17,2026-07-09,1464,706,+758,51.8
つよがりオメガは僕らの番 (6) (ビーボーイオメガバースコミックス),6,2026-07-09,1264,749,+515,40.7
週末やらかし飯（７） (コミックＤＡＹＳコミックス),7,2026-07-09,1571,782,+789,50.2
だらしないです 堀田先生！ ： 10 (アクションコミックス),10,2026-07-09,1641,859,+782,47.7
黒猫と魔女の教室（１５） (マガジンポケットコミックス),15,2026-07-09,1546,907,+639,41.3
はめつのおうこく 15巻 (ブレイドコミックス),15,2026-07-09,1647,910,+737,44.7
ボクの理想の異世界生活　転生したらケモ耳娘だらけの世界でハーレムに3 (ドラゴンコミックスエイジ),,2026-07-09,1602,928,+674,42.1
「子供を殺してください」という親たち　19巻 (バンチコミックス),19,2026-07-09,1197,1001,+196,16.4
幼馴染とはラブコメにならない（２１） (マガジンポケットコミックス),21,2026-07-09,1747,1033,+714,40.9
落ちこぼれだった兄が実は最強　～史上最強の勇者は転生し、学園で無自覚に無双する～（１６） (シリウスコミックス),16,2026-07-09,3092,1142,+1950,63.1
限界集落を脱村した錬金術士、都会で“最強”なのがバレまくる。～老害どもにはいい加減愛想が尽きました～（５） (マガジンポケットコミックス),5,2026-07-09,3419,1202,+2217,64.8
結婚しましょう、恋する前に（１０） (フラワーコミックス),10,2026-07-09,2022,1346,+676,33.4
クラスメイトの元アイドルが、とにかく挙動不審なんです。 6 (ドラゴンコミックスエイジ),6,2026-07-09,1509,1399,+110,7.3
ムシバミヒメ　5巻 (バンチコミックス),5,2026-07-09,4015,1550,+2465,61.4
俺の調教スキルがなんか変 ： 3 (アクションコミックス),3,2026-07-09,3318,1607,+1711,51.6
私をセンターにすると誓いますか？（６） (少年マガジンエッジコミックス),6,2026-07-09,3577,1656,+1921,53.7
それでも、親を愛する子供たち　5巻 (バンチコミックス),5,2026-07-09,2047,1759,+288,14.1
最弱な僕は＜壁抜けバグ＞で成り上がる～壁をすり抜けたら、初回クリア報酬を無限回収できました！～（１２） (マガジンポケットコミックス),12,2026-07-09,3861,1763,+2098,54.3
愛妻の裏アカ（８） (マガジンポケットコミックス),8,2026-07-09,4002,1825,+2177,54.4
「ククク……。奴は四天王の中でも最弱」と解雇された俺、なぜか勇者と聖女の師匠になる（１２） (水曜日のシリウスコミックス),12,2026-07-09,4256,2086,+2170,51
異世界帰りの剣聖は、自分の実力に気がつかない　～ＳＳＳランクの隠しクエストを受けて帰ってきたらレベル１のＦ級探索者になったけど、異世界で鍛え上げた剣術が強すぎて王女やＳ級英雄たちが俺を放ってくれません～（２） (シリウスコミックス),2,2026-07-09,4058,2103,+1955,48.2
お母さん冒険者、ログインボーナスでスキル【主婦】に目覚めました。週一貰えるチラシで冒険者生活頑張ります！（３） (マガジンポケットコミックス),3,2026-07-09,3509,2255,+1254,35.7
夜伽の双子―贄姫は二人の王子に愛される―（１２） (フラワーコミックスα),12,2026-07-09,3284,2290,+994,30.3
モブだけど最強を目指します！　～ゲーム世界に転生した俺は自由に強さを追い求める～　３ (ドラゴンコミックスエイジ),3,2026-07-09,5701,2301,+3400,59.6
ハードワーカー中田（７） (マガジンポケットコミックス),7,2026-07-09,5700,2315,+3385,59.4
異世界から来た君と共に過ごす日常 2 (ドラゴンコミックスエイジ),2,2026-07-09,5078,2354,+2724,53.6
成仏させてよ！　4巻 (バンチコミックス),4,2026-07-09,3298,2792,+506,15.3
緋のつがい (5) (フラワーコミックスα),5,2026-07-09,5357,4417,+940,17.5
