順位,タイトル,巻数,発売日
37,不徳のギルド 18巻 (デジタル版ガンガンコミックス),18,2026-09-11
43,マネマネにちにち（４） (ゲッサン少年サンデーコミックス),4,2026-09-11
58,うるわしの宵の月（１１） (デザートコミックス),11,2026-09-11
82,ケンガンオメガ（３４） (裏少年サンデーコミックス),34,2026-09-11
255,恋と呼ぶにはささやかですが 2巻 (デジタル版ガンガンコミックス),2,2026-09-11
316,パンをナメるな！（２） (マンガワンコミックス),2,2026-09-11
332,ブルーウルスス（３） (裏少年サンデーコミックス),3,2026-09-11
380,ハーレム相続（３） (ビッグコミックス),3,2026-09-11
521,やんごとなき一族（２１） (Ｋｉｓｓコミックス),21,2026-09-11
623,ジャイアントお嬢様（１３） (サンデーうぇぶりコミックス),13,2026-09-11
1158,ぱるたん ~ちいさい人とのくらしは毎日たのしい~(3) (ワイドKC),3,2026-09-11
—,無能なナナ 15巻 (デジタル版ガンガンコミックス),,2026-09-11
—,怪異と乙女と神隠し（１１） (やわらかスピリッツ),,2026-09-11
—,ダンス・ダンス・ダンスール（３３） (ビッグコミックス),,2026-09-11
—,戦隊レッド 異世界で冒険者になる 12巻 (デジタル版ガンガンコミックス),,2026-09-11
—,マチネとソワレ（１９） (ゲッサン少年サンデーコミックス),,2026-09-11
—,ちはやふる　ｐｌｕｓ　きみがため（７） (BE・LOVEコミックス),,2026-09-11
—,失格紋の最強賢者 ～世界最強の賢者が更に強くなるために転生しました～ 36巻 (デジタル版ガンガンコミックスＵＰ！),,2026-09-11
—,勇者パーティーを追放された俺だが、俺から巣立ってくれたようで嬉しい。……なので大聖女、お前に追って来られては困るのだが？（コミック） 10巻 (デジタル版ガンガンコミックスONLINE),,2026-09-11
—,竜送りのイサギ（８） (サンデーうぇぶりコミックス),,2026-09-11
—,暗殺後宮～暗殺女官・花鈴はゆったり生きたい～（１１） (ビッグコミックス),,2026-09-11
—,無自覚聖女は今日も無意識に力を垂れ流す ～公爵家の落ちこぼれ令嬢、嫁ぎ先で幸せを掴み取る～　9【電子書店共通特典イラスト付】 (アース・スターコミックス),,2026-09-11
