順位,タイトル,巻数,発売日
125,サイレント・ウィッチ　沈黙の魔女の隠しごと　VII (B's-LOG COMICS),,2026-09-01
367,軍人婿さんと大根嫁さん　１０巻 (ＦＵＺコミックス),10,2026-09-01
392,オーイ！ とんぼ 第64巻 (ゴルフダイジェストコミックス),64,2026-09-01
469,【電子版限定特典付き】ブチ切れ令嬢は報復を誓いました。12～魔導書の力で祖国を叩き潰します～ (HJコミックス),12,2026-09-01
494,最強の鑑定士って誰のこと？　～満腹ごはんで異世界生活～ １３ (B's-LOG COMICS),13,2026-09-01
583,没落伯爵令嬢は家族を養いたい@COMIC 第4巻 (Celicaコミックス),4,2026-09-01
714,むこうぶち (66) (近代麻雀コミックス),66,2026-09-01
1141,◯◯なメイドさん　３巻 (ＦＵＺコミックス),3,2026-09-01
1791,オーイ!とんぼ 第64巻 (ゴルフダイジェストコミックス),64,2026-09-01
2141,地味薬師令嬢はもう契約更新いたしません。: ざまぁ? 没落? 私には関係ないことです (2) (レジーナCOMICS),2,2026-09-01
2310,ピークアウト (5) (近代麻雀コミックス),5,2026-09-01
2945,退役魔法騎士は辺境で宿屋を営業中 1 (B's-LOG COMICS),1,2026-09-01
3190,悪役令嬢になんかなりません。私は『普通』の公爵令嬢です! ~New Route!~ 3 (B's-LOG COMICS),3,2026-09-01
3596,君が唄う薬恋歌 3 (B's-LOG COMICS),3,2026-09-01
5241,お疲れアラサーは異世界でもふもふドラゴンと騎士の世話をしています 2 (B's-LOG COMICS),2,2026-09-01
5814,ドカベン　15巻 (SAN-EI COMICS SC 015),15,2026-09-01
6134,ドカベン　16巻 (SAN-EI COMICS SC 016),16,2026-09-01
7121,爆乳バニーおばさん(4) (NOiPA COMiCS),4,2026-09-01
7403,ひかりめぐりまたたいて 下 (H&C Comics ihr HertZｼﾘｰｽﾞ),3,2026-09-01
8536,彼女管理中につき　２巻 (ＦＵＺコミックス),2,2026-09-01
10775,羞恥神～夢でのコトは忘れなさい！～ 6巻 (LINEコミックス),6,2026-09-01
11785,俺の声に堕ちてください　分冊版（２２） (姉フレンドコミックス),22,2026-09-01
12247,ギャルとダンジョンと周回遅れの探索英雄譚 ② ～元レジェンド・今は訳あり低ランク探索者な俺が、Ｓ級ギャルに懐かれまくって育成お任せされた～ (ホビージャパンコミックス),,2026-09-01
12756,星の教室 (ハルキコミックス),,2026-09-01
14841,藤見乃フェニックス老人会　３巻 (ＦＵＺコミックス),3,2026-09-01
16278,「門番やってろ」と言われ15年、突っ立ってる間に俺の魔力が9999（最強）に育ってました4 (HJコミックス),9999,2026-09-01
19060,鄙には稀なエリー (H&C Comics CRAFTｼﾘｰｽﾞ),,2026-09-01
19605,の、ような。【単話版】　４５ (ラバココミックス),45,2026-09-01
20947,イニシエイト (H&C Comics ihr HertZｼﾘｰｽﾞ),,2026-09-01
21137,ひかりめぐりまたたいて 上 (H&C Comics ihr HertZｼﾘｰｽﾞ),1,2026-09-01
21306,はずれスキル念動力（ただしレベルＭＡＸ）で無双する～手をかざすだけです。詠唱とか必殺技とかいりません。念じるだけで倒せます～【電子単行本】(5) (コミックREBEL),5,2026-09-01
22110,爆乳バニーおばさん 4【デジタル特装版】 (NOiPA COMiCS),,2026-09-01
22187,Sランク冒険者の俺が、雑魚だらけの弱小Fランクパーティーに加入するわけないだろ!! いい加減にしろ!! 1　 実力はFランク、おっぱいはSカップか……ふむ、まずは話を聞こう (HJ文庫 と 08-01-01),,2026-09-01
22968,漫画アクション 2026年9/15号［雑誌］,,2026-09-01
24142,Playmate-ish プレイメイト-イッシュ (H&C Comics iHertZｼﾘｰｽﾞ),,2026-09-01
24564,万年草むしりと蔑まれているEランク冒険者、実は世界最強の”植物魔術”で無双する(2) (コミックREBEL),2,2026-09-01
25227,再会は甘恋のはじまり　分冊版（１３） (姉フレンドコミックス),13,2026-09-01
26982,無限魔力の異世界帰還者 ① (ホビージャパンコミックス),,2026-09-01
27407,件の件について　１ (芳文社コミックス),1,2026-09-01
27801,この世界の顔面偏差値が高すぎて目が痛い～突然始まる異世界溺愛生活～@COMIC 第1巻 (Celicaコミックス),1,2026-09-01
28280,ガンバレ人生一周目令嬢ちゃん 第1巻 (Celicaコミックス),1,2026-09-01
30563,【単話】誰もシナリオ通りに動いてくれないんですけど！　第16話 (B's-LOG COMICS),,2026-09-01
34789,ワタシってサバサバしてるから(62) (コミックなにとぞ),62,2026-09-01
34939,かわいい訪問者 (ハーレクインコミックス),,2026-09-01
37387,正ヒロインに転生しましたが、運命の歯車は物理でぶち壊します 1 (B's-LOG COMICS),1,2026-09-01
42506,砂漠に落ちたルビー (ハーレクインコミックス),,2026-09-01
43478,伯爵に買われた花嫁 (ハーレクインコミックス),,2026-09-01
45586,不遇令嬢ですが、自らの手で幸せを掴みたい！ アンソロジーコミック第２巻 (Celicaコミックス),2,2026-09-01
50083,キスはゆきどけのあとにして【コミックス版】(下) (spicomi),3,2026-09-01
51219,キスはゆきどけのあとにして【コミックス版】(上) (spicomi),1,2026-09-01
55817,ローマの汚れなき花嫁 (ハーレクインコミックス),,2026-09-01
58127,魔族の王子様は私のためにスパダリを目指すそうです　第1巻 (Celicaコミックス),1,2026-09-01
62634,前世魔王、今世勇者の指南役 ～生まれ変わった転生魔王は衰退した世界で新たな勇者を教育する～(2) (コミックREBEL),2,2026-09-01
63289,三郷さんは甘すぎ上司にちょっとキビしい【単話版】　６１ (トレイルコミックス),61,2026-09-01
69993,転生ものぐさ王女よ、食っちゃ寝ライフを目指せ！@COMIC 第1巻 (Celicaコミックス),1,2026-09-01
70749,ハイスペ弁護士との同居生活は最低で最高です。　分冊版（４２） (姉フレンドコミックス),42,2026-09-01
77675,無垢な薔薇のめざめ (ハーレクインコミックス),,2026-09-01
77920,虐げられた秀才令嬢と隣国の腹黒研究者様の甘やかな薬草実験室【単話版】１９ (PASH! コミックス),19,2026-09-01
79766,億万長者の小さな天使 (ハーレクインコミックス),,2026-09-01
79838,元カレ俳優に復縁を迫られてます　分冊版（８） (姉フレンドコミックス),8,2026-09-01
83884,子連れオーク【単話版】　１８ (トレイルコミックス),18,2026-09-01
112994,【単話版】捨てられ公爵夫人は、平穏な生活をお望みのようです@COMIC 第15話 (コロナ・コミックス),,2026-09-01
133305,はずれスキル念動力（ただしレベルＭＡＸ）で無双する～手をかざすだけです。詠唱とか必殺技とかいりません。念じるだけで倒せます～(26) (コミックREBEL),26,2026-09-01
151341,破滅の聖女は運命の夫の溺愛から逃れたい　２５ (ラバココミックス),25,2026-09-01
187623,悲劇と絶望の人生を歩んだ公爵夫人に転生しましたが、ここは天国でしょうか？～今回は好き放題やらせていただきますので、どうぞ宜しくお願いします～ 8話 (Freedia comics),,2026-09-01
226290,【単話版】世界を救った最強勇者にストーカーされる村娘の話 第21話 (Celicaコミックス),,2026-09-01
230615,婚約破棄されたいので素顔を隠して残念令嬢になります！え？腹黒王子にバレてるとか聞いてないんですけど！？【単話版】５ (PASH! コミックス),5,2026-09-01
230616,婚約破棄されたいので素顔を隠して残念令嬢になります！え？腹黒王子にバレてるとか聞いてないんですけど！？【単話版】４ (PASH! コミックス),4,2026-09-01
287451,異世界から帰還したら地球もかなりファンタジーでした。あと、負けヒロインどもこっち見んな。 連載版：13 (ブシロードコミックス),13,2026-09-01
—,【電子版限定特典付き】ダンジョンに閉じ込められて25年。救出されたときには立派な不審者になっていた5 (HJ文庫),5,2026-09-01
—,【電子版限定特典付き】界獣墓場のフォーリナー 1.界獣と令嬢 (HJ文庫),,2026-09-01
—,モブから始まる探索英雄譚14 (HJ文庫),14,2026-09-01
—,付き合ってる（元）不能ヤクザと（元）処女エロマンガ家【同人版】 （1） (Close Moon),1,2026-09-01
—,婚約破棄されたいので素顔を隠して残念令嬢になります！え？腹黒王子にバレてるとか聞いてないんですけど！？【単話版】１ (PASH! コミックス),1,2026-09-01
—,皇帝陛下のあたため係 ～冷血白蛇陛下は田舎娘のぬくもりをご所望です！？～【単話版】１ (PASH! コミックス),1,2026-09-01
—,皇帝陛下のあたため係 ～冷血白蛇陛下は田舎娘のぬくもりをご所望です！？～【単話版】２ (PASH! コミックス),2,2026-09-01
—,婚約破棄されたいので素顔を隠して残念令嬢になります！え？腹黒王子にバレてるとか聞いてないんですけど！？【単話版】３ (PASH! コミックス),3,2026-09-01
—,婚約破棄されたいので素顔を隠して残念令嬢になります！え？腹黒王子にバレてるとか聞いてないんですけど！？【単話版】２ (PASH! コミックス),2,2026-09-01
