タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
転生したら剣でした (20) (バーズコミックス),20,2026-09-24,143,59,+84,58.7
おっさんのリメイク冒険日記 (14) ～オートキャンプから始まる異世界満喫ライフ～ (バーズコミックス),14,2026-09-24,4415,769,+3646,82.6
最強の黒騎士、戦闘メイドに転職しました (14) 【電子限定おまけ付き】 (バーズコミックス),14,2026-09-24,4636,1049,+3587,77.4
KATANA 23 百鬼夜行 (あすかコミックスDX),,2026-09-24,1428,1211,+217,15.2
魔道祖師 6 (ダリアコミックスユニ),6,2026-09-24,2486,2333,+153,6.2
聖なる皇帝がとんだ隠れ絶倫だった件【第６話】 聖なる皇帝がとんだ隠れ絶倫だった件【単話】 (ピュールコミックス),,2026-09-24,19400,3971,+15429,79.5
事故チューだったのに！2【電子限定特典付き】 事故チューだったのに！【電子限定特典付き】 (プティルファンタジーコミックス),,2026-09-24,22589,9766,+12823,56.8
ドカベン　18巻 (SAN-EI COMICS SC 018),18,2026-09-24,12226,10506,+1720,14.1
ドカベン　17巻 (SAN-EI COMICS SC 017),17,2026-09-24,12314,10554,+1760,14.3
転生したら剣でした (20) 小冊子つき特装版 (バーズコミックス),20,2026-09-24,18813,10576,+8237,43.8
十億のアレ。～吉原いちの花魁～ 10 (プティルコミックス),10,2026-09-24,21273,16206,+5067,23.8
コワモテお兄さんとうぶギャルくん（分冊版） 【第5話】 (＆.Emo comics),,2026-09-24,43134,23439,+19695,45.7
無自覚ちゃんとオトメな男 (4) (バーズコミックス),4,2026-09-24,30327,23695,+6632,21.9
一緒に居てほしい。ただそう言いたかった。3 (プティルファンタジーコミックス),3,2026-09-24,59971,25423,+34548,57.6
負け犬のアイラブユー（分冊版） 【第5話】 (＆.Emo comics),,2026-09-24,52399,29109,+23290,44.4
私たちは離婚する。深く、甘く、繋がって…　2 (プティルハニーコミックス),2,2026-09-24,38121,30295,+7826,20.5
美人な妹と、私　【分冊版】18話 (プティルファンタジーコミックス),,2026-09-24,65826,31757,+34069,51.8
私たちは離婚する。深く、甘く、繋がって…　1 (プティルハニーコミックス),1,2026-09-24,52149,31985,+20164,38.7
ブラザーフレンドコンプレックス（分冊版） 【第4話】 (＆.Emo comics),,2026-09-24,41818,32098,+9720,23.2
ラチェリアの恋 【分冊版】24話 (プティルファンタジーコミックス),,2026-09-24,154401,34182,+120219,77.9
モフモフ屋敷の猫とオレ 2 (2巻) (YKコミックス),2,2026-09-24,57661,35259,+22402,38.9
怪島奇譚 ~不死の少年と妖猫の旅~ 2 (あすかコミックスDX),2,2026-09-24,39943,39897,+46,0.1
無愛想ダーリンが今日も可愛い（分冊版） 【第2話】 (＆.Emo comics),,2026-09-24,87124,45809,+41315,47.4
報告書は、嘘をつく（分冊版） 【第1話】 (＆.Emo comics),,2026-09-24,52267,49315,+2952,5.6
「先生、」（分冊版） 【第5話】 (＆.Emo comics),,2026-09-24,70539,50022,+20517,29.1
孤高の王のあやまち／灼熱の王と美しき逃亡者 (ハーレクインコミックス・エクストラ),,2026-09-24,76734,64341,+12393,16.2
失恋堂～魔女へのお支払いは、失った恋で～【分冊版】13話 (プティルファンタジーコミックス),,2026-09-24,136059,87111,+48948,36
悪役令嬢は嫌なので、医務室助手になりました。【分冊版】31話 (プティルファンタジーコミックス),,2026-09-24,89314,98119,-8805,-9.9
