タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
異世界でスローライフを（願望） 11 (ガルドコミックス),11,2026-07-20,117,35,+82,70.1
Sランク冒険者である俺の娘たちは重度のファザコンでした 12 (ガルドコミックス),12,2026-07-20,143,62,+81,56.6
骸骨騎士様、只今異世界へお出掛け中　寄り道編 (ガルドコミックス),2,2026-07-20,259,81,+178,68.7
ひとりぼっちの異世界攻略 27 (ガルドコミックス),27,2026-07-20,818,300,+518,63.3
境界迷宮と異界の魔術師 16 (ガルドコミックス),16,2026-07-20,952,673,+279,29.3
俺にトラウマを与えた女子達がチラチラ見てくるけど、残念ですが手遅れです 7 (ガルドコミックス),7,2026-07-20,1813,770,+1043,57.5
サラリーマンが異世界に行ったら四天王になった話 13 (ガルドコミックス),13,2026-07-20,1575,903,+672,42.7
宮廷魔導師、追放される 3　～無能だと追い出された最巧の魔導師は、部下を引き連れて冒険者クランを始めるようです～ (ガルドコミックス),3,2026-07-20,2188,1076,+1112,50.8
ダンジョン・バスターズ 8　～中年男ですが庭にダンジョンが出現したので世界を救います～ (ガルドコミックス),8,2026-07-20,1761,1143,+618,35.1
あめとむち(6) (ヤングキングコミックス),6,2026-07-20,3011,1586,+1425,47.3
真の実力を隠していると思われてる精霊師、実はいつもめっちゃ本気で戦ってます 2 (ガルドコミックス),2,2026-07-20,5595,2588,+3007,53.7
灰の世界は神の眼で彩づく 3　～俺だけ見えるステータスで、最弱から最強へ駆け上がる～ (ガルドコミックス),3,2026-07-20,11684,6077,+5607,48
反逆者として王国で処刑された隠れ最強騎士 1 (ガルドコミックス),1,2026-07-20,11414,6666,+4748,41.6
死に戻りの悪役令嬢は、二度目の人生ですべてを幸せにしてみせる 1 (ガルドコミックス),1,2026-07-20,15639,9283,+6356,40.6
懐妊初夜～一途な社長は求愛の手を緩めない～【マイクロ】（２８） (フラワーコミックス),28,2026-07-20,22075,15949,+6126,27.8
偽装結婚したライバルにどうやら１０年前から愛されていたらしい（５） (姉フレンドコミックス),5,2026-07-20,37078,17503,+19575,52.8
虎王の花嫁さん【マイクロ】（４１） (フラワーコミックス),41,2026-07-20,37735,36037,+1698,4.5
二度目の春に恋いぶき（２） (Ｋｉｓｓコミックス),2,2026-07-20,109498,55425,+54073,49.4
推し活命な夫を捨てたい(8) (コミックなにとぞ),8,2026-07-20,51505,56867,-5362,-10.4
婚活ブラックコンシェルジュ 束 愛子～それでも結婚したいですか？～(28) (コミックなにとぞ),28,2026-07-20,60543,65592,-5049,-8.3
身長差35cm、野獣系幼なじみとむさぼりルームシェア room.15 後編《カノンミア》 (カノンミアコミックス),,2026-07-20,180909,87818,+93091,51.5
身長差35cm、野獣系幼なじみとむさぼりルームシェア room.15 前編《カノンミア》 (カノンミアコミックス),,2026-07-20,183438,88217,+95221,51.9
そんなことより猫が飼いたい～乙女ゲームの世界に転生しました～ 10 (インカローズコミックス),10,2026-07-20,228099,91946,+136153,59.7
ある日突然、夫が愛人を連れてくるものですから… 12 (インカローズコミックス),12,2026-07-20,109027,115652,-6625,-6.1
