タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
龍とカメレオン 9巻 (デジタル版ガンガンコミックスJOKER),9,2026-06-22,880,454,+426,48.4
6年生なのに！ 1巻 (デジタル版ガンガンコミックスpixiv),1,2026-06-22,3016,1120,+1896,62.9
寡黙だけどめちゃくちゃノリの良い黒猫ちゃん 2巻 (デジタル版ガンガンコミックスpixiv),2,2026-06-22,3542,2159,+1383,39
犬田さん 3巻 (デジタル版ガンガンコミックスpixiv),3,2026-06-22,4949,2416,+2533,51.2
憧れのメイドさんはタバコが似合う 4巻 (デジタル版ガンガンコミックスJOKER),4,2026-06-22,5924,3022,+2902,49
王たる股冠の輝きよ 2巻 (デジタル版ガンガンコミックスJOKER),2,2026-06-22,8574,4434,+4140,48.3
近野智夏の腐じょうな日常(9) (ヤングキングコミックス),9,2026-06-22,8102,4633,+3469,42.8
罰 4巻 (ヤングキングコミックス),4,2026-06-22,11356,4944,+6412,56.5
ゼロかヒャクかの五十嵐くん２ (シルフコミックス),,2026-06-22,9341,6030,+3311,35.4
ドラマティック・アイロニー13 (シルフコミックス),,2026-06-22,10808,8145,+2663,24.6
僕×スター(11) (ヤングキングコミックス),11,2026-06-22,11598,9635,+1963,16.9
路傍のフジイ【単話】（６２） (ビッグコミックス),62,2026-06-22,21152,12236,+8916,42.2
どちらかというと嫌いです (ダリアコミックス),,2026-06-22,44158,17817,+26341,59.7
けっこう仮面 下,3,2026-06-22,16618,19652,-3034,-18.3
禁欲シェアハウス(30) (コミックおじぎ),30,2026-06-22,103815,35615,+68200,65.7
大賢者リドルの時間逆行【単話】（６５） (シードコミックス),65,2026-06-22,69974,48870,+21104,30.2
身代わり男装令嬢は氷血の騎士に甘く愛される(6) (コミック カーテシック),6,2026-06-22,144558,88930,+55628,38.5
家庭内ハーレム(26) (コミックおじぎ),26,2026-06-22,220161,97882,+122279,55.5
ニセ真面目女子はすみ～サイコパスは愛を知りたい～(26) (コミックなにとぞ),26,2026-06-22,127355,134247,-6892,-5.4
昔々、呪われた赤ずきんが双子の狼王子に寵愛されまして(6) (コミック カーテシック),6,2026-06-22,190569,192102,-1533,-0.8
愛にはどうぞ、花を添えて【単話】９ (natsumeコミック),,2026-06-22,191758,193492,-1734,-0.9
