順位,タイトル,巻数,発売日
4,魔法少女にあこがれて (13) (バンブーコミックス),13,2026-09-16
42,めんつゆひとり飯【特典ペーパー付き】 (10) (バンブーコミックス),10,2026-09-16
65,シルバーマウンテン（５） (少年サンデーコミックス),5,2026-09-16
78,トニカクカワイイ（３７） (少年サンデーコミックス),37,2026-09-16
107,尾守つみきと奇日常。（１１） (少年サンデーコミックス),11,2026-09-16
132,レッドブルー（１９） (少年サンデーコミックス),19,2026-09-16
174,黙示録の四騎士（２８） (週刊少年マガジンコミックス),28,2026-09-16
231,帝乃三姉妹は案外、チョロい。（２０） (少年サンデーコミックス),20,2026-09-16
285,百瀬アキラの初恋破綻中。【電子版特典付き】（８） (少年サンデーコミックス),8,2026-09-16
340,盤上のオリオン（１１） (週刊少年マガジンコミックス),11,2026-09-16
432,現実もたまには嘘をつく9【電子特典付き】 (中経☆コミックス),2,2026-09-16
444,カッコウの許嫁（３４） (週刊少年マガジンコミックス),34,2026-09-16
485,無力聖女と無能王女～魔力ゼロで召喚された聖女の異世界救国記～: 4【イラスト特典付】 (百合姫コミックス),,2026-09-16
785,あの島の海音荘(3) (少年マガジンKC),3,2026-09-16
976,晴れのちシンデレラ (19) (バンブーコミックス MOMOセレクション),19,2026-09-16
993,よわよわ先生（１９） (週刊少年マガジンコミックス),19,2026-09-16
1027,ＧＡＬＡＸＩＡＳ（４） (週刊少年マガジンコミックス),4,2026-09-16
1441,おサボり上手な小向井さんは俺を逃さない！！ (4) (バンブーコミックス),4,2026-09-16
1444,コミック百合姫 2026年11月号[雑誌],,2026-09-16
1473,青のミブロー新選組編ー（１２） (週刊少年マガジンコミックス),12,2026-09-16
1475,陸奥圓明流異界伝　修羅の紋　ムツさんはチョー強い？！（１９） (月刊少年マガジンコミックス),19,2026-09-16
1622,隣の席の陰キャ女子が推し歌い手だった~俺の曲を歌ってくれ!~ (4) (バンブーコミックス),4,2026-09-16
1687,アイドラトリィ（５） (週刊少年マガジンコミックス),5,2026-09-16
1735,鬼桐さんの洗濯 (9) (バンブーコミックス),9,2026-09-16
1938,元魔法少女のお姉さんは恋を知りたい (3) (バンブーコミックス),3,2026-09-16
2011,うちの会社の小さい先輩の話 特装版 (13) (バンブーコミックス),13,2026-09-16
2907,うちの会社の小さい先輩の話 (13) (バンブーコミックス),13,2026-09-16
3431,千仙戦記(1) (少年マガジンKC),1,2026-09-16
3549,カグライ ～神楽と雷人～（６） (少年サンデーコミックス),6,2026-09-16
3903,同志少女よ、敵を撃て 4 (ハヤコミ(ハヤカワ・コミックス)),4,2026-09-16
