タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
元・世界１位のサブキャラ育成日記　～廃プレイヤー、異世界を攻略中！～　（１４） (角川コミックス・エース),14,2026-07-23,77,20,+57,74
田舎のホームセンター男の自由な異世界生活　（１６） (角川コミックス・エース),16,2026-07-23,190,106,+84,44.2
機動戦士ガンダム 水星の魔女 青春フロンティア　２ (角川コミックス・エース),2,2026-07-23,334,247,+87,26
たまのこしいれ ―アシガールEDO― 5 (マーガレットコミックス),5,2026-07-23,294,251,+43,14.6
邦画プレゼン女子高生　邦キチ！ 映子さん Season15 (マーガレットコミックスDIGITAL),,2026-07-23,455,255,+200,44
死亡遊戯で飯を食う。（６） (角川コミックス・エース),6,2026-07-23,573,299,+274,47.8
LV999の村人(21) (角川コミックス・エース),21,2026-07-23,1014,551,+463,45.7
初めて恋をした日に読む話 20 (マーガレットコミックス),20,2026-07-23,1659,689,+970,58.5
奴隷商人しか選択肢がないですよ？ (13) ～ハーレム？なにそれおいしいの？～ 【電子限定おまけ付き】 (バーズコミックス),13,2026-07-23,5656,1255,+4401,77.8
ブルーアーカイブ コミックアンソロジー VOL.9 (DNAメディアコミックス),9,2026-07-23,1539,1440,+99,6.4
令和のダラさん公式ファンブック (MFC),,2026-07-23,1640,1499,+141,8.6
美人な妹と、私　３【電子限定特典付き】 (プティルファンタジーコミックス),,2026-07-23,4338,1508,+2830,65.2
宇宙人ムームー(10) (ヤングキングコミックス),10,2026-07-23,2138,1781,+357,16.7
ユメかウツツか 6 (マーガレットコミックス),6,2026-07-23,1725,1799,-74,-4.3
落ちない汚れを僕は何と呼べばよかったのか(2) (角川コミックス・エース),2,2026-07-23,3767,3261,+506,13.4
恋するリップ・ティント 6 (マーガレットコミックス),6,2026-07-23,3457,3288,+169,4.9
はじめてのおにいちゃん 4 (りぼんマスコットコミックス),4,2026-07-23,4842,4407,+435,9
恋に落ちるレシピ (1) 【電子特装版】 (バーズコミックス　エストロコレクション),1,2026-07-23,8646,4780,+3866,44.7
絶倫殿下が無垢な花嫁を貪り尽くすアンソロジー ～清純で淫らな劣情～ (ベビードールCOMICS),3,2026-07-23,14117,7503,+6614,46.9
30歳年上侯爵の後妻のはずがその息子に溺愛される【合本版】3 (エンジェライトコミックス),1,2026-07-23,9936,7747,+2189,22
俺、悪役騎士団長に転生する。 2 (MFC),2,2026-07-23,10758,8425,+2333,21.7
みりぷろ -無数の繋がりを目指して- 2 (MFC),2,2026-07-23,9826,10914,-1088,-11.1
【単話】大蛇に嫁いだ娘　第45話 (ビームコミックス),,2026-07-23,13295,11379,+1916,14.4
紫の夜に僕をさらって【電子限定描き下ろし付き】 (ドットブルームコミックスDIGITAL),3,2026-07-23,19057,11398,+7659,40.2
ツンリゼ (1) ～ツンデレ悪役令嬢リーゼロッテと実況の遠藤くんと解説の小林さん～ (バーズコミックス),1,2026-07-23,18719,13468,+5251,28.1
恋に落ちるレシピ (1) (バーズコミックス エストロコレクション),1,2026-07-23,12664,13882,-1218,-9.6
総長さま、溺愛中につき。 1 ~最強イケメンと愛され寮生活!?~ (マーガレットコミックス),2,2026-07-23,24268,15618,+8650,35.6
求愛婚 〜18年振りに再会した御曹司に毎晩イキすぎる程愛されています〜 下 (ピンクシェリーコミックス),3,2026-07-23,22686,16262,+6424,28.3
求愛婚 〜18年振りに再会した御曹司に毎晩イキすぎる程愛されています〜 上 (ピンクシェリーコミックス),1,2026-07-23,23014,16393,+6621,28.8
アンサー 12 (マーガレットコミックス),12,2026-07-23,18821,16422,+2399,12.7
一軍男子は恋してる 2 (MFC),2,2026-07-23,15452,16836,-1384,-9
ウチのマネージャーの様子がおかしい (1) 【電子限定おまけ付き】 (バーズコミックス　ラブキスボーイズコレクション),1,2026-07-23,23854,18248,+5606,23.5
神に恋など早すぎる 3 (マーガレットコミックス),3,2026-07-23,22002,20598,+1404,6.4
壊胎 2 (MFC),2,2026-07-23,17609,20895,-3286,-18.7
ガチ恋させてよセフレ様【単行本版／電子限定描き下ろしマンガ付】 ガチ恋させてよセフレ様【単行本版】 (KiR comics),3,2026-07-23,35156,23013,+12143,34.5
となりの席の深美くんがアイドルになるかもしれない 2 (マーガレットコミックス),2,2026-07-23,53568,31905,+21663,40.4
ジャングルジムの眺め 横山陸渡漫画作品集 (よすみコミックス 3),,2026-07-23,45996,40679,+5317,11.6
ブラザーフレンドコンプレックス（分冊版） 【第3話】 (＆.Emo comics),,2026-07-23,50721,44418,+6303,12.4
無愛想ダーリンが今日も可愛い（分冊版） 【第1話】 (＆.Emo comics),,2026-07-23,73980,55958,+18022,24.4
悪役令嬢は嫌なので、医務室助手になりました。【分冊版】30話 (プティルファンタジーコミックス),,2026-07-23,77777,57461,+20316,26.1
失恋堂～魔女へのお支払いは、失った恋で～【分冊版】12話 (プティルファンタジーコミックス),,2026-07-23,171415,82158,+89257,52.1
冷徹伯爵は穢れを見るメイドを花嫁に望む ～生まれ変わるなら、あなたのそばに～ 【分冊版】13話 (プティルファンタジーコミックス),,2026-07-23,76617,83035,-6418,-8.4
