順位,タイトル,巻数,発売日
3646,女ふたりで暮らすの楽しい (はちみつコミックエッセイ),,2026-08-15
10678,王都ワンオペゴーレムマスター。まさかの追放！？～自由の身になったので弟子の美人勇者たちと一緒に最強ゴーレム作ります。戻ってこいと言われてももう知らん！～@COMIC 第4巻 (コロナ・コミックス),4,2026-08-15
14578,溺れるほど愛されて、幸せになってみせますわ！アンソロジーコミック 27巻 (COMIC ROOM),27,2026-08-15
16629,忌み子と呼ばれた召喚士@COMIC 第11巻 (コロナ・コミックス),11,2026-08-15
20559,上司の家に転がり込みまして。 4 (クリエコミックス),4,2026-08-15
20809,異世界クラス召喚されたらＲ1○のスキルを獲得したので、○りたい放題させてもらいます！【分冊版】 （31） (マンガBANGコミックス),31,2026-08-15
24489,【分冊版】服飾師ルチアはあきらめない ～今日から始める幸服計画～ 第42話 (FWコミックスオルタ),,2026-08-15
25480,ツーリング・エクスプレス～テネブル編～［ばら売り］　第6話 (花丸漫画),,2026-08-15
26655,兄弟失格［ばら売り］　第16話 (花丸漫画),,2026-08-15
33800,青⇔オレンジ［ばら売り］第28話 (花丸漫画),,2026-08-15
34410,自分の事を主人公だと信じてやまない踏み台が、主人公を踏み台だと勘違いして、優勝してしまうお話です@COMIC 第2巻 (コロナ・コミックス),2,2026-08-15
39585,陰キャな僕が双子に愛される理由［ばら売り］　第27話 (花丸漫画),,2026-08-15
52789,心くんは愛とかいらない［ばら売り］　Story23 (花丸漫画),,2026-08-15
103097,恋のとなりにお弁当 第7話 お返事チーズインハンバーグ (リラクトコミックス),,2026-08-15
122717,虐げられた秀才令嬢と隣国の腹黒研究者様の甘やかな薬草実験室【単話版】１８ (PASH! コミックス),,2026-08-15
