順位,タイトル,巻数,発売日
19734,異世界クラス召喚されたらＲ1○のスキルを獲得したので、○りたい放題させてもらいます！【分冊版】 （32） (マンガBANGコミックス),32,2026-09-19
20701,おっさん騎士が田舎でまったりスローライフを送ろうとしたら婚約破棄された公爵令嬢が転がり込んできた件 1 (Rentaコミックス),1,2026-09-19
28277,おっさん騎士が田舎でまったりスローライフを送ろうとしたら婚約破棄された公爵令嬢が転がり込んできた件 2 (Rentaコミックス),2,2026-09-19
34881,さきゅりふぁいす！2 (シャイニーコミックス),2,2026-09-19
46535,おっさん騎士が田舎でまったりスローライフを送ろうとしたら婚約破棄された公爵令嬢が転がり込んできた件 3 (Rentaコミックス),3,2026-09-19
73050,となりの席の地味な奴 13 (UPコミック),13,2026-09-19
97909,二度目はタの付く自由業　～逆行社畜は持ち越しチートでリスタート～【単話版】６ (アース・スターコミックス),6,2026-09-19
162508,解放宣言～溺愛も執着もお断りです！～【電子単行本版】8巻 (TUGIKURU COMICS),8,2026-09-19
