タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
「《邪神の血》が流れている」と言われ、神聖教会を追放された神父です。 ～理不尽な理由で教会を追い出されたら、信仰対象の女神様も一緒についてきちゃいました～ (1) (ぶんか社コミックス BKコミックスｆ),1,2026-07-03,34048,18899,+15149,44.5
ガセン -明治大正画仙譚- (2) (角川コミックス・エース),2,2026-07-03,35382,21105,+14277,40.4
後宮冥府の料理人 (2) (角川コミックス・エース),2,2026-07-03,30413,21594,+8819,29
いろはの門 3 (ジャンプコミックスDIGITAL),3,2026-07-03,30620,23825,+6795,22.2
"青心社 INTRONDEPOT14BURNOUTVELOCITY03, 書籍 (イントロンデポ)",,2026-07-03,39221,24034,+15187,38.7
旦那さま(仮)は溺愛ヤクザ 何度も突かれて声、止まらない…！【コミックス版】【コミックス版限定特典付き】 8巻 (いけない愛恋),8,2026-07-03,43997,24821,+19176,43.6
お嬢様系底辺ダンジョン配信者、迷惑系をボコったらバズって伝説になってますわ！？【単話】（２２） (サンデーうぇぶりコミックス),22,2026-07-03,43929,25409,+18520,42.2
シューデンの公女 5 (piccomics),5,2026-07-03,37852,26652,+11200,29.6
裏切られた俺と魔紋スレイブの異世界冒険譚(1) (ぶんか社コミックス BKコミックスｆ),1,2026-07-03,54284,27197,+27087,49.9
不気味の谷くん　（２） (角川コミックス・エース),2,2026-07-03,32524,31214,+1310,4
水ノ怪―水域怪異奇譚今様― 1 (ジャンプコミックス),1,2026-07-03,33424,31470,+1954,5.8
かわいいしっぽのかくしかた　２ (drap COMICS DX),2,2026-07-03,27845,31854,-4009,-14.4
岩石乙女と小石ちゃん～軍人令嬢は幼馴染が可愛すぎて瀕死です！～（コミック）【電子版特典付】２ (PASH! コミックス),,2026-07-03,47601,33519,+14082,29.6
私を捨ててください 5 (piccomics),5,2026-07-03,36084,38485,-2401,-6.7
伝書鳥の王女様 8 (piccomics),8,2026-07-03,50492,39904,+10588,21
本当はセフレには向かない (drap COMICS DX),,2026-07-03,85822,41592,+44230,51.5
悪女にされた銀の聖女は二度目の人生で溺愛される 7巻 (まんが職人スタジオ),7,2026-07-03,57701,43216,+14485,25.1
二度目の人生では、お飾り王妃になりません！【分冊版】９ (ラワーレコミックス),,2026-07-03,33126,43587,-10461,-31.6
修学旅行で仲良くないグループに入りました【単話版】8巻 (BeLuck COMICS),8,2026-07-03,63186,45098,+18088,28.6
勘違いだよね？瀬尾くん。1巻 (BeLuck COMICS),1,2026-07-03,68836,46874,+21962,31.9
チラチラ【単話】（１０２） (ビッグコミックス),102,2026-07-03,71890,47510,+24380,33.9
勘違いだよね？瀬尾くん。【単話版】8巻 (BeLuck COMICS),8,2026-07-03,72773,47741,+25032,34.4
死んだ数だけ超強化 -デスペナルティ- 【コミック】 （6）,6,2026-07-03,64080,56743,+7337,11.4
夢なし先生の進路指導【単話】（８１） (ビッグコミックス),81,2026-07-03,150002,59855,+90147,60.1
団長改め狂犬騎士のしつけ役 1 (フロース コミック),1,2026-07-03,72331,60257,+12074,16.7
えっちなゲームのモブ令嬢に転生したら、絶倫騎士隊長様からトンデモ溺愛されてます！？【女性コミック版】１１ (ゆめこみ),,2026-07-03,135420,80337,+55083,40.7
ワタシはいいの、ワタシはね(36) (コミックなにとぞ),36,2026-07-03,100690,114693,-14003,-13.9
