タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
おいのち頂戴！　４ (電撃コミックスNEXT),4,2026-06-26,1383,874,+509,36.8
おっさん、転生して天才役者になる　９ (電撃コミックスNEXT),9,2026-06-26,1498,989,+509,34
機動戦士ガンダムエイト (2) (角川コミックス・エース),2,2026-06-26,1154,998,+156,13.5
陰キャの俺が席替えでS級美少女に囲まれたら秘密の関係が始まった。 (3) (角川コミックス・エース),3,2026-06-26,1744,1239,+505,29
東方酔蝶華　ロータスイーター達の酔醒　10 (カドカワデジタルコミックス),10,2026-06-26,1509,1299,+210,13.9
名もなき魔物と二人の騎士~そして婚約者は困惑する~ (2) (フラワーコミックススペシャル),2,2026-06-26,1868,1348,+520,27.8
悪の華道を行きましょう: 31　悪の華道を邪魔しましょう2 (ZERO-SUMコミックス),,2026-06-26,1724,1561,+163,9.5
とろけるくちびる raise (バンブーコミックス Qpaコレクション),,2026-06-26,3479,2260,+1219,35
晴野さんのことなんて全然好き (1) (No.9 Comics),1,2026-06-26,2318,2322,-4,-0.2
罪に溺れるクライム百合アンソロジー (バンブーコミックス),,2026-06-26,5543,2437,+3106,56
ごきげんよう、一局いかが？　５巻 (まんがタイムＫＲコミックス),5,2026-06-26,4981,2727,+2254,45.3
メイドは恋する蜂谷くん（６） (ちゃおコミックス),6,2026-06-26,3754,3095,+659,17.6
転生赤ちゃんカティは諜報活動しています　そして鬼畜な父に溺愛されているようです４ (レジーナCOMICS),,2026-06-26,5714,3187,+2527,44.2
お金が大好きな平民の私は卑屈貴族と契約結婚して愛し愛されます コミック版 （4） (BKコミックスf),4,2026-06-26,6620,3227,+3393,51.3
ウマ娘　ピスピス☆スピスピ　ゴルシちゃん（８） (てんとう虫コミックス),8,2026-06-26,3878,3457,+421,10.9
兎太と烏堂【電子限定描き下ろし特典付】 (光文社 BL COMICS / Vinyl),3,2026-06-26,5754,3862,+1892,32.9
八男って、それはないでしょう! みそっかす -episode.エリーゼ- 2 (電撃コミックスNEXT),2,2026-06-26,6244,3950,+2294,36.7
週刊漫画ＴＩＭＥＳ　２０２６年７／１０・１７合併号 [雑誌] (週刊漫画TIMES),,2026-06-26,9861,3994,+5867,59.5
変態侯爵の理想の奥様　仮面の夜　単話版3 (Sonyaコミックス),,2026-06-26,7901,4254,+3647,46.2
枯れた花に涙を 3巻 (LINEコミックス),3,2026-06-26,4357,4288,+69,1.6
枯れた花に涙を 4巻 (LINEコミックス),4,2026-06-26,4732,4576,+156,3.3
魔物喰らい ３　ランキング最下位の冒険者は魔物の力で最強へ (電撃コミックスNEXT),3,2026-06-26,7193,5255,+1938,26.9
蝶は愛執の檻にとらわれる (4) (フラワーコミックス),4,2026-06-26,6772,5482,+1290,19
新・エルフさんは痩せられない。【秋田書店フルカラー版】　6 (ヤングチャンピオン・コミックス),6,2026-06-26,10515,5789,+4726,44.9
でびるんしぇあはうすっ (2) (ちゃおコミックス スペシャル),2,2026-06-26,6090,6277,-187,-3.1
ふしぎな猫のまち メルティア (5) (ちゃおコミックススペシャル),5,2026-06-26,6798,6760,+38,0.6
【電子版】月刊コミック 電撃大王 2026年8月号 [雑誌] 【電子版】電撃大王,,2026-06-26,34538,7126,+27412,79.4
あくまでも恋愛がしたい！（2） (電撃コミックスNEXT),2,2026-06-26,9350,7693,+1657,17.7
没落令嬢、貧乏騎士のメイドになります コミック版（分冊版） 【第39話】 (BKコミックスf),,2026-06-26,14869,8252,+6617,44.5
コミック乱 2026年08月号 [雑誌],,2026-06-26,10862,8604,+2258,20.8
ふつつかな悪女ではございますが　～雛宮蝶鼠とりかえ伝～　連載版: 52 (ZERO-SUMコミックス),52,2026-06-26,8833,8845,-12,-0.1
BEYBLADE X(ベイブレード エックス) (9) (てんとう虫コミックス〔スペシャル〕),9,2026-06-26,9672,9045,+627,6.5
"不運からの最強男 ９ (グラストCOMICS, グラストコミックス)",9,2026-06-26,11441,9169,+2272,19.9
双子王子の継母になりまして～嫌われ悪女ですが、そんなことより義息子たちが可愛すぎて困ります～３(ベリーズファンタジーコミックス),,2026-06-26,11800,10185,+1615,13.7
引きこもり令嬢は皇妃になんてなりたくない！～強面皇帝の溺愛が駄々漏れで困ります～５(ベリーズファンタジーコミックス),,2026-06-26,10526,10186,+340,3.2
今日は何する? (第2巻) (フラワーコミックススペシャル),2,2026-06-26,11991,10446,+1545,12.9
Cake×Bomb (7) (フラワーコミックス),7,2026-06-26,12075,10465,+1610,13.3
もう好きでしょ、オレのこと（５） (フラワーコミックス),5,2026-06-26,12246,10509,+1737,14.2
ビジュアルブレイカーズ (1) (No.9 Comics),1,2026-06-26,10011,10772,-761,-7.6
メロすぎ朔椰（さくや）くんは私を沼にハメたがる。10 (黒ひめコミック),,2026-06-26,9956,10786,-830,-8.3
平凡な私の獣騎士団もふもふライフ　9(ベリーズファンタジーコミックス),9,2026-06-26,12168,11422,+746,6.1
とろけるくちびる 番外編 いそがしい夜でもキスしたい (バンブーコミックス Qpaコレクション),,2026-06-26,29002,11505,+17497,60.3
魔族を仕込んでハーレム作る1 (電撃コミックスEX),,2026-06-26,12114,12005,+109,0.9
三原順スペシャルＢＯＸ　―『総特集 三原順 増補版』＋幻の自筆原稿 ―　≪数量限定版≫,,2026-06-26,12590,12708,-118,-0.9
ハイパーヨーヨーACCEL (4) (コロコロコミックススペシャル),4,2026-06-26,12704,13336,-632,-5
衝動性ヒロイック (Caneléコミックス) (ムーグコミックス),,2026-06-26,18260,13504,+4756,26
らぶぶいっ! 1 (角川コミックス・エース),1,2026-06-26,21964,14134,+7830,35.6
おかしな国のホロライブファンタジー アクリルスタンド付き特装版 (ちゃおコミックス),,2026-06-26,12984,14845,-1861,-14.3
無職独身アラフォー女子の異世界奮闘記　2 (ヤングチャンピオン・コミックス),2,2026-06-26,18421,15040,+3381,18.4
Comic REX (コミック レックス） 2026年8月号[雑誌],,2026-06-26,20000,15064,+4936,24.7
デリヘル、呼んでみた。#38初めてのキスの味は (フォーチュンコミックアダルト),,2026-06-26,16529,15801,+728,4.4
推しの妹に転生してしまったので、最凶の悪女になってお兄様を独占することにいたします　3 (ヤングチャンピオン・コミックス),3,2026-06-26,20274,16045,+4229,20.9
【電子版】月刊コミックアライブ 2026年8月号 [雑誌],,2026-06-26,54867,16167,+38700,70.5
【電子版】月刊コミックキューン 2026年8月号 [雑誌],,2026-06-26,34537,16168,+18369,53.2
デュエル・マスターズ愛蔵版 (2) (コロコロコミックススペシャル),2,2026-06-26,16012,16173,-161,-1
田舎暮らしの魔草薬師は返り咲く～不正はびこる元職場を解雇されたので独立したら、なぜか各界の超一流たちが集まってきました～3巻 (グラストCOMICS),3,2026-06-26,17005,17180,-175,-1
コンビニ令嬢きらら（１） (てんとう虫コミックススペシャル),1,2026-06-26,23248,17459,+5789,24.9
ちりこ先輩は溜まっている。(2) (電撃コミックスNEXT),2,2026-06-26,24572,17936,+6636,27
外れ勇者だった俺が、世界最強のダンジョンを造ってしまったんだが？３ (電撃コミックスNEXT),,2026-06-26,19567,17947,+1620,8.3
異世界で奴隷ハーレムH アンソロジーコミック (REXコミックス),,2026-06-26,23685,19067,+4618,19.5
赤の結婚（４） (フラワーコミックススペシャル),4,2026-06-26,21531,19230,+2301,10.7
お狐ちゃんには青春がたりない (2) (フラワーコミックス),2,2026-06-26,22324,19909,+2415,10.8
魔力0でも魔術狂いだったので、第二の人生では無双する～俺だけ知っている魔術知識で極大魔法をぶっ放す～3巻 (グラストCOMICS),3,2026-06-26,23152,20472,+2680,11.6
メテオリックミルキーナイト 番外編 ステイステイ (バンブーコミックス Qpaコレクション),,2026-06-26,44417,20556,+23861,53.7
京都下鴨 神様のいそうろう1 (電撃コミックスNEXT),3,2026-06-26,36808,20570,+16238,44.1
Berry’sFantasy引きこもり令嬢は皇妃になんてなりたくない！～強面皇帝の溺愛が駄々漏れで困ります～24巻 (Berry's COMICS),24,2026-06-26,21364,20875,+489,2.3
スーパーガール：ウーマン・オブ・トゥモロー　完全版（上）,1,2026-06-26,17819,20967,-3148,-17.7
Berry’sFantasy平凡な私の獣騎士団もふもふライフ44巻 (Berry's COMICS),44,2026-06-26,22084,21500,+584,2.6
あなたみたいに (1) (No.9 Comics),1,2026-06-26,25332,21724,+3608,14.2
"魔術を極めて旅に出た転生エルフ、持て余した寿命で生ける伝説となる　６ (グラストCOMICS, グラストコミックス)",6,2026-06-26,28972,23868,+5104,17.6
姫様、ご乱心! ~天才教育係(俺)の生存戦略はキュートな姫様のドS化でした~ 1 (1) (ヤングチャンピオンコミックス),1,2026-06-26,52768,23925,+28843,54.7
異世界転生おじさんは静かに暮らしたい　2 (ヤングチャンピオン・コミックス),2,2026-06-26,34742,24243,+10499,30.2
自宅アパート一棟と共に異世界へ　蔑まれていた令嬢に転生（？）しましたが、自由に生きることにしました１ (レジーナCOMICS),,2026-06-26,35553,24520,+11033,31
ざこのみなさんお大事に　１巻 (まんがタイムＫＲコミックス),1,2026-06-26,37246,25138,+12108,32.5
魅了持ちの姉に奪われる人生はもう終わりにします～毒家族に虐げられた心読み令嬢が幸せになるまで～２(ベリーズファンタジーコミックス),,2026-06-26,38428,25431,+12997,33.8
ガールズ・スキャット・オーケストラ！　１巻 (まんがタイムＫＲコミックス),1,2026-06-26,33376,26270,+7106,21.3
訓練所のサンドバッグおじさん、実は最強でした ～クビになった途端、出世した元弟子たちに迫られるのだが～　1 (少年チャンピオン・コミックス),1,2026-06-26,40821,26296,+14525,35.6
殺し屋は今日も冷徹皇帝に愛される (7) (フラワーコミックススペシャル),7,2026-06-26,37219,27676,+9543,25.6
愛する人は他にいると言った夫が、私を離してくれません（2） (comic LAKE),2,2026-06-26,31396,27862,+3534,11.3
死刑が確定した転生令嬢は、冷徹長官の妻になって三度目の人生を謳歌します！ コミック版（分冊版） 【第25話】 (BKコミックスf),,2026-06-26,31646,28261,+3385,10.7
お金が大好きな平民の私は卑屈貴族と契約結婚して愛し愛されます コミック版 （分冊版） 【第31話】 (BKコミックスf),,2026-06-26,50002,28898,+21104,42.2
"全自動攻撃【オート】スキルで俺だけ超速レベルアップ～女神が導く怠惰な転生者のサクッと異世界攻略～１ (グラストCOMICS, グラストコミックス)",,2026-06-26,58398,29040,+29358,50.3
"全自動攻撃【オート】スキルで俺だけ超速レベルアップ～女神が導く怠惰な転生者のサクッと異世界攻略～２ (グラストCOMICS, グラストコミックス)",,2026-06-26,58627,29127,+29500,50.3
壁役など不要と追放されたS級冒険者、≪奴隷解放≫スキルを駆使して史上最強の国造り　【連載版】: 23 (REXコミックス),23,2026-06-26,29261,30250,-989,-3.4
おかしな国のホロライブファンタジー (ちゃおコミックス),,2026-06-26,32661,32665,-4,0
祈りの織姫は恋をする ~嫌われ令嬢の身代わりになったら、婚約者が初恋の皇太子様でした~ 1 (1) (ヤングチャンピオンコミックス),1,2026-06-26,49408,32768,+16640,33.7
イートインワンダーランド 1,1,2026-06-26,43184,34372,+8812,20.4
Berry’sFantasy辺境騎士団のお料理係！～捨てられ幼女ですが、過保護な家族に拾われて美味しいごはんを作ります～9巻 (Berry's COMICS),9,2026-06-26,35467,35024,+443,1.2
虫かぶり姫　雑誌掲載分冊版: 72 (ZERO-SUMコミックス),72,2026-06-26,56461,35098,+21363,37.8
囚われた王女は二度、幸せな夢を見る(1) (comic LAKE),1,2026-06-26,36667,35867,+800,2.2
虹子のお仕事第11巻 (漫画パチンカー),11,2026-06-26,37576,36772,+804,2.1
素直になれない雪乙女は眠れる竜騎士に甘くとかされる コミック版（分冊版） 【第9話】 (BKコミックスf),,2026-06-26,64070,37123,+26947,42.1
Berry’sFantasyねこねこ幼女の愛情ごはん～異世界でもふもふ達に料理を作ります！～18巻 (Berry's COMICS),18,2026-06-26,39433,38109,+1324,3.4
悲劇の元凶となる最強外道ラスボス女王は民の為に尽くします。 The Savior's Pride　【連載版】: 13 (ZERO-SUMコミックス),13,2026-06-26,39960,38235,+1725,4.3
婚約破棄された貧乏伯爵令嬢ですが、憧れの冷徹王弟に溺愛されています コミック版 （分冊版） 【第20話】 (BKコミックスf),,2026-06-26,73324,38887,+34437,47
一畳間まんきつ暮らし！アンソロジーコミック　１巻 (まんがタイムＫＲコミックス),1,2026-06-26,41116,38987,+2129,5.2
Berry’sFantasy双子王子の継母になりまして～嫌われ悪女ですが、そんなことより義息子たちが可愛すぎて困ります～13巻 (Berry's COMICS),13,2026-06-26,52779,39598,+13181,25
モラハラサレ妻のシタ復讐（分冊版） 【第34話】 (マンガよもんが),,2026-06-26,212504,40502,+172002,80.9
チラチラ【単話】（１０１） (ビッグコミックス),101,2026-06-26,43930,41586,+2344,5.3
異世界旅はニワトリスと共に 1 (MFコミックス),1,2026-06-26,36320,42169,-5849,-16.1
繰り巫女あやかし夜噺　【連載版】: 15 (ZERO-SUMコミックス),15,2026-06-26,37721,43222,-5501,-14.6
東京貧困女子。【単話】（１４０） (ビッグコミックス),140,2026-06-26,71507,46518,+24989,34.9
小悪魔メイドサイコ第8話 (サイコワコミック),,2026-06-26,51347,46587,+4760,9.3
目が覚めました　 奪われた婚約者はきっぱりと捨てました１ 目が覚めました　奪われた婚約者はきっぱりと捨てました (レジーナCOMICS),,2026-06-26,133652,46754,+86898,65
総特集 三原順 増補版　― 想いあふれ、物語は続く ―,,2026-06-26,43855,48621,-4766,-10.9
後は野となれ山となれ (下) (Blend Comics),3,2026-06-26,43724,49838,-6114,-14
離縁予定の捨てられ令嬢ですが、なぜか次期公爵様の溺愛が始まりました　３(ベリーズファンタジーコミックス),3,2026-06-26,62535,52072,+10463,16.7
煌宮～偽りの煌妃、後宮に入っても大人しくはしません～【電子単行本】　8 (ヤングチャンピオン・コミックス),8,2026-06-26,61684,52498,+9186,14.9
五龍国物語　単話版14 (Sonyaコミックス),,2026-06-26,61533,52799,+8734,14.2
Berry’sFantasyならば、悪女になりましょう～亡き者にした令嬢からやり返される気分はいかがですか？～9巻 (Berry's COMICS),9,2026-06-26,47461,54034,-6573,-13.8
"田舎暮らしの魔草薬師は返り咲く～不正はびこる元職場を解雇されたので独立したら、なぜか各界の超一流たちが集まってきました～２ (グラストCOMICS, グラストコミックス)",,2026-06-26,67860,55696,+12164,17.9
元聖女候補は生臭坊主の金ヅルです～やさぐれルーチェの退魔怪奇譚～　2 (ヤングチャンピオン・コミックス),2,2026-06-26,69125,56921,+12204,17.7
前略母上様 わたくしこのたび異世界転生いたしまして、悪役令嬢になりました コミック版（分冊版） 【第16話】 (BKコミックスf),1,2026-06-26,145472,59721,+85751,58.9
男をやめてみた～癌になったので女装して恋をすることにしました～73 (エンペラーズコミックス),,2026-06-26,149706,60332,+89374,59.7
もう恋は結構です (1) (Blend Comics),1,2026-06-26,80276,60777,+19499,24.3
"魔法が使えないモブキャラに転生したけど、俺だけ使える【最強剣技】で成り上がる～推しの悪役令嬢の兄となった男は破滅フラグを叩き斬り、ゲーム世界で無双する～３ (グラストCOMICS, グラストコミックス)",1,2026-06-26,71068,78261,-7193,-10.1
役目を果たした日陰の勇者は、辺境で自由に生きていきます【分冊版】16巻 (グラストCOMICS),16,2026-06-26,284891,93506,+191385,67.2
復讐装置いかがですか？　３１ (芳文社コミックス),31,2026-06-26,128967,128563,+404,0.3
馬小屋暮らしのご令嬢は案外領主に向いている？ コミック版 （分冊版） 【第49話】 (BKコミックスf),,2026-06-26,157345,166376,-9031,-5.7
