タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
片田舎のおっさん、剣聖になる～ただの田舎の剣術師範だったのに、大成した弟子たちが俺を放ってくれない件～　9 (ヤングチャンピオン・コミックス),9,2026-06-26,1,1,0,0
バスタード・ソードマン 4 (電撃コミックスNEXT),4,2026-06-26,52,14,+38,73.1
ダンジョン島で宿屋をやろう！ 創造魔法を貰った俺の細腕繁盛記: 10【イラスト特典付】 (REXコミックス),,2026-06-26,109,31,+78,71.6
佐々木とピーちゃん　（６）　異世界でスローライフを楽しもうとしたら、現代で異能バトルに巻き込まれた件 ～魔法少女がアップを始めたようです～ (角川コミックス・エース),6,2026-06-26,149,56,+93,62.4
片田舎のおっさん、剣聖になる外伝　竜双剣の軌跡 3巻 (デジタル版ヤングガンガンコミックス),3,2026-06-26,231,67,+164,71
新米姉妹のふたりごはん12 (電撃コミックスNEXT),,2026-06-26,170,71,+99,58.2
男女比1：5の世界でも普通に生きられると思った？　～激重感情な彼女たちが無自覚男子に翻弄されたら～ ４ (角川コミックス・エース),4,2026-06-26,216,72,+144,66.7
グラン＆グルメ ４　～器用貧乏な転生勇者が始める辺境スローライフ～ (電撃コミックスNEXT),4,2026-06-26,283,136,+147,51.9
転生王女と天才令嬢の魔法革命 ９ (電撃コミックスNEXT),9,2026-06-26,318,161,+157,49.4
秘密法人デスメイカー　3 (ヤングチャンピオン・コミックス),3,2026-06-26,359,190,+169,47.1
機動戦士クロスボーン・ガンダム ゼーロイバー（3） (角川コミックス・エース),3,2026-06-26,341,283,+58,17
自称悪役令嬢な婚約者の観察記録。【番外編４】 (レジーナCOMICS),,2026-06-26,368,337,+31,8.4
レアモンスター？それ、ただの害虫ですよ　5　～知らぬ間にダンジョン化した自宅での日常生活が配信されてバズったんですが～ (電撃コミックスNEXT),5,2026-06-26,448,353,+95,21.2
クロの戦記II　異世界転移した僕が最強なのはベッドの上だけのようです （6） (角川コミックス・エース),6,2026-06-26,413,358,+55,13.3
機動戦士ムーンガンダム　（１６） (角川コミックス・エース),16,2026-06-26,414,387,+27,6.5
悪いが私は百合じゃない（10） (電撃コミックスNEXT),10,2026-06-26,456,392,+64,14
異世界H英雄伝 ～美少女戦士たちは最強軍師の無茶なお願いに逆らえない～　3 (ヤングチャンピオン・コミックス),3,2026-06-26,589,395,+194,32.9
ざつ旅-That's Journey- １５ (電撃コミックスNEXT),15,2026-06-26,453,407,+46,10.2
ホーリーアンデッド （３）　～非モテでぼっちの死霊術士が、聖女に転生してお友達を増やします～ (KNコミックス),3,2026-06-26,565,433,+132,23.4
終末ツーリング 9 (電撃コミックスNEXT),9,2026-06-26,529,471,+58,11
夢でフラれてはじまる百合 (4) (バンブーコミックス),4,2026-06-26,698,528,+170,24.4
魔力0で最強の大賢者 ～それは魔法ではない、物理だ！～: 12【イラスト特典付】 (REXコミックス),,2026-06-26,677,570,+107,15.8
お兄ちゃんはおしまい！ 公式アンソロジーコミック: 8 (REXコミックス),8,2026-06-26,648,582,+66,10.2
ギャルと地味子が恋をする青春百合アンソロジー (バンブーコミックス),,2026-06-26,1490,804,+686,46
