順位,タイトル,巻数,発売日
10879,息できないのは君のせい 後日談【単話版】(2) (ビボピーコミックス),2,2026-09-22
18180,白い結婚から三年。旦那様、私と離縁してください(話売り)　#25 (ヤングチャンピオン・コミックス),25,2026-09-22
23001,売れ残りの奴隷エルフを拾ったので、娘にすることにした(話売り)　#30 (ヤングチャンピオン・コミックス),30,2026-09-22
49657,人妻物語（フルカラー）13 (コミックダイス),13,2026-09-22
55775,５６００歳の不老不死インフルエンサーいわく。(話売り)　#54～#57 (ヤングチャンピオン・コミックス),57,2026-09-22
77998,追放戦士のバール無双”SIMPLE殴打2000”～狂化スキルで成り上がるバールのバールによるバールのための英雄譚～ モバMAN DIGITAL COMICS（１１） (デジコレ),11,2026-09-22
101346,そのつがい婚は王子様と(10) (コミック カーテシック),10,2026-09-22
140375,アデル～全てを奪われた令嬢は復讐を誓う～(11) (コミック カーテシック),11,2026-09-22
154000,甘いお菓子の後は甘い溺愛を～婚約破棄された令嬢は辺境伯子息に溺愛される～(18) (コミック カーテシック),18,2026-09-22
160185,将校はいつも不機嫌(10) (コミック カーテシック),10,2026-09-22
173843,ミラ・ブランシャールは二度救う ～ある日、親友は別人になった～(5) (コミック カーテシック),5,2026-09-22
194931,ボーイミーツ異形さま(話売り)　#7 (ヤングチャンピオン・コミックス),7,2026-09-22
—,片田舎のおっさん、剣聖になる～ただの田舎の剣術師範だったのに、大成した弟子たちが俺を放ってくれない件～(話売り)　#48 (ヤングチャンピオン・コミックス),48,2026-09-22
