タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
あくまでクジャクの話です。(8) (モーニングKC),8,2026-08-10,81,50,+31,38.3
裏バイト:逃亡禁止 (19) (裏少年サンデーコミックス),19,2026-08-10,87,51,+36,41.4
雷雷雷 (7) (裏少年サンデーコミックス),7,2026-08-10,84,58,+26,31
転生賢者の異世界ライフ～第二の職業を得て、世界最強になりました～ 33巻 (デジタル版ガンガンコミックスＵＰ！),33,2026-08-10,224,78,+146,65.2
信長協奏曲 (23) (ゲッサン少年サンデーコミックス),23,2026-08-10,126,81,+45,35.7
アオイホノオ (33) (ゲッサン少年サンデーコミックススペシャル),33,2026-08-10,139,87,+52,37.4
この世界は不完全すぎる(18) (モーニングKC),18,2026-08-10,218,158,+60,27.5
創造錬金術師は自由を謳歌する 故郷を追放されたら、魔王のお膝元で超絶効果のマジックアイテム作り放題になりました (7) (角川コミックス・エース),7,2026-08-10,518,178,+340,65.6
スライム倒して300年、知らないうちにレベルMAXになってました 18巻 (デジタル版ガンガンコミックスONLINE),18,2026-08-10,427,179,+248,58.1
月刊少女野崎くん(18)特装版 セレクト小冊子「堀と鹿島編」付き (SEコミックスプレミアム),18,2026-08-10,240,195,+45,18.8
水魔法ぐらいしか取り柄がないけど現代知識があれば充分だよね? 3 (電撃コミックスNEXT),3,2026-08-10,817,210,+607,74.3
ソアラと魔物の家 (7) (サンデーうぇぶり),7,2026-08-10,391,211,+180,46
うしろの正面 カムイさん (13) (裏少年サンデーコミックス),13,2026-08-10,466,226,+240,51.5
ドラゴン養ってください (6) (裏少年サンデーコミックス),6,2026-08-10,523,281,+242,46.3
異世界辺境メシ(6) (モーニングKC),6,2026-08-10,1051,418,+633,60.2
負けヒロインが多すぎる!@comic (6) (マンガワンコミックス),6,2026-08-10,634,446,+188,29.7
ジャイアントお嬢様 (12) (サンデーうぇぶり),12,2026-08-10,1105,464,+641,58
ギャル神官はリザレがダルい (2) (サンデーうぇぶり),2,2026-08-10,908,523,+385,42.4
風の槍 (9) (裏少年サンデーコミックス),9,2026-08-10,1095,570,+525,47.9
はじめてのセフレ (3) (ビッグコミックス),3,2026-08-10,964,668,+296,30.7
へんなものみっけ! (13) (ビッグコミックス),13,2026-08-10,1192,695,+497,41.7
薩摩転生～世に万葉の丸十字が咲くなり～（６） (サンデーうぇぶりコミックス),6,2026-08-10,1928,1020,+908,47.1
かわいいのは俺である（４） (コミックＤＡＹＳコミックス),4,2026-08-10,2392,1037,+1355,56.6
おんなのこのけんをてにいれた３ (電撃コミックスNEXT),,2026-08-10,1975,1156,+819,41.5
CHANGE THE WORLD (5) (マンガワンコミックス),5,2026-08-10,1821,1204,+617,33.9
厭談夜話 (10) (サンデーうぇぶり),10,2026-08-10,1557,1233,+324,20.8
余命わずかだからと追放された聖女ですが、巡礼の旅に出たら超健康になりました 3巻 (デジタル版ガンガンコミックスONLINE),3,2026-08-10,3431,1332,+2099,61.2
クールな女神様と一緒に住んだら、甘やかしすぎてポンコツにしてしまった件について 6巻 (デジタル版ガンガンコミックスONLINE),6,2026-08-10,5064,1714,+3350,66.2
アサシン＆シンデレラ 6巻通常版 (デジタル版ガンガンコミックスONLINE),6,2026-08-10,3322,1848,+1474,44.4
十勝ひとりぼっち農園 (20) (少年サンデーコミックススペシャル),20,2026-08-10,2651,1892,+759,28.6
月はヒツジを数えない 3 (角川コミックス・エース),3,2026-08-10,4528,1941,+2587,57.1
ナイナイ尽くしの異世界転生３ (ポルカコミックス),,2026-08-10,3725,1975,+1750,47
賭けからはじまる最後の初恋 ２ (コミックELMO),2,2026-08-10,6968,2381,+4587,65.8
お人好し冒険者、転生少女を拾いました（コミック） 4巻 (デジタル版ガンガンコミックスONLINE),4,2026-08-10,7049,2598,+4451,63.1
ダッフルコートアーミー 3 (角川コミックス・エース),3,2026-08-10,3624,2665,+959,26.5
いじめの仕返しは先生にお任せ 4巻 (デジタル版ガンガンコミックスONLINE),4,2026-08-10,8081,3424,+4657,57.6
アキナちゃん神がかる (6) (ゲッサン少年サンデーコミックススペシャル),6,2026-08-10,5191,3554,+1637,31.5
極北のゲロイ: 8月17日の開戦 (2) (ゲッサン少年サンデーコミックススペシャル),2,2026-08-10,5183,3578,+1605,31
アサシン&シンデレラ(6)特装版 小冊子付き (SEコミックスプレミアム),6,2026-08-10,7116,3970,+3146,44.2
純情エッチング　４巻 (まんがタイムＫＲコミックス),4,2026-08-10,12725,4247,+8478,66.6
旗本改革男 ~令和のサラリーマン、お江戸に転生してべらぼう世直し~ 1 (角川コミックス・エース),1,2026-08-10,21280,4445,+16835,79.1
龍の贄嫁~虐げられた少女は運命の番として愛される~(2) (ガンガンコミックスONLINE),2,2026-08-10,7224,4460,+2764,38.3
文ゆかば (2) (ビッグコミックス),2,2026-08-10,5758,5742,+16,0.3
ニュートーキョーカモフラージュアワー 14 (14巻) (YKコミックス),14,2026-08-10,5713,5825,-112,-2
恋喰少女 (6) (サンデーうぇぶり),6,2026-08-10,14378,6014,+8364,58.2
顔だけ良いクラスメイトが、やたらとグイグイ来る百合の話。３ (角川コミックス・エース),,2026-08-10,12412,6329,+6083,49
ゆーぱぱの子育てそんなことある!?図鑑,,2026-08-10,6814,6868,-54,-0.8
天才美少女三姉妹は居候にだけちょろ可愛い。(1) (角川コミックス・エース),1,2026-08-10,19591,8046,+11545,58.9
マギアレコード　魔法少女まどか☆マギカ外伝　１３巻 (まんがタイムＫＲコミックス),13,2026-08-10,14112,8158,+5954,42.2
極剣のスラッシュ ~初級スキル極めたら、いつの間にか迷宮都市最強になってたんだが~ 2 (角川コミックス・エース),2,2026-08-10,16673,8820,+7853,47.1
【電子版】月刊コミックビーム　2026年9月号 [雑誌],,2026-08-10,15375,9040,+6335,41.2
戦車の飼い方(2) (角川コミックス・エース),2,2026-08-10,13109,9361,+3748,28.6
貴族の三男、でくの坊から最強魔術士へ。パラメーターを調節して、すべての魔術を魔改造! 1 ~気ままに遊んでいるだけなのに、何故か評価が上がっていく件について~ (角川コミックス・エース),1,2026-08-10,22348,9571,+12777,57.2
社畜おじさん触手を買う ： 2 【番外編収録】【特典付き】 (コミックマージナル),,2026-08-10,17662,9656,+8006,45.3
不死たる異端者と災いの竜姫 1 (角川コミックス・エース),1,2026-08-10,21083,9679,+11404,54.1
36-サンジュウロク- (4) (ビッグコミックス),4,2026-08-10,17210,10479,+6731,39.1
闇落ち令嬢は魔王の娘アリスに転生したので王都で暗躍することにしました(1) (ガンガンコミックスONLINE),1,2026-08-10,21651,10519,+11132,51.4
鬼上司のヤキモチが可愛すぎます！！　１１ (donna COMICS(ドンナ・コミックス)),11,2026-08-10,10295,10522,-227,-2.2
藤堂さんと仁愛ちゃん 1巻 (デジタル版ガンガンコミックスONLINE),1,2026-08-10,21907,11917,+9990,45.6
CLAMP PREMIUM COLLECTION ANGELIC LAYER (4),4,2026-08-10,15513,12000,+3513,22.6
無職の私と天然ハーブ王子の魔女レシピ 2巻 (デジタル版ガンガンコミックスONLINE),2,2026-08-10,15727,12226,+3501,22.3
まんペン（２） (コミックＤＡＹＳコミックス),2,2026-08-10,22216,13232,+8984,40.4
貧乏令嬢は呪いの伯爵と結婚したい 1巻 (デジタル版ガンガンコミックスONLINE),1,2026-08-10,15670,14582,+1088,6.9
ダストランド(話売り)　#14 (ヤングチャンピオン・コミックス),,2026-08-10,29209,14633,+14576,49.9
あもうときじま (3) (サンデーうぇぶり),3,2026-08-10,16702,14678,+2024,12.1
てんこ盛り！かりあげクン 真夏はかりあげ八十八夜 (アクションコミックス),,2026-08-10,15629,15205,+424,2.7
羅城恋月夜 分冊版 ： 15 (コミックマージナル),15,2026-08-10,24700,16883,+7817,31.6
宵明けの魔女 2巻 (デジタル版ガンガンコミックス),2,2026-08-10,29251,17136,+12115,41.4
高嶺の上司を抱いてしまった部下の話 (KITORA),1,2026-08-10,21723,17340,+4383,20.2
僕のいとこのおねえさん(2) (モーニングKC),2,2026-08-10,56838,17760,+39078,68.8
