タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
無職転生 ～異世界行ったら本気だす～ 25 (MFコミックス　フラッパーシリーズ),25,2026-09-18,1,1,0,0
フラジャイル（３２） (アフタヌーンコミックス),32,2026-09-18,34,7,+27,79.4
銭（インチキ）の力で、戦国の世を駆け抜ける。 9 (FWコミックス),9,2026-09-18,68,10,+58,85.3
うちのちいさな女中さん 7巻 (ゼノンコミックス),7,2026-09-18,233,52,+181,77.7
焼いてるふたり（２５） (モーニングコミックス),25,2026-09-18,132,53,+79,59.8
賭ケグルイ 22巻 (デジタル版ガンガンコミックスJOKER),22,2026-09-18,116,78,+38,32.8
FX戦士くるみちゃん　10 (MFコミックス　フラッパーシリーズ),10,2026-09-18,95,85,+10,10.5
【電子限定版】魔導具師ダリヤはうつむかない ～王立高等学院編～ 4 (FWコミックスオルタ),4,2026-09-18,173,89,+84,48.6
紛争でしたら八田まで（２０） (モーニングコミックス),20,2026-09-18,114,100,+14,12.3
夜鷹ふたたび（３） (モーニングコミックス),3,2026-09-18,285,108,+177,62.1
神さま学校の落ちこぼれ 15 (花とゆめコミックス),15,2026-09-18,398,118,+280,70.4
千年狐　十四　～干宝「捜神記」より～ (MFコミックス　フラッパーシリーズ),,2026-09-18,192,126,+66,34.4
劇場版　魔法少女まどか☆マギカ　〈ワルプルギスの廻天〉　１ (まんがタイムKRコミックス),1,2026-09-18,324,142,+182,56.2
トップウGP(17) (アフタヌーンKC),17,2026-09-18,272,154,+118,43.4
ザ・ゲームスターズ（７） (モーニングコミックス),7,2026-09-18,430,283,+147,34.2
童顔な上司は好きですか？ 2巻 (デジタル版ガンガンコミックスpixiv),2,2026-09-18,682,286,+396,58.1
氷属性男子とクールな同僚女子 12巻 (デジタル版ガンガンコミックスpixiv),12,2026-09-18,569,372,+197,34.6
ザ・キンクス（４） (コミックＤＡＹＳコミックス),4,2026-09-18,736,442,+294,39.9
はいふり　１４ (MFコミックス　アライブシリーズ),14,2026-09-18,617,476,+141,22.9
モブ子の恋 26巻【特典イラスト付き】 (ゼノンコミックス),26,2026-09-18,640,498,+142,22.2
吸血鬼と愉快な仲間たち 9 (花とゆめコミックススペシャル),9,2026-09-18,936,530,+406,43.4
鉄錆と1000カラット4【電子特別版】 (シルフコミックス),,2026-09-18,771,556,+215,27.9
煙たい話 8【単行本版】 煙たい話【単行本版】 (熱帯COMICS),,2026-09-18,1088,733,+355,32.6
俺だけレベルアップな件外伝 01 (MFC),1,2026-09-18,1111,762,+349,31.4
ワンダリング 1 (青騎士コミックス),1,2026-09-18,2621,771,+1850,70.6
ビッグコミックオリジナル 2026年19号（2026年9月18日発売) [雑誌],,2026-09-18,51342,830,+50512,98.4
ＰＯＬＥ　ＳＴＡＲ（８） (モーニングコミックス),8,2026-09-18,2319,1057,+1262,54.4
鈴木りつ第二短編集　垂直・宇宙・無限 鈴木りつ短編集 (青騎士コミックス),,2026-09-18,1220,1106,+114,9.3
マザーパラサイト 18巻【特典イラスト付き】 (ゼノンコミックス),18,2026-09-18,2566,1162,+1404,54.7
隠れ才女は全然めげない5 ～義母と義妹に家を追い出されたので婚約破棄してもらおうと思ったら、紳士だった婚約者が激しく溺愛してくるようになりました!?～【電子特典付き】 (DREコミックスF),5,2026-09-18,4638,1374,+3264,70.4
便利屋斎藤さん、異世界に来たばかり ~便利屋斎藤さん、異世界に行く 外伝~ (MFC),,2026-09-18,2514,1820,+694,27.6
推しが兄になりました 10巻 (デジタル版ガンガンコミックスpixiv),10,2026-09-18,3116,1942,+1174,37.7
アンダー３（４） (アフタヌーンコミックス),4,2026-09-18,4606,2144,+2462,53.5
まるごとぜんぶに恋してよ【電子限定描き下ろし漫画付き】 (ダリアコミックスe),3,2026-09-18,7349,2474,+4875,66.3
ハンバーガー大全 (青騎士コミックス),,2026-09-18,5308,3441,+1867,35.2
ハッピーファミリー 復讐のレンタルお母さん 10巻 (ゼノンコミックス),10,2026-09-18,7602,3463,+4139,54.4
スベる天使【電子限定おまけ付き】 3 (花とゆめコミックススペシャル),3,2026-09-18,4447,3566,+881,19.8
溺愛シークレットラバー ： 2 (チルシェコミックス),2,2026-09-18,8159,3735,+4424,54.2
万能女中コニー・ヴィレ【単話売】(27) (FK comics),27,2026-09-18,6105,4186,+1919,31.4
おっさん異世界で最強になる 3 ~物理特化の覚醒者~ (MFC),,2026-09-18,4473,4230,+243,5.4
勇者の旅の裏側で3 (DREコミックス),3,2026-09-18,13222,5198,+8024,60.7
「寡黙な声に惚れたからには」番外編『ももとせ変わらぬ』【電子限定版】 (Charaコミックス),,2026-09-18,27110,5633,+21477,79.2
お飾りの皇妃？なにそれ天職です！（コミック） 3巻 (デジタル版ガンガンコミックスpixiv),3,2026-09-18,9219,5692,+3527,38.3
サトリ令嬢の見透かせない感情【単話売】(8) (FK comics),8,2026-09-18,15479,5927,+9552,61.7
ギルドの雑用係が真の黒幕でした2 ～隠れた才能で暗躍無双～【電子特典付き】 (DREコミックス),2,2026-09-18,9358,6450,+2908,31.1
竜医のルカ（７） (モーニングコミックス),7,2026-09-18,12894,6884,+6010,46.6
漫画ゴラク 2026年 10/2・9 号 [雑誌] (週刊漫画ゴラク),,2026-09-18,15329,7339,+7990,52.1
万府先生は吸血鬼（３） (モーニングコミックス),3,2026-09-18,12228,8785,+3443,28.2
コンビニではじまる恋の話 (2) (Letter Comics),2,2026-09-18,10350,9280,+1070,10.3
パリに咲くエトワール(2) (アフタヌーンKC),2,2026-09-18,11713,9459,+2254,19.2
デリヘル、呼んでみた。#48初めての乳首責め (フォーチュンコミックアダルト),,2026-09-18,8629,9484,-855,-9.9
よあそびぐらしっ!6 (ナイトマ),6,2026-09-18,22830,10140,+12690,55.6
スノードームタウン(3) (モーニング KC),3,2026-09-18,12844,10651,+2193,17.1
マウスカーソルで現実を操作できるようになったので、女の子をいっぱいクリックしまーす4 (ナイトマ),4,2026-09-18,17415,11950,+5465,31.4
【発売記念特典銀牙伝説ぷくぷくシール付き】 高橋よしひろ 犬マンガの世界 ([バラエティ]),,2026-09-18,10849,12824,-1975,-18.2
茉莉花ちゃんの好感度はぶっ壊れている4 (彗星社コミックス),4,2026-09-18,27679,12864,+14815,53.5
セカンドハーフガールズ（２） (モーニングコミックス),2,2026-09-18,16683,13032,+3651,21.9
テリトリーラブ～その外科医、難攻不落につき～ 　２ (ベリーズコミックス),2,2026-09-18,21427,13079,+8348,39
Get Ready?【おまけ描き下ろし付き】 18 (花とゆめコミックススペシャル),18,2026-09-18,48226,13158,+35068,72.7
肉食御曹司に溺れるほど愛されています ２ (マーマレードコミックス),2,2026-09-18,29525,13918,+15607,52.9
愛したいのは、お前だけ～天才外科医の甘い策略～【財閥御曹司シリーズ】　３ (ベリーズコミックス),3,2026-09-18,21049,15077,+5972,28.4
離婚前夜～今宵、あなたを忘れます～　１ (ベリーズコミックス),1,2026-09-18,26229,15190,+11039,42.1
ガーデン・イン・ザ・クローゼット　１ (熱帯COMICS),1,2026-09-18,20167,15564,+4603,22.8
【感謝還元！おまけマンガ付き】家性婦の犬塚さんは竿のしつけまでしてくれる ～爆乳・爆尻持ちのド変態おっとり美人～ 家性婦の成瀬さんは竿のお掃除までしてくれる (ぽろっと天狗),,2026-09-18,11552,16265,-4713,-40.8
佐々木蒼が眼鏡を外したら2巻 (Berry's COMICS),2,2026-09-18,49805,16292,+33513,67.3
comic Berry’sテリトリーラブ～その外科医、難攻不落につき～13巻 (Berry's COMICS),13,2026-09-18,53125,17911,+35214,66.3
完全版 飛ぶ教室 ３ (希望コミックス),3,2026-09-18,20995,18377,+2618,12.5
週刊漫画ＴＩＭＥＳ　２０２６年１０／２・９合併号 [雑誌] (週刊漫画TIMES),,2026-09-18,98718,18410,+80308,81.4
愛してなんて命令じゃ言えない (ダリアコミックス),,2026-09-18,75233,19215,+56018,74.5
焦燥アンチトラガス (1) (Blend Comics),1,2026-09-18,26162,19344,+6818,26.1
溺愛シークレットラバー ： 2 【電子限定特装版】 (チルシェコミックス),,2026-09-18,55003,19642,+35361,64.3
残り物には福がある。【単話売】(36) (FK comics),36,2026-09-18,28019,20110,+7909,28.2
堕天使のカルテ 4巻 (ゼノンコミックス),4,2026-09-18,53157,21361,+31796,59.8
ミセス・アケチ(3) (モーニング KC),3,2026-09-18,20040,21633,-1593,-7.9
おじさま、夜伽してください!~嫌われ王女は初めて愛され満たされる (Clair TLcomics),,2026-09-18,46841,22739,+24102,51.5
紡ぐはひとひらの光2巻 (Berry's COMICS),2,2026-09-18,49089,22816,+26273,53.5
このたび鬼上司の秘書になりまして 【単行本版】 5巻 (まんが職人スタジオ),5,2026-09-18,85664,23506,+62158,72.6
兎は獣の肚の底でしあわせな夢をみる【電子限定おまけ付き】 3 (花とゆめコミックススペシャル),3,2026-09-18,46497,23724,+22773,49
本聴きのスピカ 1 (MFC),1,2026-09-18,19582,24151,-4569,-23.3
女王陛下（実は女装男子）の可愛い金糸雀（1） (comic LAKE),1,2026-09-18,45459,25058,+20401,44.9
政略結婚のはずが、溺愛旦那様がご執心すぎて離婚を許してくれません【分冊版】35話 (マーマレードコミックス),,2026-09-18,69514,25499,+44015,63.3
海運王の身代わり花嫁～こんなに愛されるなんて聞いてません！～2 (マーマレードコミックス),2,2026-09-18,83902,26468,+57434,68.5
追放系の悪役パーティのリーダーに転生したので、ざまぁされる前に自分を追放しました。 ~スキルを奪う『スティール』って悪役過ぎるけど強すぎる~ 1 (MFC),1,2026-09-18,26828,27688,-860,-3.2
異世界将棋無双~将棋で戦争する世界で王子に転生した僕が弱小人類を救います~(2) (モーニング KC),2,2026-09-18,27434,28069,-635,-2.3
SUNNYシックスティーン(3) (モーニング KC),3,2026-09-18,28067,28570,-503,-1.8
身ごもったら、この結婚は終わりにしましょう～身代わり花嫁はＳ系弁護士の溺愛に毎夜甘く啼かされる～【分冊版】14話 (マーマレードコミックス),,2026-09-18,244462,29921,+214541,87.8
comic Berry’s紡ぐはひとひらの光10巻 (Berry's COMICS),10,2026-09-18,53391,30020,+23371,43.8
ひねくれ公爵は呪われ乙女に口説かれる 第7話【単話版】 ひねくれ公爵は呪われ乙女に口説かれる【単話版】 (コミックライド),,2026-09-18,27926,31207,-3281,-11.7
傾国の騎士団長【電子限定おまけ付き】 2 (花とゆめコミックススペシャル),2,2026-09-18,62215,31404,+30811,49.5
きみは僕の愛しい天敵～エリート官僚は許嫁を溺愛したい～3巻 (Berry's COMICS),3,2026-09-18,45729,32396,+13333,29.2
番は二度目に花開く―大正×オメガバース― (チルシェコミックス),,2026-09-18,63117,33972,+29145,46.2
愛を誓うには早すぎる 2 (花とゆめコミックス),2,2026-09-18,36826,34948,+1878,5.1
離婚しようと記憶喪失のふりをしたら、怜悧な旦那様が激甘に愛してきます2 (マーマレードコミックス),2,2026-09-18,57229,35621,+21608,37.8
愛の極～旦那様、その結婚受けて立ちます～　１ (ベリーズコミックス),1,2026-09-18,108204,36568,+71636,66.2
海運王の身代わり花嫁～こんなに愛されるなんて聞いてません！～　1 (マーマレードコミックス),1,2026-09-18,82987,36675,+46312,55.8
秘密で赤ちゃんを産んだら、強引社長が溺愛パパになりました【分冊版】8話 (マーマレードコミックス),,2026-09-18,143803,39166,+104637,72.8
策士な王太子の溺愛包囲網～婚活中の公爵令嬢は逃げられません！～【分冊版】6話 (乙女ドルチェ・コミックス),2,2026-09-18,156334,39452,+116882,74.8
お酒によわい安藤さん2 (Continuer.),2,2026-09-18,42209,42045,+164,0.4
comic Berry’sマリッジ・フライト～天才パイロットと交際0日結婚事情～14巻 (Berry's COMICS),14,2026-09-18,101662,43023,+58639,57.7
BLゲームの悪役令息なのに攻略者に襲われるのだがどうすればいい？【合本版】4 (ヴィオラコミックス),4,2026-09-18,82041,45102,+36939,45
傷うつし令嬢の逃亡計画は、王子の溺愛で阻止されました2 (乙女ドルチェ・コミックス),2,2026-09-18,53429,45481,+7948,14.9
婚約者に裏切られた錬金術師は、独立して『ざまぁ』します コミック版 （分冊版） 【第53話】 (BKコミックス),,2026-09-18,49302,47156,+2146,4.4
ブス嬢・百華無双～私の肉で眠りなさい～(33) (コミックなにとぞ),33,2026-09-18,86949,50499,+36450,41.9
comic Berry’s君となら、その恋が消えても12巻 (Berry's COMICS),12,2026-09-18,89651,51207,+38444,42.9
comic Berry’sカノジョは俺が嫌いらしい9巻 (Berry's COMICS),9,2026-09-18,123422,57657,+65765,53.3
復讐装置いかがですか？　３５ (芳文社コミックス),35,2026-09-18,148930,60041,+88889,59.7
