タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
みいちゃんと山田さん（７） (マガジンポケットコミックス),7,2026-09-09,22,2,+20,90.9
異世界のんびり農家(17) (ドラゴンコミックスエイジ),17,2026-09-09,8,3,+5,62.5
転生コロシアム　8　～最弱スキルで最強の女たちを攻略して奴隷ハーレム作ります～ 転生コロシアム ～最弱スキルで最強の女たちを攻略して奴隷ハーレム作ります～ (ドラゴンコミックスエイジ),8,2026-09-09,21,6,+15,71.4
タワーダンジョン（７） (シリウスコミックス),7,2026-09-09,33,8,+25,75.8
薫る花は凛と咲く（２４） (マガジンポケットコミックス),24,2026-09-09,38,11,+27,71.1
黄金の経験値　５ (ドラゴンコミックスエイジ),5,2026-09-09,46,17,+29,63
勇者パーティを追い出された器用貧乏　～パーティ事情で付与術士をやっていた剣士、万能へと至る～（２０） (シリウスコミックス),20,2026-09-09,117,26,+91,77.8
聖者無双（１７） (シリウスコミックス),17,2026-09-09,153,32,+121,79.1
いとこのこ 6【2色カラー特別版】 (ドラゴンコミックスエイジ),,2026-09-09,111,44,+67,60.4
念願の悪役令嬢の身体を手に入れたぞ！（１１） (マガジンポケットコミックス),11,2026-09-09,222,45,+177,79.7
時々ボソッとロシア語でデレる隣のアーリャさん（１０） (マガジンポケットコミックス),10,2026-09-09,194,48,+146,75.3
ベアゲルター（８） (シリウスコミックス),8,2026-09-09,99,52,+47,47.5
怪獣自衛隊　24巻 (バンチコミックス),24,2026-09-09,304,56,+248,81.6
ギルティサークル（２２） (マガジンポケットコミックス),22,2026-09-09,335,90,+245,73.1
ＷＩＮＤ　ＢＲＥＡＫＥＲ（２７） (マガジンポケットコミックス),27,2026-09-09,235,100,+135,57.4
辺境の薬師、都でＳランク冒険者となる～英雄村の少年がチート薬で無自覚無双～（１４） (マガジンポケットコミックス),14,2026-09-09,435,106,+329,75.6
異世界のんびり農家の日常　8 (ドラゴンコミックスエイジ),8,2026-09-09,226,109,+117,51.8
実は俺、最強でした？（２１） (シリウスコミックス),21,2026-09-09,663,126,+537,81
