順位,タイトル,巻数,発売日
644,寿々木君のていねいな生活 4 (花とゆめコミックススペシャル),4,2026-08-05
1334,転生悪女の黒歴史 19 (花とゆめコミックス),19,2026-08-05
1494,今夜はなんの魚かな?,,2026-08-05
2516,ゾンビのあふれた世界で俺だけが襲われない 時子 IF STORY vol.1 (COMICらぐちゅう),1,2026-08-05
2633,人質生活から始めるスローライフ おかわり！ (1) (バンブーコミックス BCf),1,2026-08-05
2904,異世界居酒屋「げん」15 (このマンガがすごい！comics　),,2026-08-05
3257,ネクタイほどいていいですか (1) (アンダルシュCOMICS),1,2026-08-05
4057,怪物公爵と契約公女 9 (piccomics),9,2026-08-05
4929,機動戦士ガンダム フラナガン・ブーン戦記(7) (ヒーローズコミックス),7,2026-08-05
5255,愛され末っ子は初めてで 5 (piccomics),5,2026-08-05
9414,愛され皇妃のゆううつ 3 (花とゆめコミックススペシャル),3,2026-08-05
10203,土かぶりのエレナ姫 8 (花とゆめコミックス),8,2026-08-05
10216,この星降る天国で,,2026-08-05
16444,大昭和ロボット捜査線(2) (ヒーローズコミックス),2,2026-08-05
16907,花鈴のマウンド　19巻,19,2026-08-05
20587,政略結婚なのにどうして執着するのですか？ 5 (piccomics),5,2026-08-05
24013,怪物公爵と契約公女 9 (フロース コミック),9,2026-08-05
25321,折り紙職人ミモザの日記帳～病弱だった私は異世界に転生して健康な体を手に入れたので、前世でできなかった恩返しの旅に出る～１,,2026-08-05
27163,極と蕾～極道と恋を知らない人妻と～【マイクロ】（３０） (フラワーコミックスα),30,2026-08-05
27749,破滅ルートを目指し、完璧な悪役令嬢になってみせますっ！～推しのため当て馬をやり遂げたいのに、無愛想な護衛騎士様がやたらと絡んできます～ (2) (バンブーコミックス BCf),2,2026-08-05
29581,死に戻りの薔薇姫は敵国の公爵に溺愛される(単話版)第10話 (ポラリスCOMICS),,2026-08-05
33849,妹に結婚を押し付けられた手違いの妻ですが、いつの間にか辺境伯に溺愛されてました～半年後の離婚までひっそり過ごすつもりが、趣味の薬作りがきっかけで従者や兵士と仲良くなって毎日が楽しいです～１,,2026-08-05
38177,COMICスロマン 熱艶エキサイティング (GW MOOK 15) | パチスロ雑誌,,2026-08-05
41074,成り代わり令嬢のループライン2 繰り返す世界に幸せな結末を (フロース コミック),,2026-08-05
42347,家族に愛されなかった私が、辺境の地で氷の軍神騎士団長に溺れるほど愛されています１,,2026-08-05
42792,レス―ヘタくそなのはお互いさまです。―【マイクロ】（２６） (フラワーコミックスα),26,2026-08-05
43775,武術の名手ですが、側室に転生しました 1 (フロース コミック),1,2026-08-05
44594,今日もとなりにネコがいる,,2026-08-05
44741,出来損ないの魔女は獅子公爵と蜜婚する 1 (花とゆめコミックススペシャル),1,2026-08-05
48552,せっかく公爵令嬢に転生したんだから長生きしたい 5 (piccomics),5,2026-08-05
51985,生き残った王女の笑顔の裏には 1 (フロース コミック),1,2026-08-05
54595,comic marginal ： 114 (コミックマージナル),114,2026-08-05
57785,仮初めの花嫁　一条家に嫁いだ私の偽り婚姻譚【おまけ描き下ろし付き】 2 (花とゆめコミックススペシャル),2,2026-08-05
58617,目の前の惨劇で前世を思い出したけど、あまりにも問題山積みでいっぱいいっぱいです。 連載版：17 (ブシロードコミックス),,2026-08-05
60807,二度目の人生では、お飾り王妃になりません！【分冊版】１０ (ラワーレコミックス),,2026-08-05
64179,魔導書令嬢～伝説の魔導書を修復したら最強の精霊が味方になりました（クールな王弟殿下がなぜかいつもそばにいます）～【おまけ描き下ろし付き】 2 (花とゆめコミックススペシャル),2,2026-08-05
69995,ミワさんなりすます【単話】（１２９） (ビッグコミックス),129,2026-08-05
84300,忠誠心がないと言われたので婚約を解消してあげました。 連載版：18 (ブシロードコミックス),,2026-08-05
91885,お父様を探そうとしたのに 6 (piccomics),6,2026-08-05
93445,かかと落とし令嬢はチートな踵で無双する ～魔物を即死させて楽しんでいたら、私を追放した実家が崩壊しました～(1) (ぶんか社コミックス BKコミックス),1,2026-08-05
101180,夜ノ井月彦の幸せな地獄【マイクロ】（３７） (フラワーコミックスα),37,2026-08-05
103749,一途幼馴染は我慢できない～吸血に誘淫作用があるなんて聞いてない！～ 5 (花とゆめコミックススペシャル),5,2026-08-05
123465,どうして悪役小姑なんですか！？ 6 (piccomics),6,2026-08-05
129326,カラスはキラキラしたものがお好き 6 (piccomics),6,2026-08-05
—,ゾンビのあふれた世界で俺だけが襲われない 5 (COMICらぐちゅう),5,2026-08-05
—,赤ちゃんに転生した話(5),5,2026-08-05
—,病弱な悪役令嬢ですが、婚約者が過保護すぎて逃げ出したい(私たち犬猿の仲でしたよね!?) 6 (ＦＬＯＳ　ＣＯＭＩＣ),6,2026-08-05
—,佐橋くんのあやかし日和 ３【電子特典付き】,,2026-08-05
—,ビッグコミックオリジナル 2026年16号（2026年8月5日発売) [雑誌],,2026-08-05
—,機動警察パトレイバーシバシゲオぴあ (ぴあMOOK),,2026-08-05
—,婚約破棄の悪意は娼館からお返しします ８ (ＦＬＯＳ　ＣＯＭＩＣ),8,2026-08-05
