タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
セコケチ義妹がすべてを失った話（５） (コミックざまぁ),5,2026-07-02,8066,6185,+1881,23.3
お嬢様はお仕置きが好き【マイクロ】（５８） (フラワーコミックスα),58,2026-07-02,10719,8052,+2667,24.9
婚約者の妹と絶倫セフレになった話: 真激COMICS,,2026-07-02,10539,9117,+1422,13.5
小田原観光大使になれるかな season3 (バンブーコミックス エッセイセレクション),,2026-07-02,13356,9887,+3469,26
夜伽の双子―贄姫は二人の王子に愛される―【マイクロ】（４９） (フラワーコミックス),49,2026-07-02,26105,10750,+15355,58.8
遼河社長はイケない。【マイクロ】（４５） (フラワーコミックスα),45,2026-07-02,39509,15618,+23891,60.5
花は二度咲き乱れる【マイクロ】（４６） (フラワーコミックス),46,2026-07-02,34908,26243,+8665,24.8
花は二度咲き乱れる【マイクロ】（４７） (フラワーコミックス),47,2026-07-02,44363,28364,+15999,36.1
セフレの品格－プライド－ ： 44 (ジュールコミックス),44,2026-07-02,47541,31552,+15989,33.6
灰色人間生活 （3） 【かきおろし漫画付】 (comic RiSky(リスキー)),3,2026-07-02,56345,34320,+22025,39.1
生まれ変わってやり直させて【マイクロ】（１４） (フラワーコミックス),14,2026-07-02,92062,42741,+49321,53.6
蝶は愛執の檻にとらわれる【マイクロ】【番外編】（１９） (フラワーコミックス),19,2026-07-02,134392,46309,+88083,65.5
悪魔と俺と 分冊版 ： 7 (アクションコミックス),7,2026-07-02,64273,55791,+8482,13.2
双子の妹に殺された姉、二度目の人生は初恋のイケおじ王弟にフルベットします！ 連載版：3 (ブシロードコミックス),,2026-07-02,71527,56618,+14909,20.8
赤の結婚【マイクロ】 22 (フラワーコミックス),22,2026-07-02,48572,60407,-11835,-24.4
悪魔と俺と 分冊版 ： 8 (アクションコミックス),8,2026-07-02,50786,61992,-11206,-22.1
双子の妹に殺された姉、二度目の人生は初恋のイケおじ王弟にフルベットします！ 連載版：1-1 (ブシロードコミックス),,2026-07-02,92310,68364,+23946,25.9
双子の妹に殺された姉、二度目の人生は初恋のイケおじ王弟にフルベットします！ 連載版：2 (ブシロードコミックス),,2026-07-02,67751,73020,-5269,-7.8
双子の妹に殺された姉、二度目の人生は初恋のイケおじ王弟にフルベットします！ 連載版：1-2 (ブシロードコミックス),,2026-07-02,74134,79985,-5851,-7.9
