順位,タイトル,巻数,発売日
16,ふたりバス（３） (少年サンデーコミックス),3,2026-08-18
24,MAJOR 2nd(メジャーセカンド) (33) (少年サンデーコミックス),33,2026-08-18
41,史上最強の弟子ケンイチ2 ~達人編~ (1) (サンデーうぇぶり),1,2026-08-18
45,あおざくら 防衛大学校物語（３７） (少年サンデーコミックス),37,2026-08-18
73,写らナイんです（９） (少年サンデーコミックス),9,2026-08-18
84,龍と苺（２９） (少年サンデーコミックス),29,2026-08-18
118,パラショッパーズ（６） (少年サンデーコミックス),6,2026-08-18
153,MAO (30) (少年サンデーコミックス),30,2026-08-18
159,コミック百合姫 2026年10月号[雑誌],,2026-08-18
573,みずぽろ（８） (少年サンデーコミックススペシャル),8,2026-08-18
910,シテの花－能楽師・葉賀琥太朗の咲き方－（６） (少年サンデーコミックス),6,2026-08-18
1311,神引きのモナーク（１） (少年サンデーコミックススペシャル),1,2026-08-18
1323,シテの花－能楽師・葉賀琥太朗の咲き方－（７） (少年サンデーコミックス),7,2026-08-18
1733,ヴァンパイドル滾（５） (少年サンデーコミックス),5,2026-08-18
1779,漫画アクション 2026年9/1号［雑誌］,,2026-08-18
5660,悶えてよ、アダムくん8 (ナイトマ),,2026-08-18
8193,君は明け星 (1) (少年サンデーコミックススペシャル),1,2026-08-18
9923,史上最強の弟子ケンイチ 愛蔵版 (1) (少年サンデーコミックススペシャル),1,2026-08-18
10115,史上最強の弟子ケンイチ 愛蔵版 (2) (少年サンデーコミックススペシャル),2,2026-08-18
10940,勤務時間外、隣人の上司はケモノになる。7 (Clair TLcomics),1,2026-08-18
13737,可惜夜のヴィヤンド (G-Lish Comics),,2026-08-18
13962,吾が君散るらむ (3) (少年サンデーコミックススペシャル),3,2026-08-18
15647,あやつりカレンダー3 (ナイトマ),,2026-08-18
17825,教師の俺らはシてもいいでしょ?~マジメ先生はチャラ男先生に敵わない~4 (Clair TLcomics),,2026-08-18
28893,策士な王太子の溺愛包囲網～婚活中の公爵令嬢は逃げられません！～【分冊版】5話 (乙女ドルチェ・コミックス),2,2026-08-18
29167,こわくのこわいの (百合姫コミックス),,2026-08-18
29994,決定版 バングラデシュのことがマンガで3時間でわかる本,,2026-08-18
57312,エルフは絶対ときめかない (彗星社コミックス),,2026-08-18
63946,嘆きの聖女は王子様の箱庭の中 3 (ASTRO COMICS),3,2026-08-18
66635,腹黒陛下の甘やかな策略～婚活を助けたらプロポーズされました!?～【分冊版】3話 (乙女ドルチェ・コミックス),3,2026-08-18
92009,傷うつし令嬢の逃亡計画は、王子の溺愛で阻止されました【分冊版】11話 (乙女ドルチェ・コミックス),,2026-08-18
100137,冬の終わりに春を待つ (百合姫コミックス),,2026-08-18
108915,プッシャー天使ケンチー 分冊版 ： 15 (アクションコミックス),15,2026-08-18
237825,魔法少女イナバ 連載版：11 (ブシロードコミックス),,2026-08-18
—,飼い主大嫌い系ハムスター とんとんの本音,,2026-08-18
—,ドライな同期の溺愛癖【単行本版】4【特典ペーパー付き】 (MEQLME),,2026-08-18
—,陽くんはオトコたらし２【単行本版特典ペーパー付き】 陽くんはオトコたらし【単行本版特典ペーパー付き】 (．Ｎｏｎｆｉｎｅ),,2026-08-18
