順位,タイトル,巻数,発売日
50,あくまでクジャクの話です。(8) (モーニングKC),8,2026-08-10
51,裏バイト:逃亡禁止 (19) (裏少年サンデーコミックス),19,2026-08-10
58,雷雷雷 (7) (裏少年サンデーコミックス),7,2026-08-10
78,転生賢者の異世界ライフ～第二の職業を得て、世界最強になりました～ 33巻 (デジタル版ガンガンコミックスＵＰ！),33,2026-08-10
81,信長協奏曲 (23) (ゲッサン少年サンデーコミックス),23,2026-08-10
87,アオイホノオ (33) (ゲッサン少年サンデーコミックススペシャル),33,2026-08-10
158,この世界は不完全すぎる(18) (モーニングKC),18,2026-08-10
178,創造錬金術師は自由を謳歌する 故郷を追放されたら、魔王のお膝元で超絶効果のマジックアイテム作り放題になりました (7) (角川コミックス・エース),7,2026-08-10
179,スライム倒して300年、知らないうちにレベルMAXになってました 18巻 (デジタル版ガンガンコミックスONLINE),18,2026-08-10
195,月刊少女野崎くん(18)特装版 セレクト小冊子「堀と鹿島編」付き (SEコミックスプレミアム),18,2026-08-10
210,水魔法ぐらいしか取り柄がないけど現代知識があれば充分だよね? 3 (電撃コミックスNEXT),3,2026-08-10
211,ソアラと魔物の家 (7) (サンデーうぇぶり),7,2026-08-10
226,うしろの正面 カムイさん (13) (裏少年サンデーコミックス),13,2026-08-10
281,ドラゴン養ってください (6) (裏少年サンデーコミックス),6,2026-08-10
418,異世界辺境メシ(6) (モーニングKC),6,2026-08-10
446,負けヒロインが多すぎる!@comic (6) (マンガワンコミックス),6,2026-08-10
464,ジャイアントお嬢様 (12) (サンデーうぇぶり),12,2026-08-10
523,ギャル神官はリザレがダルい (2) (サンデーうぇぶり),2,2026-08-10
570,風の槍 (9) (裏少年サンデーコミックス),9,2026-08-10
668,はじめてのセフレ (3) (ビッグコミックス),3,2026-08-10
695,へんなものみっけ! (13) (ビッグコミックス),13,2026-08-10
1020,薩摩転生～世に万葉の丸十字が咲くなり～（６） (サンデーうぇぶりコミックス),6,2026-08-10
1037,かわいいのは俺である（４） (コミックＤＡＹＳコミックス),4,2026-08-10
1156,おんなのこのけんをてにいれた３ (電撃コミックスNEXT),,2026-08-10
1204,CHANGE THE WORLD (5) (マンガワンコミックス),5,2026-08-10
1233,厭談夜話 (10) (サンデーうぇぶり),10,2026-08-10
1332,余命わずかだからと追放された聖女ですが、巡礼の旅に出たら超健康になりました 3巻 (デジタル版ガンガンコミックスONLINE),3,2026-08-10
1714,クールな女神様と一緒に住んだら、甘やかしすぎてポンコツにしてしまった件について 6巻 (デジタル版ガンガンコミックスONLINE),6,2026-08-10
