順位,タイトル,巻数,発売日
3562,みいちゃんと山田さん　分冊版（３４） (マガジンポケットコミックス),34,2026-06-21
7906,幸せに暮らしてますので放っておいてください！（コミック） ： 4 (モンスターコミックスｆ),4,2026-06-21
10393,ペッタん娘じゃダメですか？【コミックス版】(5) (DEDEDE),5,2026-06-21
—,漫画家なるあすくの短編エッセイ集2 漫画家なるあすくのエッセイマンガ集,,2026-06-21
