順位,タイトル,巻数,発売日
12257,幸せに暮らしてますので放っておいてください！（コミック） ： 4 (モンスターコミックスｆ),4,2026-06-21
28200,ペッタん娘じゃダメですか？【コミックス版】(5) (DEDEDE),5,2026-06-21
—,みいちゃんと山田さん　分冊版（３４） (マガジンポケットコミックス),,2026-06-21
