タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
最強の剣神、辺境の村娘に生まれ変わる。【電子単行本版】３ (コミックアウル),,2026-07-25,4059,2679,+1380,34
シンデレラが結婚したので意地悪な義姉はクールに去……れません！？（4）【描き下ろしマンガ付き】 (コミックcoral),4,2026-07-25,4506,2693,+1813,40.2
コレットは死ぬことにした―女神編―［1話売り］　 番外編 (花とゆめコミックス),,2026-07-25,6586,4965,+1621,24.6
異世界ハーレムループ～繰り返される1日から脱出する為に抱きまくります～(11) (GG-COMICS),11,2026-07-25,20428,11117,+9311,45.6
玉座と小夜啼鳥 23巻 (冬水社・いち＊ラキコミックス),23,2026-07-25,24929,13282,+11647,46.7
【単話】復讐の同窓会　第42話 (GG-COMICS),,2026-07-25,24407,15569,+8838,36.2
五月の女王 5巻 (冬水社・いち＊ラキコミックス),5,2026-07-25,39940,19052,+20888,52.3
ニューノーマル６９ (コミックアウル),,2026-07-25,74832,19865,+54967,73.5
天堂家物語［1話売り］　第八十一話 (花とゆめコミックス),,2026-07-25,101948,25933,+76015,74.6
金髪の姫将軍は元敵国の好敵手に嫁ぐ（単話版32） 金髪の姫将軍は元敵国の好敵手に嫁ぐ 単話版 (コミックcoral),,2026-07-25,121749,26637,+95112,78.1
婚約破棄されて自由を手に入れた女伯爵ですが、知識をいかして司書になったら王弟殿下に認められ、専属になりました（単話版4） 婚約破棄されて自由を手に入れた女伯爵ですが、知識をいかして司書になったら王弟殿下に認められ、専属になりました（単話版） (コミックcoral),3,2026-07-25,85477,28735,+56742,66.4
超有能兵士の部下に嫌われていると思ってたら、長年虎視眈々と狙われていた話（単話版9） 超有能兵士の部下に嫌われていると思ってたら、長年虎視眈々と狙われていた話（単話版） (コミックcoral),3,2026-07-25,154955,35854,+119101,76.9
その異世界ハーレムは制約つき。～自慰行為を禁止された童貞勇者のスローライフ～（分冊版）３２ (ムゲンコミックス),,2026-07-25,55774,40768,+15006,26.9
惚れたはれたパンダ　プチデザ（８） (デザートコミックス),8,2026-07-25,104568,41190,+63378,60.6
蜜と劇薬【マイクロ】（１４） (フラワーコミックス),14,2026-07-25,124608,54116,+70492,56.6
今日から使える異世界恋愛マニュアル(22) (GG-COMICS),22,2026-07-25,136016,55079,+80937,59.5
狼皇子と嘘つきな結婚［1話売り］　第30話 (花とゆめコミックス),,2026-07-25,135926,55433,+80493,59.2
皇帝陛下の運命の人は、私でした～後宮寵愛占い譚～（単話版11） 皇帝陛下の運命の人は、私でした～後宮寵愛占い譚～（単話版） (コミックcoral),3,2026-07-25,89494,65336,+24158,27
愛され皇妃のゆううつ［1話売り］　第11話 (花とゆめコミックス),,2026-07-25,137340,77364,+59976,43.7
ちょいクズ社畜の異世界ハーレム建国記(28) (GG-COMICS),28,2026-07-25,99921,106909,-6988,-7
頼くんとヨリを戻すわけには！　プチデザ（１４） (デザートコミックス),14,2026-07-25,122602,122143,+459,0.4
龍の花嫁は鬼の嘘に溺れる（単話版23） 龍の花嫁は鬼の嘘に溺れる（単話版） (コミックcoral),,2026-07-25,128830,140072,-11242,-8.7
