タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
不徳のギルド 18巻 (デジタル版ガンガンコミックス),18,2026-09-11,37,6,+31,83.8
うるわしの宵の月（１１） (デザートコミックス),11,2026-09-11,58,18,+40,69
マネマネにちにち（４） (ゲッサン少年サンデーコミックス),4,2026-09-11,43,20,+23,53.5
ケンガンオメガ（３４） (裏少年サンデーコミックス),34,2026-09-11,82,37,+45,54.9
恋と呼ぶにはささやかですが 2巻 (デジタル版ガンガンコミックス),2,2026-09-11,255,98,+157,61.6
パンをナメるな！（２） (マンガワンコミックス),2,2026-09-11,316,147,+169,53.5
ブルーウルスス（３） (裏少年サンデーコミックス),3,2026-09-11,332,155,+177,53.3
ハーレム相続（３） (ビッグコミックス),3,2026-09-11,380,173,+207,54.5
ジャイアントお嬢様（１３） (サンデーうぇぶりコミックス),13,2026-09-11,623,249,+374,60
やんごとなき一族（２１） (Ｋｉｓｓコミックス),21,2026-09-11,521,287,+234,44.9
ぱるたん ~ちいさい人とのくらしは毎日たのしい~(3) (ワイドKC),3,2026-09-11,1158,1116,+42,3.6
