順位,タイトル,巻数,発売日
4,The JOJOLands 9 (ジャンプコミックス),9,2026-09-17
19,BUNGO-unreal- 3［BUNGO―ブンゴ― 44］ (ヤングジャンプコミックスDIGITAL),,2026-09-17
21,ニンジャスレイヤー キョート・ヘル・オン・アース　20 (チャンピオンREDコミックス),20,2026-09-17
28,魔力枯れのダークエルフ(2) (ヤンマガKCスペシャル),2,2026-09-17
38,ドッグスレッド 9 (ヤングジャンプコミックスDIGITAL),9,2026-09-17
58,超人X 17 (ヤングジャンプコミックスDIGITAL),17,2026-09-17
75,君のことが大大大大大好きな100人の彼女 27 (ヤングジャンプコミックスDIGITAL),27,2026-09-17
86,ドラゴンの胃でおやすみ（３） (ヤングマガジンコミックス),3,2026-09-17
97,はるかリセット　26 (チャンピオンREDコミックス),26,2026-09-17
111,ばくおん!! 20 (20) (ヤングチャンピオン烈コミックス),20,2026-09-17
122,氷結令嬢さまをフォローしたら、メチャメチャ溺愛されてしまった件＠comic（２） (裏少年サンデーコミックス),2,2026-09-17
139,復讐を希う最強勇者は、闇の力で殲滅無双する 19 (ヤングジャンプコミックスDIGITAL),19,2026-09-17
139,今朝も揺られてます　5 (少年チャンピオン・コミックス),5,2026-09-17
157,あなた達それでも先生ですかっ！ 6 (ヤングジャンプコミックスDIGITAL),6,2026-09-17
198,星屑の王子様（１１） (マンガワン女子部),11,2026-09-17
200,DEAD Tube　～デッドチューブ～　29 (チャンピオンREDコミックス),29,2026-09-17
208,ジャジャ (40) (サンデーGXコミックス),40,2026-09-17
210,バツハレ 13 (ヤングジャンプコミックスDIGITAL),13,2026-09-17
216,迷子になっていた幼女を助けたら、お隣に住む美少女留学生が家に遊びに来るようになった件について 5 (ヤングジャンプコミックスDIGITAL),5,2026-09-17
236,転生ゴブリンだけど質問ある？ 15 (ヤングジャンプコミックスDIGITAL),15,2026-09-17
258,Dr.Eggs ドクターエッグス 15 (ヤングジャンプコミックス),15,2026-09-17
274,未亡人アンネの閨の手ほどき（５） (Pomme Comics),5,2026-09-17
283,救世主《メシア》～異世界を救った元勇者が魔物のあふれる現実世界を無双する～ 9 (ヤングジャンプコミックスDIGITAL),9,2026-09-17
379,TOUGH 第二章 2 (ヤングジャンプコミックスDIGITAL),2,2026-09-17
381,生意気なギャル姉を解らせる話 5 (ヤングジャンプコミックスDIGITAL),5,2026-09-17
412,チカーノKEI～米国極悪刑務所を生き抜いた日本人～　20 (ヤングチャンピオン・コミックス),20,2026-09-17
465,ばくおん!! ~天野恩紗のニコイチ繁盛記~ 4 (4) (ヤングチャンピオン烈コミックス),4,2026-09-17
521,商人令嬢アニエス 辺境に追放された悪役令嬢は商才を発揮し成り上がる 2 (ヤングジャンプコミックスDIGITAL),2,2026-09-17
524,真面目メガネくんをオトしたい 5 (フルールコミックス),5,2026-09-17
543,バブル ~チカーノKEI歌舞伎町血闘編~ 11 (11) (ヤングチャンピオンコミックス),11,2026-09-17
547,俺だけ不遇スキルの異世界召喚叛逆記～最弱スキル【吸収】が全てを飲み込むまで～ 18 (ヤングジャンプコミックスDIGITAL),18,2026-09-17
549,静かなるドン　― もうひとつの最終章 ―（９）,9,2026-09-17
564,ガス灯野良犬探偵団 12 (ヤングジャンプコミックスDIGITAL),12,2026-09-17
579,雪と墨（１０） (ヤングマガジンコミックス),10,2026-09-17
597,レッドムーダン 13 (ヤングジャンプコミックスDIGITAL),13,2026-09-17
686,私刑執行人～殺人弁護士とテミスの天秤～【電子単行本】　9 (ヤングチャンピオン・コミックス),9,2026-09-17
751,裏切られたSランク冒険者の俺は、愛する奴隷の彼女らと共に奴隷だけのハーレムギルドを作る 15 (ヤングジャンプコミックスDIGITAL),15,2026-09-17
773,うちはおっぺけ 3姉妹といっしょ (11) (SUKUPARA SELECTION),11,2026-09-17
777,魔法少女201 6 (ヤングジャンプコミックスDIGITAL),6,2026-09-17
822,怨み屋本舗DIABLO 16 (ヤングジャンプコミックス),16,2026-09-17
899,イリオス 14 (ヤングジャンプコミックスDIGITAL),14,2026-09-17
1012,4軍くん（仮） 14 (ヤングジャンプコミックスDIGITAL),14,2026-09-17
1074,モンスターアンドゴースト 4【電子限定漫画付き】 モンスターアンドゴースト【電子限定漫画付き】 (B.PilzCOMICS),,2026-09-17
1526,岩元先輩ノ推薦 15 (ヤングジャンプコミックス),15,2026-09-17
1593,婚約破棄された悪辣オメガは義兄公爵に執着される（2） (comic LAKE),2,2026-09-17
1992,グランマの憂鬱 ： 20 (ジュールコミックス),20,2026-09-17
2035,ラブライブ! flowers*―蓮ノ空女学院スクールアイドルクラブ― 5 (ヤングジャンプコミックス),5,2026-09-17
2091,ギャルと本屋 (2) (てんとう虫コミックス),2,2026-09-17
2559,お前は俺のモノだろ？　～俺様社長の独占溺愛～４【電子限定特典付】 (ピュールコミックスピュア),,2026-09-17
2932,~銀牙伝説~レクイエム (12) (ニチブンコミックス),12,2026-09-17
2998,メランコ・キリング 2 (ヤングジャンプコミックス),2,2026-09-17
3090,嫁がくる！ 2 (ヤングジャンプコミックスDIGITAL),2,2026-09-17
3298,勇者遺族 3 (ヤングジャンプコミックスDIGITAL),3,2026-09-17
3494,デカいうさぎに懐かれた！？　2 (チャンピオンREDコミックス),2,2026-09-17
4382,獣達のペレグリナティオ (1) (裏少年サンデーコミックス),1,2026-09-17
4805,サエイズム　18 (チャンピオンREDコミックス),18,2026-09-17
4955,理想郷女子図鑑～私の結婚生活、とっても幸せです～ 4 (ヤングジャンプコミックスDIGITAL),4,2026-09-17
5862,もう少しだけ、そばにいて A Little Journey (クロフネCOMICS くろふねピクシブシリーズ),,2026-09-17
6023,アラームが鳴らないうちに,,2026-09-17
6537,かりそめの公爵夫人 7 (piccomics),7,2026-09-17
6571,極殺道―グレゴール―　6 (ヤングチャンピオン・コミックス),6,2026-09-17
7031,幼馴染は一卵性の獣９ (カルトコミックス Love Chucola Selection),9,2026-09-17
7089,副音声はうるさい十分に（分冊版）【番外編】2 (fujossyコミックプチ),2,2026-09-17
8040,オーバーレブ!90’sー音速の美少女たちー 9 (9) (ヤングチャンピオンコミックス),9,2026-09-17
8088,神アプリ クリミナルハンター　4 (ヤングチャンピオン・コミックス),4,2026-09-17
8901,元侯爵令嬢の辺境使用人ライフ (comicスピラ),,2026-09-17
8935,傾国の側室は平和に暮らしたい (クロフネCOMICS くろふねピクシブシリーズ),,2026-09-17
9530,ドキドキさせんで秦野くん！ (ビボピーコミックス),,2026-09-17
9649,乙女のおかず(3) (ヤングマガジンKC),3,2026-09-17
9675,剣聖サラリーマン無双~幼馴染みがときどき人類を救う手伝いを頼んでくる~ ( 2) (マンガBANGコミックス),2,2026-09-17
9680,もう興味がないと離婚された令嬢の意外と楽しい新生活【単話】（３１） (マンガワン女子部),31,2026-09-17
9806,不本意な結婚をした令嬢が幸せになってしまいましたアンソロジーコミック２ (ＦＬＯＳ　ＣＯＭＩＣ),2,2026-09-17
9860,高学歴難民 2 (2) (チャンピオンREDコミックス),2,2026-09-17
9906,クラフトスキルで異世界の無人島を大改造! ‥‥‥とか思ったら先住民がいて、俺の子種を狙っているようです(1) (ヤングマガジンKC),1,2026-09-17
10046,あの悪女には暴君が必要だ 8 (piccomics),8,2026-09-17
10088,万年を生きる平和主義ヴァンパイア、いつの間にか世界最強に ～俺が魔王軍四天王で新たな始祖？誰と間違ってんの？～ 1 (ヤングジャンプコミックスDIGITAL),1,2026-09-17
10227,B組の名物カップルはまだ付き合ってない２ (Ｓｐｌｕｓｈコミックス),2,2026-09-17
10587,私が娘ですか？ 7 (piccomics),7,2026-09-17
11638,ゴールデンエッグ 9 (ヤングジャンプコミックスDIGITAL),9,2026-09-17
12401,B組の名物カップルはまだ付き合ってない ２【電子書籍特装版】 B組の名物カップルはまだ付き合ってない【電子書籍特装版】 (Splushコミックス),,2026-09-17
12781,悪女は楽で最高ですが？ 2 (piccomics),2,2026-09-17
12894,おっさんは異世界で想いを遂げる 3 (ISEKAI),3,2026-09-17
13071,魔力量歴代最強な転生聖女さまの学園生活は波乱に満ち溢れているようです ～王子さまに悪役令嬢とヒロインぽい子たちがいるけれど、ここは乙女ゲー世界ですか？～ 1 (マーガレットコミックスDIGITAL),1,2026-09-17
13453,愛されないとわかっていても～捨てられ王女は黒騎士の激重執愛に囚われる～ (comicスピラ),,2026-09-17
14223,恋と嘘には利息がつきもの (Tulle　Comics),,2026-09-17
14662,殿下、ちょっと一言よろしいですか？ ～無能な悪女だと罵られて婚約破棄されそうですが、その前にあなたの悪事を暴かせていただきますね！～ 2 (マーガレットコミックスDIGITAL),2,2026-09-17
14996,岬くんから逃げられない (Tulle　Comics),,2026-09-17
15058,恋するならゆびさきまで (フルールコミックス),,2026-09-17
15388,貴女にかまう暇はないと言われた侯爵令嬢の幸せすぎる末路（２） (ピュールコミックスピュア),2,2026-09-17
16584,まるせっせんす 1 (集英社ホームコミックス),1,2026-09-17
17885,捨てられるはずの悪妻なのに冷徹侯爵様に溺愛されています 2 (フロース コミック),2,2026-09-17
18029,夫婦のヒケツは晩酌です 4 (ヤングジャンプコミックス),4,2026-09-17
18411,ブラックガールズトーク ～女が語るムカつく奴ら～【単話】（６４） (マンガワン女子部),64,2026-09-17
18799,跨いでナンボ(1) (ヤングマガジンKC),1,2026-09-17
19022,死体役令嬢に転生したら黒幕王子に執着されちゃいました 3 (フロース コミック),3,2026-09-17
19272,「先生、」 (&.Emo comics),,2026-09-17
19401,意地悪な姑をやめたら、みんな私に執着します 6 (piccomics),6,2026-09-17
19682,捨てられた王女の秘密の寝室（4） (カラフルハピネス),4,2026-09-17
20761,実は性欲スゴイんです…元ヤン上司が好きで、欲しくて、食べたい。 4 (ラブコフレコミックス),4,2026-09-17
21077,勇者の運命１,1,2026-09-17
21252,剣聖サラリーマン無双~幼馴染みがときどき人類を救う手伝いを頼んでくる~ ( 1) (マンガBANGコミックス),1,2026-09-17
21299,実は性欲スゴイんです…元ヤン上司が好きで、欲しくて、食べたい。 3 (ラブコフレコミックス),3,2026-09-17
21875,ホタルの嫁入り【単話】 外伝4 (マンガワン女子部),4,2026-09-17
22211,悪女は楽で最高ですが？（2） (カラフルハピネス),2,2026-09-17
22510,姉に悪評を立てられましたが、何故か隣国の大公に溺愛されています3 自分らしく生きることがモットーです (フロース コミック),,2026-09-17
22991,奥田の細道 4 (ヤングジャンプコミックスDIGITAL),4,2026-09-17
24151,一勝千金【単話】（７７） (裏少年サンデーコミックス),77,2026-09-17
25009,大人の夏休み～元ヤン同級生とむせ返る暑い三日間 (ラブきゅんcomic),,2026-09-17
25289,ココハ家族ガキエル町 3 (ヤングジャンプコミックス),3,2026-09-17
25608,それ以外の星たち ： 2 (ジュールコミックス),2,2026-09-17
31052,完璧幼なじみの理性がプッツンしまして～20年分の愛を注ぐ～ (ラブきゅんcomic),,2026-09-17
32954,クレイジーラン (5) (裏少年サンデーコミックス),5,2026-09-17
33572,転生したらラスボス系悪女だった! 1 (フロース コミック),1,2026-09-17
34630,俺のエロ配信がバレて上司にハメられてます！３ (caramelコミックス),3,2026-09-17
35756,愛蔵版 シグルイ 2 (2),2,2026-09-17
38034,殺されたくなくて悪役な婚約者を愛でていたら、なぜか溺愛されました【第11話】 (エンジェライトコミックス),,2026-09-17
38103,こころには結婚しない理由がある(1) (ジュールコミックス),1,2026-09-17
38833,ループ10回目の王女様 6 (piccomics),6,2026-09-17
40667,お姉様、今世では私が王妃よ（3） (カラフルハピネス),3,2026-09-17
42454,白瑞宮のお料理番 1 ~異世界の神様と飯テロスローライフを満喫する~ (フロース コミック),,2026-09-17
43904,真白くんはトラ専用 (フルールコミックス),,2026-09-17
47218,まじめな課長がえろすぎる (Ｓｐｌｕｓｈコミックス),,2026-09-17
50591,ＯＬ様バラエティ（通常版） (アクションコミックス),,2026-09-17
50858,結婚前夜に義妹に婚約者を奪われたので、責任取ってもらいます。【第8話】 (エンジェライトコミックス),,2026-09-17
52446,私たち離婚しますので 1 生贄令嬢と冷酷軍人の完璧なる離婚計画 (フロース コミック),,2026-09-17
52769,嫁がされた先は白豚公爵のはずですが? 1 (フロース コミック),1,2026-09-17
54010,どこよりも遠い場所にいる君へ 2 (ヤングジャンプコミックス),2,2026-09-17
57712,スパダリDom様の快感コマンド～この結婚、業務外！ (caramelコミックス),,2026-09-17
59114,規格外のダンジョン攻略者、実は異世界帰りの元勇者１ (comicスピラ),1,2026-09-17
63907,義娘が悪役令嬢として破滅することを知ったので、めちゃくちゃ愛します～契約結婚で私に関心がなかったはずの公爵様に、気づいたら溺愛されてました～@comic【単話】（３６） (マンガワン女子部),36,2026-09-17
64499,執着系主人公の契約フィアンセです 6 (piccomics),6,2026-09-17
76455,愛蔵版 シグルイ 1 (1),1,2026-09-17
97337,発情乙女とクズ騎士 ～エッチな呪いが解けません!?～(14) (e乙蜜コミックス),14,2026-09-17
129855,大家族四男・兎田士郎の喜憂な日常【単話版】 第12話 (コミック Maomao),,2026-09-17
131418,裏バイト：逃亡禁止【単話】（８３） (裏少年サンデーコミックス),83,2026-09-17
—,ゾンビ世界でハーレムをつくろう！（７） (ヤンマガＷｅｂ),7,2026-09-17
—,美龍艶笑譚～自己肯定感が激低なドラゴン級美少女魔王を、勇者がイチャラブで退治するお話～（１０） (ヤンマガＷｅｂ),10,2026-09-17
—,みんなのキスクラブ（４） (ヤンマガＷｅｂ),4,2026-09-17
—,再会の勇者（３） (ヤンマガＷｅｂ),3,2026-09-17
—,異世界から聖女が来るようなので、邪魔者は消えようと思います　13 (ＦＬＯＳ　ＣＯＭＩＣ),13,2026-09-17
—,初恋の人との晴れの日に令嬢は裏切りを知る (3)　幸せになりたいので公爵様の求婚に騙されません (ＦＬＯＳ　ＣＯＭＩＣ),3,2026-09-17
—,聖女になるので二度目の人生は勝手にさせてもらいます ８　～王太子は、前世で私を振った恋人でした～ (ＦＬＯＳ　ＣＯＭＩＣ),8,2026-09-17
—,聖巡エクスタシー　××しないと出られない部屋で魔族をブッ倒します（３） (ヤンマガＷｅｂ),3,2026-09-17
—,ＨＡＣＫＩＮＧ　ＧＨＯＳＴ　カラダにしか価値のない学園（７） (ヤンマガＷｅｂ),7,2026-09-17
—,黒狼王と白銀の贄姫　8　辺境の地で最愛を得る (ＦＬＯＳ　ＣＯＭＩＣ),,2026-09-17
—,牛山さん（３） (ヤンマガＷｅｂ),3,2026-09-17
—,転生聖女は推し活がしたい！(3)　虐げられ令嬢ですが推しの王子様から溺愛されています!? (ＦＬＯＳ　ＣＯＭＩＣ),3,2026-09-17
—,ＭＡＤＥ　ＩＮ　ＹＡＭＡＴＯ（１） (ヤンマガＷｅｂ),1,2026-09-17
—,かくして魔法使いノイ・ガレネーは100年後、花嫁となった２ (ＦＬＯＳ　ＣＯＭＩＣ),2,2026-09-17
