タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
追放されるたびにスキルを手に入れた俺が、100の異世界で2周目無双【電子単行本】　6 (ヤングチャンピオン・コミックス),6,2026-07-27,18,12,+6,33.3
航宙軍士官、冒険者になる10 (電撃コミックスNEXT),,2026-07-27,42,17,+25,59.5
嘆きの亡霊は引退したい ～最弱ハンターによる最強パーティ育成術～ （13） (電撃コミックスNEXT),13,2026-07-27,52,20,+32,61.5
リビルドワールド 16 (電撃コミックスNEXT),16,2026-07-27,113,40,+73,64.6
壁役など不要と追放されたＳ級冒険者、≪奴隷解放≫スキルを駆使して史上最強の国造り: 4【イラスト特典付】 (REXコミックス),1,2026-07-27,187,54,+133,71.1
男子禁制ゲーム世界で俺がやるべき唯一のこと(3)　百合の間に挟まる男として転生してしまいました (電撃コミックスNEXT),3,2026-07-27,370,72,+298,80.5
悪役貴族として必要なそれ 5 (電撃コミックスNEXT),5,2026-07-27,432,86,+346,80.1
嫌われ魔女と体が入れ替わったけれど、私は今日も元気に暮らしています！【電子単行本】　5 (ヤングチャンピオン・コミックス),5,2026-07-27,534,110,+424,79.4
本能寺から始める信長との天下統一８ (電撃コミックスNEXT),3,2026-07-27,466,226,+240,51.5
魔法科高校の劣等生 急転編 1巻 (デジタル版Gファンタジーコミックス),1,2026-07-27,645,226,+419,65
魔王討伐したあと、目立ちたくないのでギルドマスターになった１２ (電撃コミックスNEXT),,2026-07-27,527,240,+287,54.5
食料生成スキルを手に入れたので、異世界で商会を立ち上げようと思います: 6【イラスト特典付】 (REXコミックス),1,2026-07-27,598,266,+332,55.5
ばっどがーる　６巻 (まんがタイムＫＲコミックス),6,2026-07-27,1714,460,+1254,73.2
彼女にしたい女子一位、の隣で見つけたあまりちゃん 2 (電撃コミックスNEXT),2,2026-07-27,860,545,+315,36.6
僕と君が夫婦になるまで（3） (電撃コミックスNEXT),3,2026-07-27,1063,558,+505,47.5
【電子版】月刊コミック 電撃大王 2026年9月号 [雑誌] 【電子版】電撃大王,,2026-07-27,17030,773,+16257,95.5
天才錬金術師は気ままに旅する５　～５００年後の世界で目覚めた世界最高の元宮廷錬金術師、ポーション作りで聖女さま扱いされる～ (電撃コミックスNEXT),,2026-07-27,1486,913,+573,38.6
桃色カンパネラ　１巻 (まんがタイムＫＲコミックス),1,2026-07-27,3843,927,+2916,75.9
豚のレバーは加熱しろ　９ (電撃コミックスNEXT),9,2026-07-27,1624,1112,+512,31.5
忘れられ師の英雄譚　聖勇女パーティーに優しき追放をされた男は、記憶に残らずとも彼女達を救う　3 (ヤングチャンピオン・コミックス),3,2026-07-27,3323,1118,+2205,66.4
【電子版】月刊コミックアライブ 2026年9月号 [雑誌],,2026-07-27,56040,1138,+54902,98
ダンジョン配信者を救って大バズりした転生陰陽師、うっかり超級呪物を配信したら伝説になった２ (電撃コミックスNEXT),,2026-07-27,3497,1226,+2271,64.9
五時,,2026-07-27,1452,1343,+109,7.5
婚約者に「あなたは将来浮気をしてわたしを捨てるから別れてください」と言ってみた【電子単行本】　5 (ヤングチャンピオン・コミックス),5,2026-07-27,2791,1407,+1384,49.6
ダチョウ獣人のはちゃめちゃ無双(2)　アホかわいい最強種族のリーダーになりました (電撃コミックスNEXT),2,2026-07-27,4309,1625,+2684,62.3
攻撃力極振りの最強魔術師 ~筋力値9999の大剣士、転生して二度目の人生を歩む~ 9 (9) (ヤングチャンピオンコミックス),9,2026-07-27,2243,2038,+205,9.1
剣客商売　55巻 (SPコミックス),55,2026-07-27,2670,2373,+297,11.1
【電子版】月刊コミックキューン 2026年9月号 [雑誌],,2026-07-27,29837,2379,+27458,92
しあわせ鳥見んぐ　４巻 (まんがタイムＫＲコミックス),4,2026-07-27,4601,2479,+2122,46.1
組織の宿敵と結婚したらめちゃ甘い ２ (電撃コミックスNEXT),2,2026-07-27,5680,2560,+3120,54.9
魔王様と砂時計～転生したら妖精さんで将来の魔王に病まれる話～【電子単行本】　3 (ヤングチャンピオン・コミックス),3,2026-07-27,9483,3770,+5713,60.2
アクアリウムは踊らない 3 (電撃コミックスNEXT),3,2026-07-27,4953,3825,+1128,22.8
コミック乱 2026年09月号 [雑誌],,2026-07-27,12236,4442,+7794,63.7
クラスの陰キャお嬢様の執事になりました My Pure Lady1 (電撃コミックスEX),,2026-07-27,7093,4742,+2351,33.1
ギャルがオタクの家に入り浸ってエッチに沼るアンソロジーコミック(4) (REXコミックス),4,2026-07-27,9408,4997,+4411,46.9
オレの一途を邪魔するアイツ(1) (REXコミックス),1,2026-07-27,10007,5388,+4619,46.2
Comic REX (コミック レックス） 2026年9月号[雑誌],,2026-07-27,17065,5541,+11524,67.5
そしてヒーローと嘘を吐く３ (電撃コミックスNEXT),,2026-07-27,9185,5655,+3530,38.4
(元)勇者と(次期)魔王の、魔王城までの歩き方　2 (少年チャンピオン・コミックス),2,2026-07-27,7491,5695,+1796,24
聖女はとっくに召喚されている。日本に。【電子単行本】　6 (ヤングチャンピオン・コミックス),6,2026-07-27,11657,6167,+5490,47.1
虐待されていた商家の令嬢は聖女の力を手に入れ、無自覚に容赦なく逆襲する【電子単行本】　5 (ヤングチャンピオン・コミックス),5,2026-07-27,12085,6646,+5439,45
戦争めし12 (ヤングチャンピオンコミックス),,2026-07-27,10119,7263,+2856,28.2
CRAZY BLOOD LINE NOW 2 (2巻) (YKコミックス),2,2026-07-27,7535,7968,-433,-5.7
放課後ファンタジー　4 (少年チャンピオン・コミックス),4,2026-07-27,12202,8288,+3914,32.1
婚約破棄された可憐令嬢は、帝国の公爵騎士様に溺愛される 4 (4) (プリンセスコミックス),4,2026-07-27,8293,8509,-216,-2.6
イケメンすぎます棗さん(1) (Gファンタジーコミックス),1,2026-07-27,11860,9416,+2444,20.6
CRAZY BLOOD LINE NOW(2) (ヤングキングコミックス),2,2026-07-27,11702,9991,+1711,14.6
プロジェクト・ユリフォーミング！　２巻 (まんがタイムＫＲコミックス),2,2026-07-27,26191,12729,+13462,51.4
猿ロック REBOOT(10) (ヤングキングコミックス),10,2026-07-27,14077,13477,+600,4.3
ウイニングアンサー！　１巻 (まんがタイムＫＲコミックス),1,2026-07-27,26657,13648,+13009,48.8
思い出食堂 カツサンドとビール!編 (ぐる漫),,2026-07-27,15324,13713,+1611,10.5
