タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
黄泉のツガイ 13巻 (デジタル版ガンガンコミックス),13,2026-07-10,3,2,+1,33.3
ヘルモード ～やり込み好きのゲーマーは廃設定の異世界で無双する～ はじまりの召喚士　14【電子書店共通特典イラスト付】 (アース・スターコミックス),,2026-07-10,33,6,+27,81.8
領民0人スタートの辺境領主様～青のディアスと蒼角の乙女～　15【電子書店共通特典イラスト付】 (アース・スターコミックス),,2026-07-10,37,10,+27,73
MIX（２５） (ゲッサン少年サンデーコミックス),25,2026-07-10,194,105,+89,45.9
転生してハイエルフになりましたが、スローライフは120年で飽きました -Highelf with a long life- (10) (アース・スターコミックス),10,2026-07-10,240,171,+69,28.8
最強出涸らし皇子の暗躍帝位争い　（１０） (角川コミックス・エース),10,2026-07-10,305,202,+103,33.8
無自覚聖女は今日も無意識に力を垂れ流す ～公爵家の落ちこぼれ令嬢、嫁ぎ先で幸せを掴み取る～　8【電子書店共通特典イラスト付】 (アース・スターコミックス),,2026-07-10,292,214,+78,26.7
これ描いて死ね（１０） (ゲッサン少年サンデーコミックス),10,2026-07-10,333,235,+98,29.4
転生したら序盤で死ぬ中ボスだった－ヒロイン眷属化で生き残る－ 12巻 (デジタル版ガンガンコミックスONLINE),12,2026-07-10,516,236,+280,54.3
くちべた食堂　７ (ビームコミックス),7,2026-07-10,288,238,+50,17.4
ロードマギアの弟子（７） (サンデーうぇぶりコミックス),7,2026-07-10,413,245,+168,40.7
転生しました、サラナ・キンジェです。ごきげんよう。　～優雅なスローライフで大忙し～４【電子書店共通特典イラスト付】 (アース・スターコミックス),,2026-07-10,382,253,+129,33.8
クラス最安値で売られた俺は、実は最強パラメーター （10） (角川コミックス・エース),10,2026-07-10,599,356,+243,40.6
最強女師匠たちが育成方針を巡って修羅場（１２） (マンガワンコミックス),12,2026-07-10,522,366,+156,29.9
転生社畜のチート菜園 ～万能スキルと便利な使い魔妖精を駆使してたら、気づけば大陸一の生産拠点ができていた～ 5 (電撃コミックスNEXT),5,2026-07-10,524,399,+125,23.9
異世界ありがとう（１０） (マンガワンコミックス),10,2026-07-10,487,409,+78,16
となりの席のヤツがそういう目で見てくる（６） (サンデーうぇぶりコミックス),6,2026-07-10,622,438,+184,29.6
出会って5秒でバトル（３１） (裏少年サンデーコミックス),31,2026-07-10,646,456,+190,29.4
スローループ　１１巻 (まんがタイムＫＲコミックス),11,2026-07-10,1112,476,+636,57.2
まんきつしたい常連さん(5)【電子限定描きおろし漫画付き】 (角川コミックス・エース),5,2026-07-10,858,524,+334,38.9
全部救ってやる（８） (マンガワンコミックス),8,2026-07-10,789,666,+123,15.6
おじ転生～悪役令嬢の加齢なる生活～（５） (サンデーうぇぶりコミックス),5,2026-07-10,942,731,+211,22.4
史上最強オークさんの楽しい異世界ハーレムづくり（１５） (裏少年サンデーコミックス),15,2026-07-10,1281,776,+505,39.4
